@relation  texture
@attribute A1 real[-1.45,0.774]
@attribute A2 real[-1.2,0.33]
@attribute A3 real[-1.31,0.344]
@attribute A4 real[-1.11,0.588]
@attribute A5 real[-1.053,0.439]
@attribute A6 real[-1.003,0.452]
@attribute A7 real[-1.208,0.525]
@attribute A8 real[-1.08,0.398]
@attribute A9 real[-1.057,0.437]
@attribute A10 real[-1.258,0.355]
@attribute A11 real[-1.45,0.774]
@attribute A12 real[-1.083,0.372]
@attribute A13 real[-1.119,0.635]
@attribute A14 real[-1.018,0.157]
@attribute A15 real[-0.943,0.164]
@attribute A16 real[-0.994,0.036]
@attribute A17 real[-1.172,0.02]
@attribute A18 real[-1.017,0.115]
@attribute A19 real[-1.004,0.083]
@attribute A20 real[-1.18,0.439]
@attribute A21 real[-1.45,0.774]
@attribute A22 real[-1.228,0.596]
@attribute A23 real[-1.341,0.446]
@attribute A24 real[-1.177,0.688]
@attribute A25 real[-1.137,0.41]
@attribute A26 real[-1.11,0.373]
@attribute A27 real[-1.239,0.612]
@attribute A28 real[-1.154,0.422]
@attribute A29 real[-1.132,0.392]
@attribute A30 real[-1.422,0.472]
@attribute A31 real[-1.45,0.774]
@attribute A32 real[-1.179,0.565]
@attribute A33 real[-1.147,0.675]
@attribute A34 real[-1.123,0.313]
@attribute A35 real[-1.015,0.34]
@attribute A36 real[-1.03,0.156]
@attribute A37 real[-1.253,0.09]
@attribute A38 real[-1.097,0.194]
@attribute A39 real[-1.076,0.202]
@attribute A40 real[-1.215,0.465]
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}


@data
-1.151, -0.573, -0.675, -0.362, -0.268, -0.155, -0.566, -0.419, -0.32, -0.725, -1.151, -0.616, -0.406, -0.586, -0.418, -0.534, -0.735, -0.467, -0.455, -0.478, -1.151, -0.678, -0.817, -0.53, -0.464, -0.34, -0.715, -0.537, -0.472, -0.864, -1.151, -0.576, -0.413, -0.559, -0.404, -0.531, -0.711, -0.451, -0.411, -0.456, 2
-1.169, -0.804, -0.892, -0.68, -0.622, -0.528, -0.826, -0.665, -0.593, -0.867, -1.169, -0.846, -0.692, -0.788, -0.626, -0.617, -0.942, -0.719, -0.664, -0.759, -1.169, -0.911, -0.988, -0.787, -0.721, -0.592, -0.895, -0.775, -0.701, -0.948, -1.169, -0.825, -0.626, -0.763, -0.58, -0.609, -0.93, -0.69, -0.645, -0.752, 2
-1.032, -0.67, -0.761, -0.583, -0.539, -0.546, -0.702, -0.579, -0.577, -0.83, -1.032, -0.758, -0.789, -0.734, -0.701, -0.781, -0.895, -0.791, -0.8, -0.971, -1.032, -0.774, -0.952, -0.68, -0.675, -0.578, -0.79, -0.708, -0.675, -0.982, -1.032, -0.658, -0.467, -0.634, -0.463, -0.486, -0.805, -0.575, -0.535, -0.61, 2
-1.061, -0.563, -0.568, -0.409, -0.32, -0.193, -0.599, -0.422, -0.323, -0.618, -1.061, -0.634, -0.27, -0.628, -0.387, -0.402, -0.798, -0.489, -0.437, -0.422, -1.061, -0.835, -0.915, -0.701, -0.678, -0.544, -0.83, -0.737, -0.657, -0.926, -1.061, -0.705, -0.431, -0.703, -0.478, -0.524, -0.884, -0.6, -0.571, -0.622, 2
-1.239, -0.785, -0.711, -0.625, -0.456, -0.375, -0.789, -0.551, -0.467, -0.734, -1.239, -0.818, -0.642, -0.756, -0.571, -0.598, -0.927, -0.673, -0.618, -0.714, -1.239, -0.932, -0.969, -0.761, -0.656, -0.505, -0.903, -0.737, -0.622, -0.91, -1.239, -0.812, -0.6, -0.724, -0.534, -0.539, -0.884, -0.614, -0.552, -0.644, 2
-1.218, -0.885, -0.956, -0.777, -0.687, -0.609, -0.894, -0.746, -0.713, -1.005, -1.218, -0.914, -0.892, -0.881, -0.79, -0.834, -1.035, -0.876, -0.868, -1.029, -1.218, -0.971, -1.092, -0.86, -0.806, -0.674, -0.97, -0.863, -0.811, -1.1, -1.218, -0.827, -0.778, -0.776, -0.636, -0.683, -0.939, -0.719, -0.678, -0.816, 2
-1.171, -0.78, -0.84, -0.622, -0.55, -0.467, -0.778, -0.634, -0.566, -0.884, -1.171, -0.825, -0.662, -0.753, -0.596, -0.627, -0.924, -0.699, -0.668, -0.789, -1.171, -0.803, -0.86, -0.635, -0.55, -0.398, -0.827, -0.665, -0.561, -0.896, -1.171, -0.747, -0.569, -0.698, -0.545, -0.588, -0.86, -0.623, -0.56, -0.596, 2
-1.132, -0.69, -0.683, -0.55, -0.43, -0.363, -0.715, -0.525, -0.476, -0.736, -1.132, -0.753, -0.615, -0.719, -0.567, -0.616, -0.894, -0.675, -0.644, -0.733, -1.132, -0.815, -0.9, -0.676, -0.608, -0.483, -0.809, -0.657, -0.574, -0.86, -1.132, -0.682, -0.502, -0.641, -0.477, -0.563, -0.814, -0.576, -0.552, -0.646, 2
-1.145, -0.622, -0.58, -0.448, -0.29, -0.206, -0.644, -0.411, -0.364, -0.684, -1.145, -0.707, -0.644, -0.637, -0.545, -0.595, -0.812, -0.631, -0.589, -0.697, -1.145, -0.843, -0.986, -0.677, -0.643, -0.485, -0.834, -0.734, -0.638, -0.965, -1.145, -0.692, -0.57, -0.641, -0.497, -0.593, -0.8, -0.558, -0.527, -0.607, 2
-1.185, -0.792, -0.864, -0.681, -0.576, -0.486, -0.826, -0.65, -0.606, -0.946, -1.185, -0.795, -0.788, -0.761, -0.669, -0.736, -0.942, -0.762, -0.739, -0.908, -1.185, -0.948, -1.106, -0.844, -0.825, -0.715, -0.948, -0.866, -0.821, -1.114, -1.185, -0.834, -0.759, -0.787, -0.652, -0.691, -0.948, -0.748, -0.711, -0.843, 2
