@relation ecoli-0-2-6-7_vs_3-5
@attribute a1 real [0.0, 85.0]
@attribute a2 real [1.0, 88.0]
@attribute a3 real [1.0, 48.0]
@attribute a4 real [1.0, 5.0]
@attribute a5 real [3.0, 88.0]
@attribute a6 real [2.0, 84.0]
@attribute a7 real [0.0, 85.0]
@attribute class {positive, negative}
@inputs a1, a2, a3, a4, a5, a6, a7
@outputs class
@data
59.0, 49.0, 48.0, 5.0, 52.0, 45.0, 36.0, negative
29.0, 28.0, 48.0, 5.0, 44.0, 23.0, 34.0, negative
21.0, 34.0, 48.0, 5.0, 51.0, 28.0, 39.0, negative
22.0, 43.0, 48.0, 5.0, 48.0, 16.0, 28.0, negative
3.0, 16.0, 48.0, 5.0, 56.0, 11.0, 23.0, negative
29.0, 37.0, 48.0, 5.0, 48.0, 44.0, 52.0, negative
24.0, 35.0, 48.0, 5.0, 31.0, 19.0, 31.0, negative
36.0, 54.0, 48.0, 5.0, 41.0, 38.0, 46.0, negative
4.0, 5.0, 48.0, 5.0, 45.0, 39.0, 47.0, negative
54.0, 47.0, 48.0, 5.0, 28.0, 33.0, 42.0, negative
51.0, 37.0, 48.0, 5.0, 35.0, 36.0, 45.0, negative
4.0, 35.0, 48.0, 5.0, 45.0, 33.0, 42.0, negative
44.0, 34.0, 48.0, 5.0, 3.0, 33.0, 43.0, negative
42.0, 38.0, 48.0, 5.0, 54.0, 34.0, 43.0, negative
25.0, 37.0, 48.0, 5.0, 41.0, 33.0, 42.0, negative
37.0, 5.0, 48.0, 5.0, 42.0, 36.0, 45.0, negative
44.0, 42.0, 48.0, 5.0, 42.0, 25.0, 2.0, negative
42.0, 3.0, 48.0, 5.0, 48.0, 26.0, 36.0, negative
31.0, 47.0, 48.0, 5.0, 29.0, 28.0, 39.0, negative
35.0, 37.0, 48.0, 5.0, 3.0, 34.0, 43.0, negative
51.0, 46.0, 48.0, 5.0, 58.0, 31.0, 41.0, negative
38.0, 4.0, 48.0, 5.0, 63.0, 25.0, 35.0, negative
32.0, 33.0, 48.0, 5.0, 6.0, 6.0, 2.0, negative
34.0, 35.0, 48.0, 5.0, 51.0, 49.0, 56.0, negative
38.0, 44.0, 48.0, 5.0, 43.0, 2.0, 31.0, negative
41.0, 51.0, 48.0, 5.0, 58.0, 2.0, 31.0, negative
51.0, 49.0, 48.0, 5.0, 53.0, 14.0, 26.0, negative
23.0, 34.0, 48.0, 5.0, 43.0, 26.0, 37.0, negative
0.0, 38.0, 48.0, 5.0, 42.0, 48.0, 55.0, negative
3.0, 44.0, 48.0, 5.0, 49.0, 22.0, 33.0, negative
22.0, 34.0, 48.0, 5.0, 42.0, 29.0, 39.0, negative
27.0, 42.0, 48.0, 5.0, 37.0, 38.0, 43.0, negative
16.0, 43.0, 48.0, 5.0, 54.0, 27.0, 37.0, negative
67.0, 7.0, 48.0, 5.0, 46.0, 45.0, 33.0, negative
63.0, 1.0, 48.0, 5.0, 35.0, 51.0, 49.0, negative
57.0, 59.0, 48.0, 5.0, 39.0, 47.0, 33.0, negative
66.0, 74.0, 48.0, 5.0, 31.0, 38.0, 43.0, negative
7.0, 64.0, 48.0, 5.0, 47.0, 51.0, 47.0, negative
63.0, 57.0, 48.0, 5.0, 49.0, 7.0, 2.0, negative
69.0, 65.0, 48.0, 5.0, 63.0, 48.0, 41.0, negative
67.0, 88.0, 48.0, 5.0, 73.0, 5.0, 25.0, positive
74.0, 78.0, 48.0, 5.0, 75.0, 54.0, 15.0, positive
68.0, 76.0, 48.0, 5.0, 84.0, 45.0, 27.0, positive
56.0, 68.0, 48.0, 5.0, 77.0, 36.0, 45.0, positive
69.0, 59.0, 48.0, 5.0, 77.0, 39.0, 21.0, positive
