@relation  vowel
@attribute TT integer[0,1]
@attribute SpeakerNumber integer[0,14]
@attribute Sex integer[0,1]
@attribute F0 real[-5.211,-0.941]
@attribute F1 real[-1.274,5.074]
@attribute F2 real[-2.487,1.431]
@attribute F3 real[-1.409,2.377]
@attribute F4 real[-2.127,1.831]
@attribute F5 real[-0.836,2.327]
@attribute F6 real[-1.537,1.403]
@attribute F7 real[-1.293,2.039]
@attribute F8 real[-1.613,1.309]
@attribute F9 real[-1.68,1.396]
@attribute Class{0,1,2,3,4,5,6,7,8,9,10}
@inputs TT,SpeakerNumber,Sex,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9
@outputs Class
@data
1, 10, 0, -4.052, 0.35, -0.314, 1.734, 0.127, 1.667, 0.512, -0.377, -0.358, -0.855, 0
0, 3, 0, -1.953, -0.596, -1.543, 0.619, 0.056, 1.742, 0.592, 1.289, -0.163, -0.523, 0
0, 5, 1, -3.858, 0.115, 0.05, 1.17, 0.975, 0.703, 0.585, -1.191, -1.172, -0.076, 0
1, 11, 0, -2.46, -0.325, -1.404, 0.928, 0.122, 2.049, 0.274, 0.532, -1.113, -0.769, 0
1, 8, 0, -3.366, -0.826, -0.405, 1.643, 0.603, 1.226, 0.524, 0.293, -0.858, -0.668, 0
1, 14, 1, -3.661, 0.3, 0.53, 1.816, 0.333, 0.444, -0.858, -0.732, -0.809, 0.995, 0
0, 1, 0, -4.314, -0.106, 1.044, 1.192, 0.687, 0.763, 0.158, -0.193, -1.342, -0.447, 0
0, 4, 1, -3.689, -0.599, 0.692, 1.307, 0.605, 1.514, -0.752, -0.697, -0.355, 0.702, 0
0, 0, 0, -3.604, 0.235, -0.836, 1.786, -0.153, 1.642, -0.096, 0.488, -0.524, -1.003, 0
0, 4, 1, -3.128, 0.28, 0.955, 1.264, 0.753, 0.437, -0.841, -0.517, -0.473, 0.0, 1
0, 2, 0, -1.012, 0.516, -2.041, 0.32, -0.634, 1.969, 0.041, 1.414, -0.687, 0.047, 1
1, 14, 1, -3.546, 1.064, -0.0060, 1.455, 0.847, 1.117, 0.073, -0.025, -1.318, 0.557, 1
0, 6, 1, -2.659, -0.101, -0.687, 0.697, 1.081, 1.045, -0.149, 0.184, -0.927, 0.327, 1
1, 11, 0, -2.904, 0.458, -0.656, 0.832, 0.61, 0.805, 0.568, 0.041, -0.114, -0.615, 1
1, 9, 0, -3.711, 1.377, -0.584, 1.428, -0.033, 1.062, -0.127, 0.328, -1.092, -0.565, 1
0, 1, 0, -1.657, 0.056, -1.044, -0.32, -0.316, 1.321, 0.638, 0.8, 0.298, -0.159, 1
