@relation  vowel
@attribute TT integer[0,1]
@attribute SpeakerNumber integer[0,14]
@attribute Sex integer[0,1]
@attribute F0 real[-5.211,-0.941]
@attribute F1 real[-1.274,5.074]
@attribute F2 real[-2.487,1.431]
@attribute F3 real[-1.409,2.377]
@attribute F4 real[-2.127,1.831]
@attribute F5 real[-0.836,2.327]
@attribute F6 real[-1.537,1.403]
@attribute F7 real[-1.293,2.039]
@attribute F8 real[-1.613,1.309]
@attribute F9 real[-1.68,1.396]
@attribute Class{0,1,2,3,4,5,6,7,8,9,10}
@inputs TT,SpeakerNumber,Sex,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9
@outputs Class
@data
1, 10, 0, -3.644, -0.215, -0.579, 2.307, 0.046, 1.945, 0.28, 0.272, -0.539, -1.226, 0
0, 3, 0, -1.507, -0.457, -1.728, 0.256, -0.081, 1.571, 0.556, 1.291, 0.121, -0.456, 0
0, 5, 1, -3.322, -0.303, -0.5, 0.963, 0.921, 0.981, 1.059, -1.079, -1.004, 0.112, 0
1, 11, 0, -2.377, -0.266, -1.371, 1.09, 0.24, 1.843, 0.107, 0.702, -1.256, -0.62, 0
1, 8, 0, -1.149, -0.904, -1.988, 0.739, -0.06, 1.206, 0.864, 1.196, -0.3, -0.467, 0
1, 14, 1, -3.5, 0.068, 0.533, 1.876, 0.363, 0.542, -0.982, -0.671, -1.006, 1.101, 0
0, 1, 0, -4.275, 0.162, 0.728, 0.662, 0.94, 1.269, 0.711, 0.073, -0.827, -0.655, 0
0, 4, 1, -3.162, -1.137, 0.3, 1.44, 0.688, 1.645, -0.447, -0.518, -0.52, 0.641, 0
1, 12, 1, -3.699, -0.251, 0.268, 1.585, 0.85, 1.381, -0.867, -0.71, -0.19, 0.567, 0
0, 4, 1, -3.118, 0.356, 0.377, 1.447, 0.868, 0.407, -0.915, -0.546, -0.637, 0.169, 1
0, 2, 0, -1.123, 0.415, -1.954, 0.563, -0.465, 1.983, 0.027, 1.614, -0.568, 0.0070, 1
1, 14, 1, -3.709, 1.665, 0.138, 1.551, 0.975, 0.923, -0.396, -0.234, -1.154, 0.736, 1
0, 6, 1, -3.096, 0.103, -0.452, 0.879, 1.067, 0.497, -0.296, -0.067, -0.973, 0.711, 1
1, 11, 0, -2.961, 0.766, -0.8, 0.962, 0.658, 1.012, 0.347, -0.015, -0.425, -0.746, 1
1, 9, 0, -3.262, 0.956, -0.791, 1.528, -0.021, 0.977, -0.121, 0.499, -0.99, -0.621, 1
0, 1, 0, -2.05, 0.065, -0.938, -0.037, 0.082, 1.561, 0.393, 0.835, -0.029, -0.394, 1
1, 8, 0, -1.53, 0.029, -0.925, 0.054, -0.565, 1.593, 0.123, 1.117, 0.338, 0.026, 1
1, 12, 1, -3.155, 0.613, -0.285, 1.287, 0.882, 0.337, -0.624, 0.067, -0.516, 0.891, 1
0, 6, 1, -2.452, 0.279, -0.805, 1.141, 0.239, 0.176, -0.104, -0.752, -0.334, 0.731, 2
0, 4, 1, -2.681, 0.531, 0.252, 1.239, 0.469, -0.339, -0.652, -0.417, -0.246, 0.412, 2
1, 14, 1, -3.32, 1.553, -0.586, 1.688, -0.262, 0.392, -0.478, -0.461, -0.522, 0.929, 2
1, 8, 0, -1.817, 0.559, -0.801, 0.234, 0.011, 1.215, -0.161, 0.809, 0.018, -0.382, 2
0, 0, 0, -2.135, 0.954, -1.632, 0.121, -0.704, 1.6, -0.628, 0.713, -0.903, -0.027, 2
0, 3, 0, -1.921, 0.719, -0.95, 0.299, 0.222, 0.786, 0.128, 0.588, -0.462, -0.491, 2
0, 7, 1, -4.316, 1.272, -0.087, 1.285, 0.126, -0.128, -0.286, -0.463, -0.294, 0.691, 2
1, 11, 0, -2.385, 1.01, -0.754, 0.37, 0.785, 0.471, 0.415, 0.318, -0.797, -0.679, 2
1, 12, 1, -2.762, 1.51, -0.145, 1.157, -0.256, 0.041, -0.647, -0.324, -0.128, 0.806, 2
0, 4, 1, -1.693, 0.807, -0.038, -0.051, -0.174, -0.372, 0.117, 0.053, -0.611, 0.3, 3
0, 2, 0, -1.512, 1.492, -1.053, 1.262, -0.809, 0.941, -0.122, 0.807, -0.206, 0.145, 3
1, 9, 0, -1.998, 1.497, -1.005, 0.519, -1.236, 0.398, 0.273, 0.151, -0.319, -0.49, 3
0, 7, 1, -3.622, 1.111, -0.972, 0.399, -0.402, 0.527, 0.271, 0.373, -0.716, 0.943, 3
1, 8, 0, -1.716, 1.186, -0.809, -0.515, -0.35, 0.29, -0.404, 0.678, 0.172, -0.212, 3
1, 12, 1, -2.021, 2.493, -0.416, -0.116, 0.094, -0.033, -0.4, -0.08, -0.136, 0.069, 3
0, 0, 0, -2.368, 1.727, -1.556, 1.162, -0.819, 0.941, -0.572, 0.345, -0.279, -0.736, 3
1, 10, 0, -2.482, 1.896, -1.289, 0.112, 0.285, 0.096, 0.022, 0.832, -0.333, -0.764, 3
1, 14, 1, -2.71, 1.943, -1.247, 0.772, -0.345, 0.107, -0.062, 0.04, -0.322, 1.018, 3
0, 3, 0, -2.559, 2.3, 0.408, -0.0010, -1.077, 0.125, -0.254, 0.975, 0.07, -0.47, 4
0, 5, 1, -2.898, 2.421, -0.81, -0.043, -1.164, 0.448, 0.69, 0.218, -0.078, -0.876, 4
0, 6, 1, -2.658, 2.739, -0.382, -0.31, -1.64, 0.081, 0.276, 0.884, -0.535, -0.548, 4
1, 11, 0, -2.565, 1.871, -0.269, 0.187, -0.656, 0.267, -0.328, 0.184, 0.348, -0.511, 4
0, 1, 0, -2.67, 2.696, -0.231, -0.028, -1.014, 0.486, -0.137, 0.448, 0.285, -0.482, 4
0, 7, 1, -3.85, 2.28, -1.055, -0.335, -0.164, 0.41, 0.913, -0.391, -0.338, 0.26, 4
1, 12, 1, -2.46, 3.706, -1.304, -0.339, -0.487, 1.125, 0.187, -0.211, -1.068, 0.944, 4
1, 9, 0, -2.765, 2.817, -2.02, 0.213, -0.772, 0.852, 0.252, -0.193, -0.202, -0.093, 4
1, 14, 1, -3.074, 3.062, -1.47, -0.379, 0.233, 0.789, -0.099, -0.135, -0.395, 0.572, 4
1, 10, 0, -2.505, 2.358, -0.184, -0.792, -0.316, 1.363, 0.302, -0.121, 0.214, -0.622, 5
1, 8, 0, -2.696, 1.26, 0.436, 0.657, -1.161, 0.805, 0.062, 0.575, 0.182, -0.334, 5
0, 5, 1, -2.656, 1.263, -0.527, 0.464, -0.612, 0.668, -0.16, 0.857, -0.416, -0.596, 5
0, 7, 1, -3.962, 1.724, -1.29, 0.531, -0.17, 0.528, 0.282, -0.149, -0.603, 1.139, 5
