@relation  page-blocks
@attribute Height numeric
@attribute Lenght numeric
@attribute Area numeric
@attribute Eccen numeric
@attribute P_black numeric
@attribute P_and numeric
@attribute Mean_tr numeric
@attribute Blackpix numeric
@attribute Blackand numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}


@data
4, 114, 456, 28.5, 0.393, 0.978, 1.83, 179, 446, 98, 1
8, 69, 552, 8.625, 0.279, 0.687, 1.5, 154, 379, 103, 1
8, 17, 136, 2.125, 0.199, 0.603, 3.0, 27, 82, 9, 1
20, 39, 780, 1.95, 0.232, 0.585, 3.42, 181, 456, 53, 1
14, 419, 5866, 29.929, 0.373, 0.603, 4.51, 2188, 3535, 485, 1
9, 108, 972, 12.0, 0.345, 0.645, 2.45, 335, 627, 137, 1
6, 37, 222, 6.167, 0.306, 0.811, 1.42, 68, 180, 48, 1
11, 11, 121, 1.0, 0.455, 0.876, 4.23, 55, 106, 13, 1
6, 48, 288, 8.0, 0.316, 0.965, 1.57, 91, 278, 58, 1
10, 268, 2680, 26.8, 0.395, 0.59, 5.88, 1058, 1581, 180, 1
7, 223, 1561, 31.857, 0.121, 0.527, 1.33, 189, 823, 142, 1
10, 19, 190, 1.9, 0.584, 0.842, 6.94, 111, 160, 16, 1
7, 13, 91, 1.857, 0.396, 1.0, 1.33, 36, 91, 27, 1
10, 21, 210, 2.1, 0.329, 0.843, 2.56, 69, 177, 27, 1
7, 41, 287, 5.857, 0.328, 0.774, 1.42, 94, 222, 66, 1
5, 17, 85, 3.4, 0.376, 0.741, 2.91, 32, 63, 11, 1
9, 24, 216, 2.667, 0.213, 0.468, 1.28, 46, 101, 36, 1
7, 8, 56, 1.143, 0.339, 0.875, 2.38, 19, 49, 8, 1
8, 148, 1184, 18.5, 0.182, 0.625, 1.2, 216, 740, 180, 1
7, 21, 147, 3.0, 0.333, 0.789, 1.4, 49, 116, 35, 1
6, 20, 120, 3.333, 0.175, 0.792, 1.5, 21, 95, 14, 1
8, 43, 344, 5.375, 0.349, 0.814, 2.26, 120, 280, 53, 1
9, 321, 2889, 35.667, 0.154, 0.553, 1.32, 446, 1597, 339, 1
11, 52, 572, 4.727, 0.262, 0.858, 1.79, 150, 491, 84, 1
8, 61, 488, 7.625, 0.316, 0.967, 2.03, 154, 472, 76, 1
4, 3, 12, 0.75, 0.667, 0.917, 2.67, 8, 11, 3, 1
11, 184, 2024, 16.727, 0.455, 0.76, 4.72, 920, 1539, 195, 1
10, 31, 310, 3.1, 0.284, 0.835, 1.69, 88, 259, 52, 1
16, 90, 1440, 5.625, 0.197, 0.77, 1.39, 283, 1109, 204, 1
8, 32, 256, 4.0, 0.375, 0.98, 2.09, 96, 251, 46, 1
10, 509, 5090, 50.9, 0.097, 0.388, 1.23, 492, 1974, 401, 1
3, 3, 9, 1.0, 0.778, 0.778, 7.0, 7, 7, 1, 1
10, 16, 160, 1.6, 0.444, 1.0, 2.22, 71, 160, 32, 1
9, 36, 324, 4.0, 0.54, 0.929, 2.87, 175, 301, 61, 1
7, 14, 98, 2.0, 0.378, 1.0, 1.95, 37, 98, 19, 1
8, 14, 112, 1.75, 0.223, 0.661, 3.57, 25, 74, 7, 1
11, 86, 946, 7.818, 0.283, 0.764, 1.91, 268, 723, 140, 1
11, 60, 660, 5.455, 0.271, 0.85, 1.97, 179, 561, 91, 1
10, 37, 370, 3.7, 0.33, 0.897, 2.0, 122, 332, 61, 1
10, 81, 810, 8.1, 0.279, 0.81, 2.11, 226, 656, 107, 1
8, 25, 200, 3.125, 0.3, 0.59, 2.22, 60, 118, 27, 1
