@relation  page-blocks
@attribute Height integer[1,804]
@attribute Lenght integer[1,553]
@attribute Area integer[7,143993]
@attribute Eccen real[0.0070,537.0]
@attribute P_black real[0.052,1.0]
@attribute P_and real[0.062,1.0]
@attribute Mean_tr real[1.0,4955.0]
@attribute Blackpix integer[1,33017]
@attribute Blackand integer[7,46133]
@attribute Wb_trans integer[1,3212]
@attribute Class{1,2,3,4,5}
@inputs Height,Lenght,Area,Eccen,P_black,P_and,Mean_tr,Blackpix,Blackand,Wb_trans
@outputs Class
@data
7, 63, 441, 9.0, 0.317, 0.991, 1.71, 140, 437, 82, 1
4, 137, 548, 34.25, 0.173, 0.622, 3.28, 95, 341, 29, 1
8, 18, 144, 2.25, 0.174, 0.458, 2.5, 25, 66, 10, 1
6, 130, 780, 21.667, 0.253, 0.528, 2.05, 197, 412, 96, 1
14, 417, 5838, 29.786, 0.359, 0.559, 4.48, 2094, 3262, 467, 1
9, 107, 963, 11.889, 0.357, 0.693, 2.44, 344, 667, 141, 1
7, 31, 217, 4.429, 0.336, 0.834, 1.52, 73, 181, 48, 1
11, 11, 121, 1.0, 0.438, 0.868, 4.08, 53, 105, 13, 1
9, 32, 288, 3.556, 0.24, 0.913, 1.5, 69, 263, 46, 1
9, 295, 2655, 32.778, 0.2, 0.559, 1.5, 531, 1483, 354, 1
7, 218, 1526, 31.143, 0.142, 0.623, 1.26, 216, 951, 171, 1
10, 19, 190, 1.9, 0.611, 0.9, 8.29, 116, 171, 14, 1
7, 13, 91, 1.857, 0.407, 0.978, 1.76, 37, 89, 21, 1
7, 30, 210, 4.286, 0.352, 0.79, 1.54, 74, 166, 48, 1
9, 32, 288, 3.556, 0.417, 0.715, 3.08, 120, 206, 39, 1
7, 12, 84, 1.714, 0.393, 0.69, 2.36, 33, 58, 14, 1
8, 26, 208, 3.25, 0.293, 0.596, 2.03, 61, 124, 30, 1
5, 11, 55, 2.2, 0.436, 0.891, 1.71, 24, 49, 14, 1
7, 171, 1197, 24.429, 0.16, 0.605, 1.25, 192, 724, 154, 1
7, 21, 147, 3.0, 0.293, 0.81, 1.34, 43, 119, 32, 1
5, 24, 120, 4.8, 0.342, 0.808, 1.32, 41, 97, 31, 1
10, 34, 340, 3.4, 0.303, 0.8, 1.81, 103, 272, 57, 1
8, 346, 2768, 43.25, 0.144, 0.581, 1.31, 398, 1607, 304, 1
10, 58, 580, 5.8, 0.3, 0.84, 2.17, 174, 487, 80, 1
6, 82, 492, 13.667, 0.274, 0.925, 1.39, 135, 455, 97, 1
2, 6, 12, 3.0, 0.583, 0.917, 7.0, 7, 11, 1, 1
13, 159, 2067, 12.231, 0.412, 0.627, 4.81, 852, 1296, 177, 1
7, 45, 315, 6.429, 0.2, 0.775, 1.91, 63, 244, 33, 1
8, 184, 1472, 23.0, 0.237, 0.777, 1.64, 349, 1144, 213, 1
7, 36, 252, 5.143, 0.409, 0.861, 1.84, 103, 217, 56, 1
10, 534, 5340, 53.4, 0.132, 0.519, 1.28, 703, 2771, 548, 1
3, 3, 9, 1.0, 0.778, 0.778, 7.0, 7, 7, 1, 1
8, 20, 160, 2.5, 0.425, 1.0, 2.27, 68, 160, 30, 1
9, 36, 324, 4.0, 0.506, 0.91, 2.93, 164, 295, 56, 1
7, 14, 98, 2.0, 0.408, 0.98, 1.74, 40, 96, 23, 1
7, 16, 112, 2.286, 0.321, 0.643, 2.57, 36, 72, 14, 1
11, 87, 957, 7.909, 0.253, 0.662, 1.89, 242, 634, 128, 1
8, 82, 656, 10.25, 0.393, 0.764, 2.41, 258, 501, 107, 1
