@relation  page-blocks
@attribute Height numeric
@attribute Lenght numeric
@attribute Area numeric
@attribute Eccen numeric
@attribute P_black numeric
@attribute P_and numeric
@attribute Mean_tr numeric
@attribute Blackpix numeric
@attribute Blackand numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}


@data
6, 76, 456, 12.667, 0.353, 0.961, 1.49, 161, 438, 108, 1
8, 69, 552, 8.625, 0.234, 0.683, 1.54, 129, 377, 84, 1
9, 15, 135, 1.667, 0.178, 0.556, 1.6, 24, 75, 15, 1
9, 86, 774, 9.556, 0.211, 0.517, 1.29, 163, 400, 126, 1
14, 420, 5880, 30.0, 0.376, 0.571, 4.92, 2209, 3356, 449, 1
12, 80, 960, 6.667, 0.324, 0.673, 2.45, 311, 646, 127, 1
10, 22, 220, 2.2, 0.336, 0.836, 2.74, 74, 184, 27, 1
11, 11, 121, 1.0, 0.43, 0.802, 4.73, 52, 97, 11, 1
11, 26, 286, 2.364, 0.283, 0.888, 2.19, 81, 254, 37, 1
14, 187, 2618, 13.357, 0.265, 0.477, 2.31, 693, 1248, 300, 1
8, 192, 1536, 24.0, 0.207, 0.579, 1.57, 318, 889, 203, 1
10, 19, 190, 1.9, 0.6, 0.858, 7.6, 114, 163, 15, 1
7, 13, 91, 1.857, 0.363, 1.0, 1.94, 33, 91, 17, 1
11, 19, 209, 1.727, 0.306, 0.789, 2.46, 64, 165, 26, 1
7, 41, 287, 5.857, 0.321, 0.725, 1.48, 92, 208, 62, 1
7, 12, 84, 1.714, 0.476, 0.81, 2.11, 40, 68, 19, 1
9, 23, 207, 2.556, 0.246, 0.57, 1.82, 51, 118, 28, 1
6, 9, 54, 1.5, 0.352, 0.87, 1.58, 19, 47, 12, 1
11, 109, 1199, 9.909, 0.234, 0.62, 1.92, 281, 743, 146, 1
6, 25, 150, 4.167, 0.273, 0.787, 1.17, 41, 118, 35, 1
8, 15, 120, 1.875, 0.292, 0.808, 1.84, 35, 97, 19, 1
10, 34, 340, 3.4, 0.321, 0.853, 2.02, 109, 290, 54, 1
9, 311, 2799, 34.556, 0.163, 0.582, 1.34, 456, 1629, 340, 1
6, 96, 576, 16.0, 0.26, 0.856, 1.53, 150, 493, 98, 1
6, 81, 486, 13.5, 0.282, 0.957, 1.34, 137, 465, 102, 1
3, 4, 12, 1.333, 0.833, 0.917, 10.0, 10, 11, 1, 1
11, 185, 2035, 16.818, 0.356, 0.772, 2.94, 724, 1572, 246, 1
12, 26, 312, 2.167, 0.276, 0.83, 2.21, 86, 259, 39, 1
10, 145, 1450, 14.5, 0.268, 0.747, 1.83, 389, 1083, 213, 1
8, 32, 256, 4.0, 0.402, 0.898, 1.81, 103, 230, 57, 1
10, 511, 5110, 51.1, 0.115, 0.414, 1.53, 588, 2114, 385, 1
