@relation  page-blocks
@attribute Height integer[1,804]
@attribute Lenght integer[1,553]
@attribute Area integer[7,143993]
@attribute Eccen real[0.0070,537.0]
@attribute P_black real[0.052,1.0]
@attribute P_and real[0.062,1.0]
@attribute Mean_tr real[1.0,4955.0]
@attribute Blackpix integer[1,33017]
@attribute Blackand integer[7,46133]
@attribute Wb_trans integer[1,3212]
@attribute Class{1,2,3,4,5}
@inputs Height,Lenght,Area,Eccen,P_black,P_and,Mean_tr,Blackpix,Blackand,Wb_trans
@outputs Class
@data
7, 63, 441, 9.0, 0.338, 0.998, 1.8, 149, 440, 83, 1
9, 61, 549, 6.778, 0.213, 0.683, 1.6, 117, 375, 73, 1
9, 16, 144, 1.778, 0.16, 0.5, 1.92, 23, 72, 12, 1
7, 110, 770, 15.714, 0.21, 0.627, 1.38, 162, 483, 117, 1
14, 421, 5894, 30.071, 0.379, 0.581, 4.8, 2236, 3424, 466, 1
9, 107, 963, 11.889, 0.371, 0.65, 2.59, 357, 626, 138, 1
10, 22, 220, 2.2, 0.318, 0.777, 1.79, 70, 171, 39, 1
11, 11, 121, 1.0, 0.388, 0.818, 2.24, 47, 99, 21, 1
10, 28, 280, 2.8, 0.311, 0.957, 1.78, 87, 268, 49, 1
14, 192, 2688, 13.714, 0.234, 0.589, 2.28, 628, 1584, 275, 1
8, 190, 1520, 23.75, 0.118, 0.62, 1.21, 179, 943, 148, 1
10, 19, 190, 1.9, 0.611, 0.874, 8.92, 116, 166, 13, 1
7, 13, 91, 1.857, 0.374, 0.978, 1.79, 34, 89, 19, 1
10, 21, 210, 2.1, 0.362, 0.819, 2.11, 76, 172, 36, 1
7, 41, 287, 5.857, 0.345, 0.777, 1.55, 99, 223, 64, 1
7, 12, 84, 1.714, 0.417, 0.738, 1.84, 35, 62, 19, 1
8, 26, 208, 3.25, 0.24, 0.563, 2.5, 50, 117, 20, 1
5, 11, 55, 2.2, 0.345, 0.873, 1.46, 19, 48, 13, 1
8, 151, 1208, 18.875, 0.174, 0.627, 1.18, 210, 758, 178, 1
10, 15, 150, 1.5, 0.36, 0.813, 2.08, 54, 122, 26, 1
8, 15, 120, 1.875, 0.267, 0.767, 2.29, 32, 92, 14, 1
10, 34, 340, 3.4, 0.303, 0.815, 1.84, 103, 277, 56, 1
10, 285, 2850, 28.5, 0.175, 0.598, 1.58, 499, 1703, 315, 1
9, 64, 576, 7.111, 0.307, 0.842, 1.99, 177, 485, 89, 1
