@relation  texture
@attribute A1 real[-1.45,0.774]
@attribute A2 real[-1.2,0.33]
@attribute A3 real[-1.31,0.344]
@attribute A4 real[-1.11,0.588]
@attribute A5 real[-1.053,0.439]
@attribute A6 real[-1.003,0.452]
@attribute A7 real[-1.208,0.525]
@attribute A8 real[-1.08,0.398]
@attribute A9 real[-1.057,0.437]
@attribute A10 real[-1.258,0.355]
@attribute A11 real[-1.45,0.774]
@attribute A12 real[-1.083,0.372]
@attribute A13 real[-1.119,0.635]
@attribute A14 real[-1.018,0.157]
@attribute A15 real[-0.943,0.164]
@attribute A16 real[-0.994,0.036]
@attribute A17 real[-1.172,0.02]
@attribute A18 real[-1.017,0.115]
@attribute A19 real[-1.004,0.083]
@attribute A20 real[-1.18,0.439]
@attribute A21 real[-1.45,0.774]
@attribute A22 real[-1.228,0.596]
@attribute A23 real[-1.341,0.446]
@attribute A24 real[-1.177,0.688]
@attribute A25 real[-1.137,0.41]
@attribute A26 real[-1.11,0.373]
@attribute A27 real[-1.239,0.612]
@attribute A28 real[-1.154,0.422]
@attribute A29 real[-1.132,0.392]
@attribute A30 real[-1.422,0.472]
@attribute A31 real[-1.45,0.774]
@attribute A32 real[-1.179,0.565]
@attribute A33 real[-1.147,0.675]
@attribute A34 real[-1.123,0.313]
@attribute A35 real[-1.015,0.34]
@attribute A36 real[-1.03,0.156]
@attribute A37 real[-1.253,0.09]
@attribute A38 real[-1.097,0.194]
@attribute A39 real[-1.076,0.202]
@attribute A40 real[-1.215,0.465]
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}


@data
-1.199, -0.86, -0.904, -0.735, -0.623, -0.52, -0.856, -0.675, -0.619, -0.892, -1.199, -0.905, -0.836, -0.853, -0.733, -0.741, -0.998, -0.82, -0.78, -0.91, -1.199, -0.961, -1.081, -0.837, -0.794, -0.675, -0.938, -0.837, -0.769, -1.016, -1.199, -0.839, -0.69, -0.786, -0.632, -0.646, -0.95, -0.737, -0.677, -0.77, 2
-1.125, -0.64, -0.768, -0.472, -0.41, -0.271, -0.678, -0.534, -0.434, -0.856, -1.125, -0.731, -0.638, -0.683, -0.551, -0.612, -0.86, -0.639, -0.6, -0.73, -1.125, -0.783, -0.903, -0.646, -0.572, -0.434, -0.795, -0.646, -0.562, -0.892, -1.125, -0.631, -0.39, -0.596, -0.4, -0.494, -0.746, -0.479, -0.444, -0.499, 2
-1.267, -0.924, -0.956, -0.82, -0.73, -0.675, -0.972, -0.812, -0.762, -1.03, -1.267, -0.9, -0.731, -0.847, -0.674, -0.723, -1.02, -0.783, -0.757, -0.882, -1.267, -0.925, -0.968, -0.77, -0.665, -0.507, -0.923, -0.757, -0.657, -0.989, -1.267, -0.899, -0.768, -0.816, -0.674, -0.677, -0.973, -0.766, -0.719, -0.837, 2
-1.211, -0.734, -0.782, -0.574, -0.458, -0.367, -0.734, -0.561, -0.498, -0.839, -1.211, -0.81, -0.64, -0.754, -0.589, -0.637, -0.932, -0.689, -0.656, -0.772, -1.211, -0.873, -0.953, -0.752, -0.669, -0.543, -0.901, -0.742, -0.675, -1.007, -1.211, -0.7, -0.5, -0.685, -0.5, -0.565, -0.843, -0.578, -0.52, -0.555, 2
-1.052, -0.582, -0.742, -0.386, -0.357, -0.206, -0.563, -0.442, -0.324, -0.691, -1.052, -0.623, -0.425, -0.6, -0.402, -0.473, -0.765, -0.487, -0.453, -0.515, -1.052, -0.821, -0.938, -0.663, -0.632, -0.486, -0.762, -0.677, -0.584, -0.855, -1.052, -0.655, -0.525, -0.619, -0.484, -0.569, -0.79, -0.573, -0.553, -0.65, 2
-1.108, -0.722, -0.726, -0.543, -0.452, -0.368, -0.663, -0.506, -0.41, -0.619, -1.108, -0.763, -0.576, -0.727, -0.567, -0.626, -0.884, -0.655, -0.625, -0.692, -1.108, -0.797, -0.929, -0.658, -0.614, -0.498, -0.819, -0.696, -0.622, -0.934, -1.108, -0.703, -0.494, -0.678, -0.486, -0.546, -0.857, -0.585, -0.523, -0.594, 2
-1.201, -0.759, -0.788, -0.595, -0.489, -0.391, -0.753, -0.568, -0.487, -0.765, -1.201, -0.818, -0.666, -0.766, -0.608, -0.671, -0.94, -0.709, -0.685, -0.786, -1.201, -0.811, -0.987, -0.643, -0.597, -0.443, -0.818, -0.689, -0.593, -0.969, -1.201, -0.658, -0.451, -0.645, -0.449, -0.544, -0.804, -0.53, -0.495, -0.517, 2
-1.191, -0.822, -0.862, -0.697, -0.606, -0.497, -0.829, -0.657, -0.584, -0.856, -1.191, -0.844, -0.696, -0.788, -0.618, -0.604, -0.958, -0.718, -0.648, -0.749, -1.191, -0.88, -0.977, -0.742, -0.665, -0.514, -0.881, -0.741, -0.656, -0.959, -1.191, -0.796, -0.579, -0.745, -0.538, -0.579, -0.915, -0.641, -0.594, -0.679, 2
-1.05, -0.574, -0.767, -0.416, -0.392, -0.28, -0.59, -0.459, -0.385, -0.784, -1.05, -0.661, -0.585, -0.636, -0.518, -0.579, -0.813, -0.608, -0.566, -0.662, -1.05, -0.654, -0.801, -0.493, -0.416, -0.251, -0.644, -0.508, -0.427, -0.825, -1.05, -0.522, -0.242, -0.53, -0.293, -0.411, -0.668, -0.353, -0.345, -0.345, 2
-1.235, -0.813, -0.767, -0.631, -0.487, -0.403, -0.794, -0.597, -0.512, -0.782, -1.235, -0.847, -0.689, -0.779, -0.617, -0.661, -0.939, -0.708, -0.679, -0.799, -1.235, -0.856, -0.929, -0.659, -0.56, -0.402, -0.847, -0.681, -0.58, -0.941, -1.235, -0.751, -0.573, -0.663, -0.518, -0.576, -0.829, -0.592, -0.54, -0.623, 2
