@relation  segment
@attribute Region-centroid-col real[1.0,254.0]
@attribute Region-centroid-row real[11.0,251.0]
@attribute Region-pixel-count real[9.0,10.0]
@attribute Short-line-density-5 real[0.0,0.33333334]
@attribute Short-line-density-2 real[0.0,0.22222222]
@attribute Vedge-mean real[0.0,29.222221]
@attribute Vegde-sd real[0.0,991.7184]
@attribute Hedge-mean real[0.0,44.722225]
@attribute Hedge-sd real[-1.5894573E-8,1386.3292]
@attribute Intensity-mean real[0.0,143.44444]
@attribute Rawred-mean real[0.0,137.11111]
@attribute Rawblue-mean real[0.0,150.88889]
@attribute Rawgreen-mean real[0.0,142.55556]
@attribute Exred-mean real[-49.666668,9.888889]
@attribute Exblue-mean real[-12.444445,82.0]
@attribute Exgreen-mean real[-33.88889,24.666666]
@attribute Value-mean real[0.0,150.88889]
@attribute Saturatoin-mean real[0.0,1.0]
@attribute Hue-mean real[-3.0441751,2.9124804]
@attribute Class{1,2,3,4,5,6,7}
@inputs Region-centroid-col,Region-centroid-row,Region-pixel-count,Short-line-density-5,Short-line-density-2,Vedge-mean,Vegde-sd,Hedge-mean,Hedge-sd,Intensity-mean,Rawred-mean,Rawblue-mean,Rawgreen-mean,Exred-mean,Exblue-mean,Exgreen-mean,Value-mean,Saturatoin-mean,Hue-mean
@outputs Class
@data
222.0, 114.0, 9.0, 0.0, 0.0, 0.27777776, 0.06296293, 0.44444433, 0.074074075, 5.4444447, 6.111111, 7.3333335, 2.8888888, 2.0, 5.6666665, -7.6666665, 7.3333335, 0.6031746, -1.3145328, 1
101.0, 130.0, 9.0, 0.0, 0.0, 0.611111, 0.2407408, 0.66666657, 0.57777774, 5.7777777, 7.4444447, 6.6666665, 3.2222223, 5.0, 2.6666667, -7.6666665, 7.5555553, 0.57539684, -0.87149525, 1
60.0, 131.0, 9.0, 0.0, 0.0, 0.33333334, 0.088888854, 0.33333325, 0.08888887, 5.2222223, 7.2222223, 5.4444447, 3.0, 6.0, 0.6666667, -6.6666665, 7.2222223, 0.5813492, -0.62122244, 1
35.0, 132.0, 9.0, 0.0, 0.0, 0.49999985, 0.07777789, 0.22222216, 0.16296294, 5.3703704, 7.111111, 6.111111, 2.8888888, 5.2222223, 2.2222223, -7.4444447, 7.111111, 0.59325397, -0.8083832, 1
81.0, 98.0, 9.0, 0.11111111, 0.0, 1.2222227, 0.42963, 1.888889, 3.2296317, 20.88889, 21.0, 25.88889, 15.777778, 0.33333334, 15.0, -15.333333, 25.88889, 0.38914663, -1.5288948, 1
28.0, 112.0, 9.0, 0.0, 0.0, 0.72222215, 0.41851833, 0.5555555, 0.16296297, 5.9259257, 7.111111, 7.2222223, 3.4444444, 3.5555556, 3.8888888, -7.4444447, 7.5555553, 0.5440917, -1.0582771, 1
146.0, 140.0, 9.0, 0.0, 0.0, 1.0555557, 0.4629631, 1.0000001, 0.57777774, 6.3333335, 7.888889, 7.3333335, 3.7777777, 4.6666665, 3.0, -7.6666665, 8.222222, 0.537017, -0.9092674, 1
22.0, 60.0, 9.0, 0.0, 0.0, 0.5, 0.30000025, 1.2777777, 0.7296294, 19.925926, 19.333334, 25.777779, 14.666667, -1.7777778, 17.555555, -15.777778, 25.777779, 0.43048432, -1.650048, 1
145.0, 102.0, 9.0, 0.0, 0.0, 0.88888866, 0.6074083, 2.611111, 1.4851857, 23.074074, 22.11111, 29.777779, 17.333334, -2.8888888, 20.11111, -17.222221, 29.777779, 0.41776258, -1.6854404, 1
147.0, 111.0, 9.0, 0.0, 0.0, 0.38888893, 0.1518518, 0.4444445, 0.118518546, 5.6666665, 7.0, 7.0, 3.0, 4.0, 4.0, -8.0, 7.3333335, 0.59126985, -1.0414338, 1
73.0, 103.0, 9.0, 0.0, 0.0, 1.2777773, 0.32962978, 1.1111107, 1.5407397, 18.333334, 19.222221, 22.555555, 13.222222, 2.6666667, 12.666667, -15.333333, 22.555555, 0.41030627, -1.3974138, 1
88.0, 89.0, 9.0, 0.0, 0.0, 0.7777774, 0.38518468, 3.6666667, 4.0444417, 22.333334, 21.666666, 28.444445, 16.88889, -2.0, 18.333334, -16.333334, 28.444445, 0.40368655, -1.6255869, 1
37.0, 114.0, 9.0, 0.33333334, 0.0, 1.388889, 2.0185165, 3.8888884, 3.7629619, 17.222221, 19.0, 20.11111, 12.555555, 5.3333335, 8.666667, -14.0, 20.555555, 0.39369074, -1.1766617, 1
217.0, 145.0, 9.0, 0.0, 0.0, 0.5555556, 0.16296291, 0.72222215, 0.06296298, 5.296296, 6.3333335, 6.5555553, 3.0, 3.1111112, 3.7777777, -6.888889, 7.0, 0.56415343, -1.0689679, 1
192.0, 142.0, 9.0, 0.11111111, 0.0, 0.50000006, 0.12222217, 1.5000001, 0.52222186, 4.6666665, 6.7777777, 4.888889, 2.3333335, 6.3333335, 0.6666667, -7.0, 6.7777777, 0.662037, -0.60486406, 1
40.0, 85.0, 9.0, 0.11111111, 0.0, 1.111111, 0.5185188, 2.5000007, 0.6555552, 21.11111, 20.777779, 27.11111, 15.444445, -1.0, 18.0, -17.0, 27.11111, 0.42873532, -1.6039575, 1
