@relation  page-blocks
@attribute Height numeric
@attribute Lenght numeric
@attribute Area numeric
@attribute Eccen numeric
@attribute P_black numeric
@attribute P_and numeric
@attribute Mean_tr numeric
@attribute Blackpix numeric
@attribute Blackand numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}


@data
8, 9, 72, 1.125, 0.361, 0.972, 1.73, 26, 70, 15, 1
8, 53, 424, 6.625, 0.37, 0.901, 1.76, 157, 382, 89, 1
9, 180, 1620, 20.0, 0.374, 0.759, 2.86, 606, 1230, 212, 1
8, 4, 32, 0.5, 0.469, 0.719, 5.0, 15, 23, 3, 1
8, 16, 128, 2.0, 0.234, 0.922, 1.58, 30, 118, 19, 1
5, 24, 120, 4.8, 0.342, 0.808, 1.32, 41, 97, 31, 1
8, 9, 72, 1.125, 0.375, 0.736, 2.45, 27, 53, 11, 1
8, 37, 296, 4.625, 0.334, 0.831, 1.87, 99, 246, 53, 1
9, 19, 171, 2.111, 0.222, 0.673, 1.31, 38, 115, 29, 1
9, 95, 855, 10.556, 0.284, 0.849, 1.91, 243, 726, 127, 1
6, 46, 276, 7.667, 0.217, 0.804, 2.0, 60, 222, 30, 1
8, 3, 24, 0.375, 0.417, 0.417, 10.0, 10, 10, 1, 1
7, 11, 77, 1.571, 0.364, 0.935, 1.4, 28, 72, 20, 1
9, 73, 657, 8.111, 0.376, 0.846, 2.63, 247, 556, 94, 1
13, 323, 4199, 24.846, 0.256, 0.557, 2.4, 1076, 2340, 449, 1
8, 39, 312, 4.875, 0.378, 0.962, 1.64, 118, 300, 72, 1
9, 332, 2988, 36.889, 0.159, 0.712, 1.21, 476, 2128, 393, 1
10, 508, 5080, 50.8, 0.16, 0.628, 1.41, 813, 3189, 578, 1
8, 17, 136, 2.125, 0.199, 0.603, 3.0, 27, 82, 9, 1
11, 65, 715, 5.909, 0.39, 0.877, 2.61, 279, 627, 107, 1
1, 45, 45, 45.0, 0.356, 1.0, 1.07, 16, 45, 15, 1
9, 144, 1296, 16.0, 0.123, 0.612, 1.33, 160, 793, 120, 1
9, 85, 765, 9.444, 0.302, 0.812, 1.82, 231, 621, 127, 1
10, 66, 660, 6.6, 0.324, 0.78, 2.25, 214, 515, 95, 1
11, 19, 209, 1.727, 0.579, 0.957, 7.56, 121, 200, 16, 1
9, 20, 180, 2.222, 0.3, 0.972, 1.74, 54, 175, 31, 1
7, 64, 448, 9.143, 0.498, 0.911, 2.93, 223, 408, 76, 1
6, 6, 36, 1.0, 0.306, 0.556, 3.67, 11, 20, 3, 1
9, 92, 828, 10.222, 0.35, 0.917, 2.07, 290, 759, 140, 1
7, 39, 273, 5.571, 0.293, 0.733, 1.43, 80, 200, 56, 1
10, 99, 990, 9.9, 0.473, 0.917, 2.93, 468, 908, 160, 1
7, 9, 63, 1.286, 0.349, 0.746, 1.83, 22, 47, 12, 1
6, 13, 78, 2.167, 0.333, 0.846, 1.37, 26, 66, 19, 1
12, 115, 1380, 9.583, 0.256, 0.572, 1.74, 353, 790, 203, 1
10, 17, 170, 1.7, 0.382, 1.0, 2.41, 65, 170, 27, 1
10, 271, 2710, 27.1, 0.168, 0.612, 1.29, 454, 1659, 351, 1
10, 61, 610, 6.1, 0.29, 0.657, 2.16, 177, 401, 82, 1
3, 3, 9, 1.0, 0.889, 0.889, 8.0, 8, 8, 1, 1
8, 12, 96, 1.5, 0.458, 0.667, 3.67, 44, 64, 12, 1
9, 41, 369, 4.556, 0.244, 0.661, 1.32, 90, 244, 68, 1
7, 9, 63, 1.286, 0.429, 0.667, 3.0, 27, 42, 9, 1
8, 33, 264, 4.125, 0.371, 0.795, 1.92, 98, 210, 51, 1
8, 47, 376, 5.875, 0.34, 0.753, 2.0, 128, 283, 64, 1
9, 75, 675, 8.333, 0.396, 0.914, 2.21, 267, 617, 121, 1
5, 203, 1015, 40.6, 0.239, 0.859, 1.3, 243, 872, 187, 1
11, 12, 132, 1.091, 0.5, 0.841, 4.13, 66, 111, 16, 1
8, 69, 552, 8.625, 0.279, 0.687, 1.5, 154, 379, 103, 1
12, 22, 264, 1.833, 0.568, 0.837, 7.5, 150, 221, 20, 1
7, 128, 896, 18.286, 0.265, 0.72, 1.69, 237, 645, 140, 1
6, 9, 54, 1.5, 0.37, 0.722, 2.0, 20, 39, 10, 1
11, 44, 484, 4.0, 0.308, 0.818, 2.01, 149, 396, 74, 1
8, 31, 248, 3.875, 0.411, 0.742, 2.04, 102, 184, 50, 1
9, 46, 414, 5.111, 0.338, 0.872, 1.67, 140, 361, 84, 1
9, 39, 351, 4.333, 0.239, 0.624, 1.53, 84, 219, 55, 1
7, 15, 105, 2.143, 0.4, 0.924, 1.5, 42, 97, 28, 1
8, 48, 384, 6.0, 0.354, 0.865, 1.89, 136, 332, 72, 1
14, 417, 5838, 29.786, 0.359, 0.559, 4.48, 2094, 3262, 467, 1
11, 27, 297, 2.455, 0.303, 0.596, 2.43, 90, 177, 37, 1
6, 95, 570, 15.833, 0.3, 0.911, 1.64, 171, 519, 104, 1
8, 32, 256, 4.0, 0.387, 0.895, 1.62, 99, 229, 61, 1
8, 12, 96, 1.5, 0.427, 0.958, 1.86, 41, 92, 22, 1
9, 38, 342, 4.222, 0.211, 0.561, 2.25, 72, 192, 32, 1
14, 273, 3822, 19.5, 0.373, 0.701, 4.59, 1424, 2681, 310, 1
12, 72, 864, 6.0, 0.635, 0.94, 5.97, 549, 812, 92, 1
8, 38, 304, 4.75, 0.401, 0.747, 2.65, 122, 227, 46, 1
11, 207, 2277, 18.818, 0.268, 0.723, 1.84, 610, 1647, 332, 1
9, 508, 4572, 56.444, 0.164, 0.69, 1.22, 748, 3154, 614, 1
8, 242, 1936, 30.25, 0.171, 0.409, 1.45, 331, 792, 228, 1
8, 43, 344, 5.375, 0.392, 0.927, 2.21, 135, 319, 61, 1
9, 64, 576, 7.111, 0.307, 0.842, 1.99, 177, 485, 89, 1
10, 155, 1550, 15.5, 0.332, 0.687, 2.47, 514, 1065, 208, 1
8, 16, 128, 2.0, 0.367, 0.969, 1.88, 47, 124, 25, 1
9, 536, 4824, 59.556, 0.154, 0.602, 1.36, 743, 2904, 547, 1
8, 19, 152, 2.375, 0.388, 1.0, 1.74, 59, 152, 34, 1
7, 5, 35, 0.714, 0.486, 0.943, 4.25, 17, 33, 4, 1
9, 75, 675, 8.333, 0.194, 0.698, 1.46, 131, 471, 90, 1
7, 346, 2422, 49.429, 0.185, 0.731, 1.26, 448, 1771, 355, 1
11, 100, 1100, 9.091, 0.473, 0.882, 3.29, 520, 970, 158, 1
9, 194, 1746, 21.556, 0.169, 0.597, 1.37, 295, 1043, 215, 1
9, 14, 126, 1.556, 0.333, 0.897, 2.47, 42, 113, 17, 1
9, 20, 180, 2.222, 0.322, 0.717, 2.15, 58, 129, 27, 1
8, 43, 344, 5.375, 0.212, 0.721, 1.4, 73, 248, 52, 1
38, 127, 4826, 3.342, 0.464, 0.87, 3.41, 2238, 4199, 657, 1
11, 86, 946, 7.818, 0.289, 0.701, 1.98, 273, 663, 138, 1
6, 60, 360, 10.0, 0.292, 0.822, 1.57, 105, 296, 67, 1
8, 13, 104, 1.625, 0.423, 0.99, 1.76, 44, 103, 25, 1
9, 172, 1548, 19.111, 0.353, 0.799, 2.43, 546, 1237, 225, 1
14, 433, 6062, 30.929, 0.355, 0.572, 4.44, 2152, 3467, 485, 1
7, 41, 287, 5.857, 0.307, 0.808, 1.52, 88, 232, 58, 1
5, 4, 20, 0.8, 0.35, 0.85, 1.75, 7, 17, 4, 1
5, 96, 480, 19.2, 0.342, 0.738, 2.13, 164, 354, 77, 1
8, 15, 120, 1.875, 0.458, 0.95, 2.2, 55, 114, 25, 1
7, 110, 770, 15.714, 0.21, 0.627, 1.38, 162, 483, 117, 1
8, 70, 560, 8.75, 0.279, 0.727, 1.68, 156, 407, 93, 1
11, 73, 803, 6.636, 0.27, 0.844, 2.03, 217, 678, 107, 1
9, 91, 819, 10.111, 0.233, 0.789, 1.71, 191, 646, 112, 1
9, 43, 387, 4.778, 0.3, 0.713, 1.78, 116, 276, 65, 1
12, 67, 804, 5.583, 0.35, 0.693, 2.84, 281, 557, 99, 1
9, 53, 477, 5.889, 0.218, 0.591, 1.24, 104, 282, 84, 1
9, 33, 297, 3.667, 0.424, 0.97, 1.85, 126, 288, 68, 1
6, 101, 606, 16.833, 0.411, 0.876, 1.93, 249, 531, 129, 1
8, 17, 136, 2.125, 0.419, 0.956, 2.11, 57, 130, 27, 1
7, 34, 238, 4.857, 0.286, 0.756, 1.36, 68, 180, 50, 1
7, 69, 483, 9.857, 0.188, 0.754, 1.28, 91, 364, 71, 1
7, 10, 70, 1.429, 0.286, 0.771, 2.22, 20, 54, 9, 1
8, 36, 288, 4.5, 0.406, 1.0, 1.89, 117, 288, 62, 1
8, 108, 864, 13.5, 0.235, 0.618, 1.41, 203, 534, 144, 1
11, 91, 1001, 8.273, 0.286, 0.597, 2.33, 286, 598, 123, 1
6, 27, 162, 4.5, 0.475, 0.809, 2.33, 77, 131, 33, 1
8, 32, 256, 4.0, 0.375, 0.801, 2.04, 96, 205, 47, 1
5, 10, 50, 2.0, 0.36, 1.0, 1.29, 18, 50, 14, 1
10, 60, 600, 6.0, 0.365, 0.788, 2.35, 219, 473, 93, 1
8, 28, 224, 3.5, 0.397, 0.996, 2.07, 89, 223, 43, 1
10, 23, 230, 2.3, 0.37, 0.83, 2.3, 85, 191, 37, 1
6, 95, 570, 15.833, 0.256, 0.768, 1.78, 146, 438, 82, 1
7, 8, 56, 1.143, 0.321, 0.786, 1.38, 18, 44, 13, 1
8, 99, 792, 12.375, 0.351, 0.962, 1.66, 278, 762, 167, 1
9, 20, 180, 2.222, 0.361, 0.872, 1.86, 65, 157, 35, 1
10, 59, 590, 5.9, 0.251, 0.763, 1.7, 148, 450, 87, 1
9, 16, 144, 1.778, 0.375, 1.0, 2.08, 54, 144, 26, 1
9, 32, 288, 3.556, 0.292, 0.826, 1.53, 84, 238, 55, 1
9, 352, 3168, 39.111, 0.205, 0.692, 1.34, 651, 2193, 486, 1
9, 535, 4815, 59.444, 0.118, 0.482, 1.31, 566, 2323, 432, 1
8, 8, 64, 1.0, 0.359, 0.969, 1.53, 23, 62, 15, 1
7, 28, 196, 4.0, 0.306, 0.847, 1.58, 60, 166, 38, 1
9, 12, 108, 1.333, 0.444, 1.0, 1.78, 48, 108, 27, 1
8, 106, 848, 13.25, 0.358, 0.698, 2.29, 304, 592, 133, 1
8, 256, 2048, 32.0, 0.124, 0.563, 1.26, 253, 1153, 200, 1
7, 5, 35, 0.714, 0.514, 0.8, 9.0, 18, 28, 2, 1
8, 190, 1520, 23.75, 0.326, 0.63, 2.22, 495, 957, 223, 1
11, 45, 495, 4.091, 0.267, 0.733, 2.0, 132, 363, 66, 1
8, 20, 160, 2.5, 0.425, 1.0, 2.27, 68, 160, 30, 1
8, 53, 424, 6.625, 0.344, 0.884, 1.83, 146, 375, 80, 1
8, 83, 664, 10.375, 0.325, 0.908, 1.76, 216, 603, 123, 1
7, 30, 210, 4.286, 0.352, 0.79, 1.54, 74, 166, 48, 1
8, 15, 120, 1.875, 0.375, 0.85, 1.88, 45, 102, 24, 1
6, 81, 486, 13.5, 0.282, 0.852, 1.26, 137, 414, 109, 1
12, 43, 516, 3.583, 0.357, 0.849, 2.71, 184, 438, 68, 1
9, 91, 819, 10.111, 0.161, 0.44, 1.86, 132, 360, 71, 1
8, 107, 856, 13.375, 0.363, 0.734, 2.24, 311, 628, 139, 1
7, 119, 833, 17.0, 0.285, 0.872, 1.5, 237, 726, 158, 1
16, 344, 5504, 21.5, 0.385, 0.662, 5.2, 2121, 3643, 408, 1
7, 9, 63, 1.286, 0.349, 0.905, 2.2, 22, 57, 10, 1
12, 175, 2100, 14.583, 0.403, 0.774, 4.28, 847, 1625, 198, 1
9, 49, 441, 5.444, 0.252, 0.739, 1.61, 111, 326, 69, 1
10, 98, 980, 9.8, 0.391, 0.835, 2.41, 383, 818, 159, 1
10, 16, 160, 1.6, 0.288, 0.744, 2.19, 46, 119, 21, 1
10, 144, 1440, 14.4, 0.256, 0.625, 1.8, 368, 900, 205, 1
9, 18, 162, 2.0, 0.352, 0.901, 1.84, 57, 146, 31, 1
7, 49, 343, 7.0, 0.3, 0.72, 1.34, 103, 247, 77, 1
5, 5, 25, 1.0, 0.52, 1.0, 2.17, 13, 25, 6, 1
8, 126, 1008, 15.75, 0.469, 0.961, 2.87, 473, 969, 165, 1
10, 31, 310, 3.1, 0.316, 0.752, 1.66, 98, 233, 59, 1
7, 38, 266, 5.429, 0.286, 0.748, 1.69, 76, 199, 45, 1
11, 13, 143, 1.182, 0.35, 0.783, 2.08, 50, 112, 24, 1
7, 6, 42, 0.857, 0.286, 0.857, 1.71, 12, 36, 7, 1
1, 36, 36, 36.0, 0.222, 1.0, 1.14, 8, 36, 7, 1
10, 63, 630, 6.3, 0.294, 0.895, 2.2, 185, 564, 84, 1
7, 57, 399, 8.143, 0.414, 0.797, 2.7, 165, 318, 61, 1
8, 40, 320, 5.0, 0.213, 0.659, 1.24, 68, 211, 55, 1
14, 18, 252, 1.286, 0.159, 0.607, 3.33, 40, 153, 12, 1
7, 24, 168, 3.429, 0.28, 0.607, 1.38, 47, 102, 34, 1
10, 262, 2620, 26.2, 0.179, 0.606, 1.36, 469, 1587, 344, 1
6, 100, 600, 16.667, 0.345, 0.795, 1.68, 207, 477, 123, 1
16, 424, 6784, 26.5, 0.371, 0.563, 5.34, 2514, 3820, 471, 1
9, 343, 3087, 38.111, 0.162, 0.677, 1.24, 499, 2091, 401, 1
9, 46, 414, 5.111, 0.242, 0.737, 1.47, 100, 305, 68, 1
12, 272, 3264, 22.667, 0.329, 0.75, 2.74, 1075, 2448, 393, 1
