@relation  page-blocks
@attribute Height numeric
@attribute Lenght numeric
@attribute Area numeric
@attribute Eccen numeric
@attribute P_black numeric
@attribute P_and numeric
@attribute Mean_tr numeric
@attribute Blackpix numeric
@attribute Blackand numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}


@data
8, 9, 72, 1.125, 0.431, 0.958, 2.07, 31, 69, 15, 1
9, 47, 423, 5.222, 0.385, 0.917, 2.51, 163, 388, 65, 1
8, 202, 1616, 25.25, 0.313, 0.689, 1.83, 505, 1114, 276, 1
5, 6, 30, 1.2, 0.433, 0.9, 1.63, 13, 27, 8, 1
11, 12, 132, 1.091, 0.295, 0.818, 3.0, 39, 108, 13, 1
11, 11, 121, 1.0, 0.438, 0.868, 4.08, 53, 105, 13, 1
8, 9, 72, 1.125, 0.375, 0.889, 1.8, 27, 64, 15, 1
8, 37, 296, 4.625, 0.375, 0.753, 2.22, 111, 223, 50, 1
8, 23, 184, 2.875, 0.239, 0.554, 1.76, 44, 102, 25, 1
9, 99, 891, 11.0, 0.21, 0.778, 1.39, 187, 693, 135, 1
10, 28, 280, 2.8, 0.336, 0.85, 1.68, 94, 238, 56, 1
2, 14, 28, 7.0, 0.393, 0.536, 3.67, 11, 15, 3, 1
7, 11, 77, 1.571, 0.364, 0.922, 2.0, 28, 71, 14, 1
9, 76, 684, 8.444, 0.352, 0.813, 2.27, 241, 556, 106, 1
14, 300, 4200, 21.429, 0.263, 0.607, 2.39, 1106, 2550, 462, 1
12, 27, 324, 2.25, 0.318, 0.898, 2.64, 103, 291, 39, 1
11, 262, 2882, 23.818, 0.259, 0.788, 1.94, 747, 2271, 386, 1
12, 414, 4968, 34.5, 0.313, 0.734, 2.3, 1554, 3646, 675, 1
7, 19, 133, 2.714, 0.278, 0.662, 1.37, 37, 88, 27, 1
9, 81, 729, 9.0, 0.287, 0.826, 2.22, 209, 602, 94, 1
8, 6, 48, 0.75, 0.333, 0.979, 1.78, 16, 47, 9, 1
8, 158, 1264, 19.75, 0.102, 0.346, 1.33, 129, 437, 97, 1
9, 85, 765, 9.444, 0.395, 0.846, 2.32, 302, 647, 130, 1
6, 114, 684, 19.0, 0.278, 0.741, 1.76, 190, 507, 108, 1
10, 22, 220, 2.2, 0.591, 0.855, 6.5, 130, 188, 20, 1
8, 23, 184, 2.875, 0.364, 0.967, 2.03, 67, 178, 33, 1
6, 72, 432, 12.0, 0.604, 0.991, 4.08, 261, 428, 64, 1
6, 7, 42, 1.167, 0.357, 0.548, 7.5, 15, 23, 2, 1
10, 84, 840, 8.4, 0.356, 0.849, 2.47, 299, 713, 121, 1
7, 40, 280, 5.714, 0.186, 0.754, 2.26, 52, 211, 23, 1
9, 108, 972, 12.0, 0.449, 0.868, 2.55, 436, 844, 171, 1
7, 9, 63, 1.286, 0.444, 0.825, 3.11, 28, 52, 9, 1
7, 11, 77, 1.571, 0.312, 0.844, 1.33, 24, 65, 18, 1
9, 151, 1359, 16.778, 0.185, 0.566, 1.39, 251, 769, 181, 1
8, 21, 168, 2.625, 0.411, 0.994, 2.56, 69, 167, 27, 1
10, 285, 2850, 28.5, 0.175, 0.598, 1.58, 499, 1703, 315, 1
10, 63, 630, 6.3, 0.233, 0.705, 1.69, 147, 444, 87, 1
3, 3, 9, 1.0, 0.778, 0.778, 7.0, 7, 7, 1, 1
6, 15, 90, 2.5, 0.467, 0.711, 3.23, 42, 64, 13, 1
9, 42, 378, 4.667, 0.198, 0.563, 1.15, 75, 213, 65, 1
7, 9, 63, 1.286, 0.238, 0.619, 1.5, 15, 39, 10, 1
8, 34, 272, 4.25, 0.419, 0.783, 2.0, 114, 213, 57, 1
10, 37, 370, 3.7, 0.592, 0.722, 8.11, 219, 267, 27, 1
9, 78, 702, 8.667, 0.464, 0.89, 3.33, 326, 625, 98, 1
