@relation  page-blocks
@attribute Height numeric
@attribute Lenght numeric
@attribute Area numeric
@attribute Eccen numeric
@attribute P_black numeric
@attribute P_and numeric
@attribute Mean_tr numeric
@attribute Blackpix numeric
@attribute Blackand numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}


@data
8, 9, 72, 1.125, 0.458, 1.0, 3.0, 33, 72, 11, 1
8, 52, 416, 6.5, 0.45, 0.921, 2.88, 187, 383, 65, 1
10, 162, 1620, 16.2, 0.294, 0.73, 2.71, 477, 1183, 176, 1
5, 6, 30, 1.2, 0.433, 0.733, 13.0, 13, 22, 1, 1
10, 13, 130, 1.3, 0.231, 0.8, 1.76, 30, 104, 17, 1
11, 11, 121, 1.0, 0.43, 0.802, 4.73, 52, 97, 11, 1
8, 9, 72, 1.125, 0.361, 0.819, 1.73, 26, 59, 15, 1
9, 33, 297, 3.667, 0.354, 0.781, 1.84, 105, 232, 57, 1
7, 26, 182, 3.714, 0.192, 0.626, 1.52, 35, 114, 23, 1
12, 72, 864, 6.0, 0.228, 0.78, 1.79, 197, 674, 110, 1
7, 40, 280, 5.714, 0.25, 0.832, 1.59, 70, 233, 44, 1
5, 6, 30, 1.2, 0.333, 0.333, 10.0, 10, 10, 1, 1
5, 15, 75, 3.0, 0.4, 0.947, 1.67, 30, 71, 18, 1
12, 56, 672, 4.667, 0.256, 0.827, 2.02, 172, 556, 85, 1
9, 457, 4113, 50.778, 0.173, 0.63, 1.28, 712, 2590, 555, 1
8, 40, 320, 5.0, 0.347, 0.913, 1.63, 111, 292, 68, 1
12, 245, 2940, 20.417, 0.204, 0.797, 1.7, 599, 2342, 353, 1
13, 386, 5018, 29.692, 0.286, 0.658, 2.19, 1437, 3301, 657, 1
8, 17, 136, 2.125, 0.294, 0.654, 2.22, 40, 89, 18, 1
9, 80, 720, 8.889, 0.293, 0.868, 1.85, 211, 625, 114, 1
1, 47, 47, 47.0, 0.426, 1.0, 1.05, 20, 47, 19, 1
8, 162, 1296, 20.25, 0.204, 0.412, 3.12, 265, 534, 85, 1
10, 76, 760, 7.6, 0.474, 0.799, 3.03, 360, 607, 119, 1
11, 62, 682, 5.636, 0.353, 0.78, 3.21, 241, 532, 75, 1
11, 20, 220, 1.818, 0.568, 0.895, 8.93, 125, 197, 14, 1
7, 26, 182, 3.714, 0.352, 1.0, 1.36, 64, 182, 47, 1
9, 49, 441, 5.444, 0.587, 0.961, 3.12, 259, 424, 83, 1
5, 8, 40, 1.6, 0.375, 0.475, 15.0, 15, 19, 1, 1
10, 83, 830, 8.3, 0.357, 0.813, 2.28, 296, 675, 130, 1
7, 40, 280, 5.714, 0.229, 0.686, 1.28, 64, 192, 50, 1
8, 121, 968, 15.125, 0.431, 0.98, 3.11, 417, 949, 134, 1
8, 8, 64, 1.0, 0.391, 0.781, 2.78, 25, 50, 9, 1
7, 11, 77, 1.571, 0.351, 0.87, 1.5, 27, 67, 18, 1
7, 198, 1386, 28.286, 0.055, 0.359, 1.23, 76, 498, 62, 1
8, 21, 168, 2.625, 0.357, 0.964, 2.07, 60, 162, 29, 1
9, 311, 2799, 34.556, 0.163, 0.582, 1.34, 456, 1629, 340, 1
10, 63, 630, 6.3, 0.184, 0.617, 1.4, 116, 389, 83, 1
5, 2, 10, 0.4, 0.7, 0.7, 7.0, 7, 7, 1, 1
10, 9, 90, 0.9, 0.644, 0.689, 58.0, 58, 62, 1, 1
9, 42, 378, 4.667, 0.235, 0.603, 1.37, 89, 228, 65, 1
7, 9, 63, 1.286, 0.333, 0.492, 21.0, 21, 31, 1, 1
8, 34, 272, 4.25, 0.357, 0.75, 1.87, 97, 204, 52, 1
14, 27, 378, 1.929, 0.479, 0.709, 7.24, 181, 268, 25, 1
8, 86, 688, 10.75, 0.494, 0.945, 2.64, 340, 650, 129, 1
6, 172, 1032, 28.667, 0.294, 0.907, 1.73, 303, 936, 175, 1
8, 17, 136, 2.125, 0.456, 0.824, 2.38, 62, 112, 26, 1
11, 49, 539, 4.455, 0.343, 0.666, 4.3, 185, 359, 43, 1
11, 23, 253, 2.091, 0.585, 0.834, 8.22, 148, 211, 18, 1
11, 84, 924, 7.636, 0.251, 0.681, 1.77, 232, 629, 131, 1
11, 5, 55, 0.455, 0.655, 0.727, 12.0, 36, 40, 3, 1
8, 60, 480, 7.5, 0.433, 0.842, 3.01, 208, 404, 69, 1
11, 22, 242, 2.0, 0.417, 0.694, 4.04, 101, 168, 25, 1
10, 41, 410, 4.1, 0.339, 0.832, 2.01, 139, 341, 69, 1
17, 21, 357, 1.235, 0.373, 0.613, 16.63, 133, 219, 8, 1
9, 12, 108, 1.333, 0.407, 0.88, 1.69, 44, 95, 26, 1
4, 96, 384, 24.0, 0.479, 0.878, 2.56, 184, 337, 72, 1
