@relation  page-blocks
@attribute Height integer[1,804]
@attribute Lenght integer[1,553]
@attribute Area integer[7,143993]
@attribute Eccen real[0.0070,537.0]
@attribute P_black real[0.052,1.0]
@attribute P_and real[0.062,1.0]
@attribute Mean_tr real[1.0,4955.0]
@attribute Blackpix integer[1,33017]
@attribute Blackand integer[7,46133]
@attribute Wb_trans integer[1,3212]
@attribute Class{1,2,3,4,5}
@inputs Height,Lenght,Area,Eccen,P_black,P_and,Mean_tr,Blackpix,Blackand,Wb_trans
@outputs Class
@data
8, 9, 72, 1.125, 0.417, 1.0, 2.31, 30, 72, 13, 1
9, 45, 405, 5.0, 0.442, 0.956, 3.31, 179, 387, 54, 1
11, 147, 1617, 13.364, 0.257, 0.761, 1.58, 416, 1230, 264, 1
6, 5, 30, 0.833, 0.333, 0.833, 1.67, 10, 25, 6, 1
7, 18, 126, 2.571, 0.254, 0.841, 1.39, 32, 106, 23, 1
11, 11, 121, 1.0, 0.388, 0.818, 2.24, 47, 99, 21, 1
8, 9, 72, 1.125, 0.389, 0.792, 2.0, 28, 57, 14, 1
6, 50, 300, 8.333, 0.327, 0.777, 2.0, 98, 233, 49, 1
10, 18, 180, 1.8, 0.306, 0.617, 2.5, 55, 111, 22, 1
12, 73, 876, 6.083, 0.259, 0.743, 2.1, 227, 651, 108, 1
11, 26, 286, 2.364, 0.262, 0.804, 1.79, 75, 230, 42, 1
7, 4, 28, 0.571, 0.357, 0.571, 5.0, 10, 16, 2, 1
7, 11, 77, 1.571, 0.364, 0.922, 1.75, 28, 71, 16, 1
7, 97, 679, 13.857, 0.211, 0.791, 1.51, 143, 537, 95, 1
9, 464, 4176, 51.556, 0.158, 0.55, 1.3, 658, 2297, 505, 1
5, 63, 315, 12.6, 0.368, 0.927, 2.0, 116, 292, 58, 1
25, 118, 2950, 4.72, 0.268, 0.745, 2.02, 791, 2198, 392, 1
12, 410, 4920, 34.167, 0.324, 0.706, 2.47, 1595, 3474, 645, 1
5, 27, 135, 5.4, 0.267, 0.622, 1.71, 36, 84, 21, 1
9, 79, 711, 8.778, 0.323, 0.873, 2.19, 230, 621, 105, 1
8, 6, 48, 0.75, 0.375, 1.0, 1.64, 18, 48, 11, 1
10, 125, 1250, 12.5, 0.19, 0.526, 1.39, 237, 657, 170, 1
8, 95, 760, 11.875, 0.466, 0.904, 2.95, 354, 687, 120, 1
11, 63, 693, 5.727, 0.332, 0.724, 2.77, 230, 502, 83, 1
11, 20, 220, 1.818, 0.564, 0.918, 8.86, 124, 202, 14, 1
10, 18, 180, 1.8, 0.383, 1.0, 2.3, 69, 180, 30, 1
9, 49, 441, 5.444, 0.594, 0.998, 3.05, 262, 440, 86, 1
5, 8, 40, 1.6, 0.35, 0.675, 4.67, 14, 27, 3, 1
9, 92, 828, 10.222, 0.292, 0.843, 2.05, 242, 698, 118, 1
7, 41, 287, 5.857, 0.209, 0.652, 1.36, 60, 187, 44, 1
10, 100, 1000, 10.0, 0.444, 0.924, 2.64, 444, 924, 168, 1
7, 9, 63, 1.286, 0.397, 0.841, 2.78, 25, 53, 9, 1
7, 11, 77, 1.571, 0.364, 0.896, 1.47, 28, 69, 19, 1
11, 132, 1452, 12.0, 0.189, 0.44, 2.04, 274, 639, 134, 1
8, 21, 168, 2.625, 0.357, 0.911, 1.67, 60, 153, 36, 1
12, 230, 2760, 19.167, 0.164, 0.57, 3.48, 453, 1572, 130, 1
8, 81, 648, 10.125, 0.221, 0.591, 1.29, 143, 383, 111, 1
3, 3, 9, 1.0, 0.778, 0.778, 7.0, 7, 7, 1, 1
10, 9, 90, 0.9, 0.689, 0.789, 10.33, 62, 71, 6, 1
7, 54, 378, 7.714, 0.267, 0.619, 1.42, 101, 234, 71, 1
2, 31, 62, 15.5, 0.194, 0.516, 2.0, 12, 32, 6, 1
10, 27, 270, 2.7, 0.367, 0.744, 2.02, 99, 201, 49, 1
17, 22, 374, 1.294, 0.409, 0.757, 4.5, 153, 283, 34, 1
9, 76, 684, 8.444, 0.38, 0.95, 2.2, 260, 650, 118, 1
8, 130, 1040, 16.25, 0.36, 0.876, 2.21, 374, 911, 169, 1
5, 27, 135, 5.4, 0.407, 0.815, 2.12, 55, 110, 26, 1
9, 58, 522, 6.444, 0.351, 0.669, 2.29, 183, 349, 80, 1
11, 22, 242, 2.0, 0.603, 0.888, 8.59, 146, 215, 17, 1
11, 85, 935, 7.727, 0.25, 0.664, 1.73, 234, 621, 135, 1
7, 8, 56, 1.143, 0.411, 0.714, 2.3, 23, 40, 10, 1
9, 54, 486, 6.0, 0.391, 0.817, 1.98, 190, 397, 96, 1
11, 22, 242, 2.0, 0.281, 0.669, 1.94, 68, 162, 35, 1
9, 46, 414, 5.111, 0.297, 0.833, 1.66, 123, 345, 74, 1
9, 40, 360, 4.444, 0.344, 0.683, 2.07, 124, 246, 60, 1
6, 18, 108, 3.0, 0.491, 0.88, 2.04, 53, 95, 26, 1
10, 38, 380, 3.8, 0.434, 0.892, 2.89, 165, 339, 57, 1
14, 402, 5628, 28.714, 0.399, 0.631, 4.75, 2248, 3554, 473, 1
7, 42, 294, 6.0, 0.235, 0.571, 1.33, 69, 168, 52, 1
8, 70, 560, 8.75, 0.298, 0.914, 1.76, 167, 512, 95, 1
7, 36, 252, 5.143, 0.365, 0.96, 1.67, 92, 242, 55, 1
7, 14, 98, 2.0, 0.378, 0.969, 1.95, 37, 95, 19, 1
13, 25, 325, 1.923, 0.234, 0.286, 10.86, 76, 93, 7, 1
12, 302, 3624, 25.167, 0.199, 0.795, 1.68, 721, 2880, 429, 1
12, 71, 852, 5.917, 0.631, 0.904, 6.64, 538, 770, 81, 1
9, 34, 306, 3.778, 0.366, 0.846, 2.38, 112, 259, 47, 1
9, 250, 2250, 27.778, 0.305, 0.711, 2.18, 686, 1600, 314, 1
9, 508, 4572, 56.444, 0.184, 0.705, 1.31, 840, 3224, 640, 1
9, 201, 1809, 22.333, 0.152, 0.456, 1.27, 275, 825, 216, 1
9, 37, 333, 4.111, 0.453, 0.964, 2.7, 151, 321, 56, 1
6, 96, 576, 16.0, 0.297, 0.811, 2.25, 171, 467, 76, 1
9, 175, 1575, 19.444, 0.177, 0.624, 1.26, 279, 983, 222, 1
7, 18, 126, 2.571, 0.357, 1.0, 1.55, 45, 126, 29, 1
9, 532, 4788, 59.111, 0.154, 0.642, 1.29, 736, 3073, 572, 1
9, 17, 153, 1.889, 0.451, 0.941, 2.46, 69, 144, 28, 1
5, 7, 35, 1.4, 0.429, 0.971, 1.36, 15, 34, 11, 1
6, 106, 636, 17.667, 0.129, 0.835, 1.14, 82, 531, 72, 1
9, 271, 2439, 30.111, 0.284, 0.677, 1.93, 692, 1651, 358, 1
9, 122, 1098, 13.556, 0.378, 0.961, 2.73, 415, 1055, 152, 1
7, 245, 1715, 35.0, 0.143, 0.608, 1.41, 246, 1042, 175, 1
8, 16, 128, 2.0, 0.258, 0.945, 1.18, 33, 121, 28, 1
10, 18, 180, 1.8, 0.389, 0.817, 1.89, 70, 147, 37, 1
8, 41, 328, 5.125, 0.21, 0.662, 1.44, 69, 217, 48, 1
25, 185, 4625, 7.4, 0.479, 0.95, 7.24, 2214, 4395, 306, 1
7, 135, 945, 19.286, 0.202, 0.732, 1.43, 191, 692, 134, 1
7, 51, 357, 7.286, 0.325, 0.871, 1.66, 116, 311, 70, 1
8, 13, 104, 1.625, 0.442, 0.981, 2.0, 46, 102, 23, 1
9, 169, 1521, 18.778, 0.353, 0.742, 2.53, 537, 1129, 212, 1
14, 418, 5852, 29.857, 0.261, 0.619, 2.16, 1525, 3625, 707, 1
8, 36, 288, 4.5, 0.323, 0.781, 1.86, 93, 225, 50, 1
3, 8, 24, 2.667, 0.333, 0.875, 1.33, 8, 21, 6, 1
9, 55, 495, 6.111, 0.255, 0.697, 1.38, 126, 345, 91, 1
11, 11, 121, 1.0, 0.537, 0.876, 5.0, 65, 106, 13, 1
9, 84, 756, 9.333, 0.329, 0.632, 2.08, 249, 478, 120, 1
6, 93, 558, 15.5, 0.238, 0.711, 1.71, 133, 397, 78, 1
9, 87, 783, 9.667, 0.444, 0.962, 2.37, 348, 753, 147, 1
11, 74, 814, 6.727, 0.247, 0.695, 1.97, 201, 566, 102, 1
9, 44, 396, 4.889, 0.341, 0.677, 2.55, 135, 268, 53, 1
10, 80, 800, 8.0, 0.275, 0.435, 3.93, 220, 348, 56, 1
9, 56, 504, 6.222, 0.196, 0.617, 1.24, 99, 311, 80, 1
10, 31, 310, 3.1, 0.329, 0.952, 2.08, 102, 295, 49, 1
8, 74, 592, 9.25, 0.412, 0.845, 2.14, 244, 500, 114, 1
12, 11, 132, 0.917, 0.371, 1.0, 1.63, 49, 132, 30, 1
6, 39, 234, 6.5, 0.226, 0.705, 1.66, 53, 165, 32, 1
9, 55, 495, 6.111, 0.275, 0.661, 1.92, 136, 327, 71, 1
7, 10, 70, 1.429, 0.3, 0.743, 3.5, 21, 52, 6, 1
10, 30, 300, 3.0, 0.333, 0.93, 1.79, 100, 279, 56, 1
7, 121, 847, 17.286, 0.305, 0.675, 1.79, 258, 572, 144, 1
13, 77, 1001, 5.923, 0.258, 0.564, 3.04, 258, 565, 85, 1
9, 18, 162, 2.0, 0.543, 0.815, 8.8, 88, 132, 10, 1
10, 25, 250, 2.5, 0.34, 0.816, 1.89, 85, 204, 45, 1
7, 7, 49, 1.0, 0.327, 1.0, 1.33, 16, 49, 12, 1
6, 100, 600, 16.667, 0.385, 0.828, 1.72, 231, 497, 134, 1
7, 31, 217, 4.429, 0.461, 0.991, 2.44, 100, 215, 41, 1
5, 46, 230, 9.2, 0.278, 0.835, 2.21, 64, 192, 29, 1
6, 97, 582, 16.167, 0.235, 0.703, 1.71, 137, 409, 80, 1
7, 8, 56, 1.143, 0.268, 0.679, 1.15, 15, 38, 13, 1
14, 57, 798, 4.071, 0.714, 0.94, 11.88, 570, 750, 48, 1
8, 22, 176, 2.75, 0.426, 1.0, 2.42, 75, 176, 31, 1
9, 65, 585, 7.222, 0.222, 0.786, 1.35, 130, 460, 96, 1
5, 29, 145, 5.8, 0.317, 0.952, 1.39, 46, 138, 33, 1
9, 32, 288, 3.556, 0.417, 0.715, 3.08, 120, 206, 39, 1
10, 319, 3190, 31.9, 0.239, 0.674, 1.67, 764, 2149, 458, 1
9, 535, 4815, 59.444, 0.126, 0.444, 1.29, 606, 2136, 469, 1
8, 8, 64, 1.0, 0.484, 1.0, 3.44, 31, 64, 9, 1
5, 39, 195, 7.8, 0.338, 0.882, 1.74, 66, 172, 38, 1
9, 12, 108, 1.333, 0.407, 1.0, 1.63, 44, 108, 27, 1
9, 92, 828, 10.222, 0.287, 0.694, 1.93, 238, 575, 123, 1
8, 245, 1960, 30.625, 0.198, 0.555, 1.36, 389, 1088, 286, 1
5, 7, 35, 1.4, 0.4, 0.657, 2.33, 14, 23, 6, 1
9, 169, 1521, 18.778, 0.26, 0.619, 1.82, 396, 942, 217, 1
11, 43, 473, 3.909, 0.336, 0.753, 2.74, 159, 356, 58, 1
8, 20, 160, 2.5, 0.5, 1.0, 2.76, 80, 160, 29, 1
9, 47, 423, 5.222, 0.307, 0.872, 2.03, 130, 369, 64, 1
8, 83, 664, 10.375, 0.398, 0.94, 2.15, 264, 624, 123, 1
10, 21, 210, 2.1, 0.3, 0.81, 1.91, 63, 170, 33, 1
8, 15, 120, 1.875, 0.267, 0.767, 2.29, 32, 92, 14, 1
5, 99, 495, 19.8, 0.356, 0.881, 1.5, 176, 436, 117, 1
12, 43, 516, 3.583, 0.293, 0.791, 2.29, 151, 408, 66, 1
15, 61, 915, 4.067, 0.247, 0.515, 1.87, 226, 471, 121, 1
9, 92, 828, 10.222, 0.24, 0.641, 1.54, 199, 531, 129, 1
10, 86, 860, 8.6, 0.326, 0.844, 1.85, 280, 726, 151, 1
15, 356, 5340, 23.733, 0.406, 0.626, 5.29, 2167, 3342, 410, 1
5, 13, 65, 2.6, 0.246, 0.831, 1.33, 16, 54, 12, 1
10, 205, 2050, 20.5, 0.381, 0.708, 3.04, 781, 1451, 257, 1
8, 54, 432, 6.75, 0.275, 0.778, 1.37, 119, 336, 87, 1
10, 97, 970, 9.7, 0.425, 0.825, 2.71, 412, 800, 152, 1
8, 20, 160, 2.5, 0.375, 0.725, 1.88, 60, 116, 32, 1
8, 185, 1480, 23.125, 0.265, 0.611, 1.97, 392, 905, 199, 1
11, 15, 165, 1.364, 0.352, 0.891, 2.07, 58, 147, 28, 1
8, 43, 344, 5.375, 0.326, 0.75, 1.81, 112, 258, 62, 1
6, 4, 24, 0.667, 0.542, 1.0, 1.86, 13, 24, 7, 1
10, 101, 1010, 10.1, 0.466, 0.893, 3.02, 471, 902, 156, 1
6, 51, 306, 8.5, 0.294, 0.775, 1.48, 90, 237, 61, 1
8, 32, 256, 4.0, 0.336, 0.789, 2.46, 86, 202, 35, 1
7, 20, 140, 2.857, 0.436, 0.736, 2.35, 61, 103, 26, 1
3, 14, 42, 4.667, 0.381, 0.881, 3.2, 16, 37, 5, 1
9, 4, 36, 0.444, 0.444, 1.0, 8.0, 16, 36, 2, 1
8, 80, 640, 10.0, 0.298, 0.883, 1.72, 191, 565, 111, 1
9, 44, 396, 4.889, 0.449, 0.879, 2.97, 178, 348, 60, 1
10, 33, 330, 3.3, 0.182, 0.564, 1.4, 60, 186, 43, 1
7, 39, 273, 5.571, 0.147, 0.48, 1.67, 40, 131, 24, 1
7, 23, 161, 3.286, 0.093, 0.54, 1.36, 15, 87, 11, 1
10, 272, 2720, 27.2, 0.191, 0.578, 1.49, 520, 1571, 348, 1
23, 26, 598, 1.13, 0.278, 0.96, 1.8, 166, 574, 92, 1
16, 417, 6672, 26.063, 0.381, 0.652, 5.29, 2543, 4349, 481, 1
12, 261, 3132, 21.75, 0.223, 0.578, 1.92, 698, 1810, 364, 1
7, 59, 413, 8.429, 0.242, 0.685, 1.79, 100, 283, 56, 1
15, 222, 3330, 14.8, 0.414, 0.728, 5.34, 1378, 2425, 258, 1
5, 18, 90, 3.6, 0.378, 0.956, 1.62, 34, 86, 21, 1
7, 35, 245, 5.0, 0.453, 0.873, 2.47, 111, 214, 45, 1
7, 38, 266, 5.429, 0.41, 0.91, 1.82, 109, 242, 60, 1
11, 119, 1309, 10.818, 0.236, 0.747, 1.75, 309, 978, 177, 1
9, 81, 729, 9.0, 0.328, 0.916, 2.04, 239, 668, 117, 1
7, 17, 119, 2.429, 0.311, 0.908, 1.54, 37, 108, 24, 1
11, 272, 2992, 24.727, 0.283, 0.703, 1.97, 847, 2103, 431, 1
7, 23, 161, 3.286, 0.323, 0.839, 1.68, 52, 135, 31, 1
10, 41, 410, 4.1, 0.266, 0.539, 1.98, 109, 221, 55, 1
12, 116, 1392, 9.667, 0.246, 0.707, 1.99, 343, 984, 172, 1
5, 5, 25, 1.0, 0.4, 0.56, 5.0, 10, 14, 2, 1
8, 5, 40, 0.625, 0.375, 0.95, 1.67, 15, 38, 9, 1
10, 127, 1270, 12.7, 0.388, 0.798, 2.35, 493, 1014, 210, 1
8, 25, 200, 3.125, 0.28, 0.825, 1.6, 56, 165, 35, 1
1, 27, 27, 27.0, 0.593, 1.0, 4.0, 16, 27, 4, 1
7, 34, 238, 4.857, 0.252, 1.0, 1.43, 60, 238, 42, 1
7, 14, 98, 2.0, 0.357, 0.969, 1.52, 35, 95, 23, 1
5, 11, 55, 2.2, 0.309, 0.836, 1.7, 17, 46, 10, 1
11, 195, 2145, 17.727, 0.358, 0.781, 3.0, 768, 1676, 256, 1
12, 13, 156, 1.083, 0.372, 0.981, 2.32, 58, 153, 25, 1
9, 9, 81, 1.0, 0.383, 0.802, 2.38, 31, 65, 13, 1
12, 102, 1224, 8.5, 0.292, 0.764, 2.09, 357, 935, 171, 1
9, 103, 927, 11.444, 0.369, 0.877, 2.55, 342, 813, 134, 1
7, 14, 98, 2.0, 0.337, 0.898, 1.94, 33, 88, 17, 1
10, 262, 2620, 26.2, 0.273, 0.703, 1.83, 716, 1841, 391, 1
5, 94, 470, 18.8, 0.183, 0.798, 1.62, 86, 375, 53, 1
7, 13, 91, 1.857, 0.242, 0.912, 1.47, 22, 83, 15, 1
13, 38, 494, 2.923, 0.314, 0.957, 3.6, 155, 473, 43, 1
9, 162, 1458, 18.0, 0.254, 0.527, 2.69, 371, 769, 138, 1
9, 82, 738, 9.111, 0.312, 0.669, 2.74, 230, 494, 84, 1
10, 6, 60, 0.6, 0.333, 0.817, 2.5, 20, 49, 8, 1
7, 16, 112, 2.286, 0.304, 0.696, 1.36, 34, 78, 25, 1
10, 8, 80, 0.8, 0.525, 0.875, 7.0, 42, 70, 6, 1
9, 23, 207, 2.556, 0.246, 0.57, 1.82, 51, 118, 28, 1
10, 511, 5110, 51.1, 0.141, 0.529, 1.3, 721, 2701, 555, 1
10, 19, 190, 1.9, 0.553, 0.805, 7.5, 105, 153, 14, 1
10, 34, 340, 3.4, 0.303, 0.815, 1.84, 103, 277, 56, 1
10, 19, 190, 1.9, 0.379, 0.816, 2.12, 72, 155, 34, 1
9, 132, 1188, 14.667, 0.168, 0.693, 1.34, 199, 823, 149, 1
6, 7, 42, 1.167, 0.5, 0.976, 2.1, 21, 41, 10, 1
11, 60, 660, 5.455, 0.32, 0.608, 2.01, 211, 401, 105, 1
7, 51, 357, 7.286, 0.322, 0.784, 1.49, 115, 280, 77, 1
10, 11, 110, 1.1, 0.2, 0.545, 2.2, 22, 60, 10, 1
5, 20, 100, 4.0, 0.49, 0.99, 1.58, 49, 99, 31, 1
8, 53, 424, 6.625, 0.358, 0.981, 1.54, 152, 416, 99, 1
5, 88, 440, 17.6, 0.364, 0.775, 1.67, 160, 341, 96, 1
10, 18, 180, 1.8, 0.656, 0.9, 6.94, 118, 162, 17, 1
10, 430, 4300, 43.0, 0.351, 0.772, 2.7, 1508, 3318, 559, 1
8, 25, 200, 3.125, 0.285, 0.88, 1.36, 57, 176, 42, 1
10, 100, 1000, 10.0, 0.212, 0.702, 1.45, 212, 702, 146, 1
5, 3, 15, 0.6, 0.6, 0.933, 3.0, 9, 14, 3, 1
13, 37, 481, 2.846, 0.306, 0.933, 3.59, 147, 449, 41, 1
25, 491, 12275, 19.64, 0.454, 0.937, 7.21, 5572, 11502, 773, 1
8, 44, 352, 5.5, 0.486, 0.952, 2.95, 171, 335, 58, 1
7, 14, 98, 2.0, 0.296, 0.786, 2.9, 29, 77, 10, 1
7, 22, 154, 3.143, 0.156, 0.519, 1.6, 24, 80, 15, 1
22, 69, 1518, 3.136, 0.516, 0.848, 10.59, 784, 1287, 74, 1
7, 13, 91, 1.857, 0.363, 1.0, 1.94, 33, 91, 17, 1
9, 24, 216, 2.667, 0.352, 0.722, 2.17, 76, 156, 35, 1
7, 15, 105, 2.143, 0.343, 1.0, 1.64, 36, 105, 22, 1
8, 25, 200, 3.125, 0.3, 0.59, 2.22, 60, 118, 27, 1
8, 109, 872, 13.625, 0.219, 0.595, 1.61, 191, 519, 119, 1
9, 32, 288, 3.556, 0.333, 0.861, 1.68, 96, 248, 57, 1
14, 12, 168, 0.857, 0.429, 0.732, 6.55, 72, 123, 11, 1
