@relation  page-blocks
@attribute Height integer[1,804]
@attribute Lenght integer[1,553]
@attribute Area integer[7,143993]
@attribute Eccen real[0.0070,537.0]
@attribute P_black real[0.052,1.0]
@attribute P_and real[0.062,1.0]
@attribute Mean_tr real[1.0,4955.0]
@attribute Blackpix integer[1,33017]
@attribute Blackand integer[7,46133]
@attribute Wb_trans integer[1,3212]
@attribute Class{1,2,3,4,5}
@inputs Height,Lenght,Area,Eccen,P_black,P_and,Mean_tr,Blackpix,Blackand,Wb_trans
@outputs Class
@data
6, 12, 72, 2.0, 0.486, 0.944, 2.19, 35, 68, 16, 1
9, 47, 423, 5.222, 0.362, 0.905, 2.01, 153, 383, 76, 1
9, 181, 1629, 20.111, 0.369, 0.737, 2.99, 601, 1201, 201, 1
8, 4, 32, 0.5, 0.438, 0.656, 4.67, 14, 21, 3, 1
10, 13, 130, 1.3, 0.385, 0.823, 2.0, 50, 107, 25, 1
8, 15, 120, 1.875, 0.467, 0.783, 2.24, 56, 94, 25, 1
6, 12, 72, 2.0, 0.361, 0.903, 1.44, 26, 65, 18, 1
8, 38, 304, 4.75, 0.339, 0.766, 1.75, 103, 233, 59, 1
9, 20, 180, 2.222, 0.294, 0.578, 1.51, 53, 104, 35, 1
8, 108, 864, 13.5, 0.196, 0.686, 1.34, 169, 593, 126, 1
7, 41, 287, 5.857, 0.226, 0.784, 1.48, 65, 225, 44, 1
7, 4, 28, 0.571, 0.321, 0.679, 9.0, 9, 19, 1, 1
5, 15, 75, 3.0, 0.547, 0.947, 2.05, 41, 71, 20, 1
10, 67, 670, 6.7, 0.3, 0.745, 2.14, 201, 499, 94, 1
14, 298, 4172, 21.286, 0.207, 0.71, 3.49, 862, 2962, 247, 1
8, 39, 312, 4.875, 0.388, 0.933, 2.2, 121, 291, 55, 1
11, 272, 2992, 24.727, 0.275, 0.743, 2.1, 824, 2222, 392, 1
10, 504, 5040, 50.4, 0.139, 0.665, 1.19, 701, 3352, 590, 1
7, 19, 133, 2.714, 0.286, 0.632, 1.65, 38, 84, 23, 1
9, 79, 711, 8.778, 0.343, 0.899, 2.2, 244, 639, 111, 1
8, 6, 48, 0.75, 0.417, 0.917, 2.22, 20, 44, 9, 1
6, 221, 1326, 36.833, 0.268, 0.536, 1.95, 356, 711, 183, 1
9, 84, 756, 9.333, 0.407, 0.878, 2.75, 308, 664, 112, 1
16, 44, 704, 2.75, 0.376, 0.744, 2.39, 265, 524, 111, 1
11, 19, 209, 1.727, 0.598, 0.947, 7.35, 125, 198, 17, 1
8, 23, 184, 2.875, 0.359, 0.94, 1.65, 66, 173, 40, 1
9, 50, 450, 5.556, 0.496, 0.958, 2.69, 223, 431, 83, 1
7, 6, 42, 0.857, 0.5, 0.548, 21.0, 21, 23, 1, 1
7, 118, 826, 16.857, 0.386, 0.869, 2.26, 319, 718, 141, 1
7, 41, 287, 5.857, 0.185, 0.638, 1.51, 53, 183, 35, 1
9, 108, 972, 12.0, 0.389, 0.88, 2.22, 378, 855, 170, 1
8, 8, 64, 1.0, 0.469, 0.844, 2.73, 30, 54, 11, 1
7, 11, 77, 1.571, 0.325, 0.831, 1.47, 25, 64, 17, 1
9, 157, 1413, 17.444, 0.222, 0.54, 1.58, 313, 763, 198, 1
8, 21, 168, 2.625, 0.28, 0.923, 1.38, 47, 155, 34, 1
8, 342, 2736, 42.75, 0.163, 0.622, 1.4, 445, 1702, 317, 1
7, 91, 637, 13.0, 0.163, 0.535, 1.46, 104, 341, 71, 1
