@relation  page-blocks
@attribute Height numeric
@attribute Lenght numeric
@attribute Area numeric
@attribute Eccen numeric
@attribute P_black numeric
@attribute P_and numeric
@attribute Mean_tr numeric
@attribute Blackpix numeric
@attribute Blackand numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}


@data
6, 12, 72, 2.0, 0.319, 1.0, 1.53, 23, 72, 15, 1
8, 53, 424, 6.625, 0.38, 0.915, 1.87, 161, 388, 86, 1
10, 165, 1650, 16.5, 0.258, 0.695, 1.65, 426, 1147, 258, 1
8, 4, 32, 0.5, 0.469, 0.719, 3.75, 15, 23, 4, 1
9, 14, 126, 1.556, 0.238, 0.897, 1.36, 30, 113, 22, 1
7, 17, 119, 2.429, 0.454, 0.866, 3.18, 54, 103, 17, 1
8, 9, 72, 1.125, 0.361, 0.722, 1.86, 26, 52, 14, 1
9, 33, 297, 3.667, 0.259, 0.774, 1.67, 77, 230, 46, 1
10, 18, 180, 1.8, 0.311, 0.706, 1.93, 56, 127, 29, 1
8, 109, 872, 13.625, 0.2, 0.854, 1.39, 174, 745, 125, 1
8, 35, 280, 4.375, 0.321, 0.775, 1.76, 90, 217, 51, 1
5, 5, 25, 1.0, 0.4, 0.52, 10.0, 10, 13, 1, 1
7, 11, 77, 1.571, 0.377, 0.948, 1.38, 29, 73, 21, 1
8, 82, 656, 10.25, 0.358, 0.84, 2.24, 235, 551, 105, 1
14, 301, 4214, 21.5, 0.257, 0.564, 2.37, 1084, 2378, 458, 1
10, 32, 320, 3.2, 0.338, 0.816, 1.83, 108, 261, 59, 1
11, 271, 2981, 24.636, 0.278, 0.728, 1.99, 829, 2171, 417, 1
10, 499, 4990, 49.9, 0.147, 0.631, 1.27, 733, 3150, 575, 1
7, 20, 140, 2.857, 0.25, 0.657, 1.46, 35, 92, 24, 1
9, 78, 702, 8.667, 0.329, 0.896, 2.1, 231, 629, 110, 1
7, 7, 49, 1.0, 0.388, 0.939, 1.9, 19, 46, 10, 1
9, 148, 1332, 16.444, 0.146, 0.558, 1.17, 195, 743, 167, 1
9, 84, 756, 9.333, 0.288, 0.791, 1.83, 218, 598, 119, 1
