@relation  page-blocks
@attribute Height integer[1,804]
@attribute Lenght integer[1,553]
@attribute Area integer[7,143993]
@attribute Eccen real[0.0070,537.0]
@attribute P_black real[0.052,1.0]
@attribute P_and real[0.062,1.0]
@attribute Mean_tr real[1.0,4955.0]
@attribute Blackpix integer[1,33017]
@attribute Blackand integer[7,46133]
@attribute Wb_trans integer[1,3212]
@attribute Class{1,2,3,4,5}
@inputs Height,Lenght,Area,Eccen,P_black,P_and,Mean_tr,Blackpix,Blackand,Wb_trans
@outputs Class
@data
8, 9, 72, 1.125, 0.528, 0.958, 3.17, 38, 69, 12, 1
7, 59, 413, 8.429, 0.462, 1.0, 2.33, 191, 413, 82, 1
9, 181, 1629, 20.111, 0.375, 0.738, 2.9, 611, 1202, 211, 1
5, 6, 30, 1.2, 0.433, 0.967, 1.63, 13, 29, 8, 1
7, 18, 126, 2.571, 0.262, 0.873, 1.94, 33, 110, 17, 1
11, 11, 121, 1.0, 0.455, 0.876, 4.23, 55, 106, 13, 1
6, 12, 72, 2.0, 0.292, 0.778, 1.62, 21, 56, 13, 1
8, 38, 304, 4.75, 0.349, 0.757, 1.93, 106, 230, 55, 1
4, 44, 176, 11.0, 0.267, 0.614, 1.81, 47, 108, 26, 1
7, 125, 875, 17.857, 0.29, 0.735, 1.59, 254, 643, 160, 1
11, 25, 275, 2.273, 0.327, 0.84, 1.96, 90, 231, 46, 1
7, 4, 28, 0.571, 0.393, 0.679, 3.67, 11, 19, 3, 1
7, 11, 77, 1.571, 0.364, 0.909, 1.75, 28, 70, 16, 1
7, 95, 665, 13.571, 0.268, 0.929, 1.56, 178, 618, 114, 1
14, 284, 3976, 20.286, 0.236, 0.698, 2.24, 938, 2777, 419, 1
9, 36, 324, 4.0, 0.42, 0.889, 2.0, 136, 288, 68, 1
13, 225, 2925, 17.308, 0.253, 0.893, 3.27, 740, 2612, 226, 1
12, 409, 4908, 34.083, 0.302, 0.604, 2.88, 1482, 2966, 515, 1
8, 17, 136, 2.125, 0.265, 0.566, 1.71, 36, 77, 21, 1
9, 81, 729, 9.0, 0.357, 0.863, 2.22, 260, 629, 117, 1
6, 8, 48, 1.333, 0.5, 1.0, 2.18, 24, 48, 11, 1
7, 182, 1274, 26.0, 0.203, 0.62, 1.27, 259, 790, 204, 1
8, 94, 752, 11.75, 0.485, 0.922, 3.07, 365, 693, 119, 1
11, 63, 693, 5.727, 0.413, 0.804, 3.08, 286, 557, 93, 1
7, 31, 217, 4.429, 0.461, 0.922, 2.13, 100, 200, 47, 1
7, 26, 182, 3.714, 0.445, 0.978, 2.25, 81, 178, 36, 1
8, 54, 432, 6.75, 0.537, 0.951, 3.36, 232, 411, 69, 1
2, 19, 38, 9.5, 0.184, 0.553, 3.5, 7, 21, 2, 1
10, 83, 830, 8.3, 0.425, 0.86, 2.92, 353, 714, 121, 1
10, 28, 280, 2.8, 0.375, 0.657, 2.33, 105, 184, 45, 1
10, 98, 980, 9.8, 0.448, 0.881, 2.74, 439, 863, 160, 1
7, 9, 63, 1.286, 0.381, 0.857, 2.0, 24, 54, 12, 1
6, 13, 78, 2.167, 0.346, 0.846, 2.7, 27, 66, 10, 1
7, 205, 1435, 29.286, 0.109, 0.573, 1.26, 156, 822, 124, 1
8, 21, 168, 2.625, 0.435, 0.917, 2.35, 73, 154, 31, 1
8, 343, 2744, 42.875, 0.129, 0.605, 1.2, 354, 1661, 294, 1
8, 75, 600, 9.375, 0.228, 0.662, 1.37, 137, 397, 100, 1
5, 2, 10, 0.4, 0.8, 1.0, 8.0, 8, 10, 1, 1
12, 8, 96, 0.667, 0.448, 0.656, 4.3, 43, 63, 10, 1
10, 38, 380, 3.8, 0.308, 0.632, 2.13, 117, 240, 55, 1
7, 9, 63, 1.286, 0.365, 0.698, 1.64, 23, 44, 14, 1
10, 27, 270, 2.7, 0.367, 0.83, 1.87, 99, 224, 53, 1
4, 96, 384, 24.0, 0.417, 0.753, 2.19, 160, 289, 73, 1
8, 84, 672, 10.5, 0.36, 0.954, 1.94, 242, 641, 125, 1
12, 85, 1020, 7.083, 0.305, 0.828, 1.94, 311, 845, 160, 1
8, 17, 136, 2.125, 0.463, 0.735, 2.86, 63, 100, 22, 1
10, 52, 520, 5.2, 0.306, 0.688, 1.96, 159, 358, 81, 1
11, 23, 253, 2.091, 0.415, 0.858, 3.5, 105, 217, 30, 1
10, 94, 940, 9.4, 0.25, 0.721, 1.7, 235, 678, 138, 1
7, 8, 56, 1.143, 0.393, 0.75, 2.0, 22, 42, 11, 1
8, 58, 464, 7.25, 0.442, 0.903, 3.15, 205, 419, 65, 1
8, 31, 248, 3.875, 0.375, 0.722, 2.02, 93, 179, 46, 1
9, 46, 414, 5.111, 0.29, 0.838, 2.18, 120, 347, 55, 1
10, 35, 350, 3.5, 0.326, 0.583, 2.24, 114, 204, 51, 1
8, 13, 104, 1.625, 0.423, 0.923, 1.76, 44, 96, 25, 1
10, 38, 380, 3.8, 0.387, 0.887, 2.49, 147, 337, 59, 1
14, 407, 5698, 29.071, 0.353, 0.574, 4.54, 2010, 3273, 443, 1
11, 25, 275, 2.273, 0.276, 0.629, 1.9, 76, 173, 40, 1
6, 94, 564, 15.667, 0.326, 0.862, 2.02, 184, 486, 91, 1
7, 37, 259, 5.286, 0.305, 1.0, 1.46, 79, 259, 54, 1
7, 14, 98, 2.0, 0.49, 0.939, 2.53, 48, 92, 19, 1
10, 37, 370, 3.7, 0.154, 0.457, 1.39, 57, 169, 41, 1
13, 291, 3783, 22.385, 0.285, 0.627, 2.68, 1080, 2371, 403, 1
12, 72, 864, 6.0, 0.638, 0.918, 6.12, 551, 793, 90, 1
10, 30, 300, 3.0, 0.427, 0.78, 2.78, 128, 234, 46, 1
9, 259, 2331, 28.778, 0.189, 0.697, 1.31, 441, 1624, 336, 1
9, 534, 4806, 59.333, 0.184, 0.733, 1.34, 884, 3524, 661, 1
7, 256, 1792, 36.571, 0.135, 0.603, 1.36, 242, 1081, 178, 1
8, 41, 328, 5.125, 0.424, 0.966, 2.53, 139, 317, 55, 1
8, 70, 560, 8.75, 0.388, 0.841, 2.21, 217, 471, 98, 1
