@relation  twonorm
@attribute A1 real[-4.2497,3.5782]
@attribute A2 real[-3.9606,4.3451]
@attribute A3 real[-4.4798,4.4039]
@attribute A4 real[-3.8891,4.2589]
@attribute A5 real[-3.9099,5.6395]
@attribute A6 real[-4.0095,3.9901]
@attribute A7 real[-3.7334,4.4522]
@attribute A8 real[-4.5744,3.8648]
@attribute A9 real[-3.8136,4.254]
@attribute A10 real[-4.1999,4.0829]
@attribute A11 real[-3.9204,4.0953]
@attribute A12 real[-3.8262,4.3025]
@attribute A13 real[-3.9451,3.7817]
@attribute A14 real[-3.8516,4.1238]
@attribute A15 real[-3.6978,3.5485]
@attribute A16 real[-3.6976,4.2439]
@attribute A17 real[-3.9428,3.7233]
@attribute A18 real[-4.0653,4.0557]
@attribute A19 real[-4.1218,4.3238]
@attribute A20 real[-3.7831,4.279]
@attribute Class {0,1}


@data
1.6938, 2.3852, 1.044, 0.3826, -0.6929, 1.0709, 0.9019, 0.4592, -0.7135, 0.1448, 0.9116, 0.4102, 0.1436, 0.5778, -0.2192, 0.9197, -0.1771, 0.4563, 0.8524, 0.835, 0
0.9237, 1.2872, -0.2495, -0.7085, -0.2886, 1.2299, 1.5041, 1.4375, -1.5657, 1.1643, -0.2103, 1.9735, -0.1719, -1.0851, 0.5944, 1.1428, 0.1797, 1.5557, -0.7486, -0.2172, 0
0.7011, 1.6157, 1.7018, 1.4491, 1.7158, -0.4612, -0.3439, -0.6441, 1.4035, -1.246, -0.8064, 0.4804, 0.2584, 1.5499, 0.406, 0.4779, 1.4294, 1.1247, 0.3955, -0.3869, 0
0.5118, 0.1402, 1.2243, -0.3376, 2.0998, 0.2637, -0.5668, 1.6412, 2.1315, -0.3895, -0.0562, 0.7325, 1.592, 1.4954, 0.6125, 0.4672, 1.3335, 1.0335, -0.5224, -0.2066, 0
-0.3804, 0.5484, 0.9994, 0.2475, 0.6959, 0.3597, 0.238, 1.2367, 0.3934, -0.6931, -0.6955, -0.9715, -0.5163, 0.6634, 0.5178, 0.0783, -0.3142, 1.9926, -1.3264, 1.2731, 0
1.7258, 2.623, 0.7802, -0.9124, 0.2707, 0.8354, 0.3488, -0.343, 1.4007, -0.8273, 0.8113, 1.3989, -0.9617, -0.3805, 1.2331, -0.4649, 0.5421, 0.516, -0.8483, -0.0233, 0
-1.0068, -0.2172, 0.4305, -0.2543, 1.0991, 1.4146, 0.8244, 0.8252, -0.4269, 0.367, -1.2703, -1.0995, 0.6679, 0.2541, 0.3082, 0.3685, 0.4434, -1.1588, -0.4258, 0.1384, 0
0.9979, -0.3621, 1.9668, 0.0061, -0.8146, 3.0797, 0.6111, 2.0837, -0.4392, 0.2741, 1.5811, 0.3301, -0.9369, -0.4819, 1.5101, -0.8405, -0.3068, -0.5042, 0.9581, 0.5857, 0
1.7246, -0.0428, 0.0669, 1.5186, -0.3575, 0.3765, 0.0344, -1.6537, 1.2716, 0.6983, 0.6015, 1.3831, 2.3978, 0.5539, 1.1951, 1.1681, 0.8596, 0.1606, -1.0121, 1.6883, 0
0.0692, 0.2113, 0.5096, -0.1859, 0.1553, -0.0532, -0.5166, 1.8182, 0.2154, 0.3829, -0.1396, 1.272, 0.0604, -0.8986, 0.0373, 0.0052, 0.3492, 0.105, 1.9947, -1.8371, 0
0.309, 1.3979, 2.1304, -1.2145, 1.8415, 1.862, 1.0467, 1.1349, -0.3134, 0.9943, 1.4077, 0.4679, 0.5016, -0.3322, 1.4779, 0.861, -0.0539, -0.6261, 0.3131, -0.7877, 0
0.186, 0.2427, 0.2922, -0.1945, 0.7104, -0.0734, -0.6962, -0.3129, 1.3486, 0.9535, 0.2387, 1.325, -0.5403, 0.1054, -0.1611, 1.6644, -1.6499, -0.0049, 0.2789, -0.8092, 0
-1.7854, 0.7393, 0.6191, -1.1322, 0.7966, 0.8542, 0.3833, -1.0577, 1.0012, -0.6556, -0.4056, 1.3349, 0.9584, 1.2166, 0.1793, -1.3312, -1.5469, 0.7768, -0.0499, -0.6433, 0
