@relation  twonorm
@attribute A1 real[-4.2497,3.5782]
@attribute A2 real[-3.9606,4.3451]
@attribute A3 real[-4.4798,4.4039]
@attribute A4 real[-3.8891,4.2589]
@attribute A5 real[-3.9099,5.6395]
@attribute A6 real[-4.0095,3.9901]
@attribute A7 real[-3.7334,4.4522]
@attribute A8 real[-4.5744,3.8648]
@attribute A9 real[-3.8136,4.254]
@attribute A10 real[-4.1999,4.0829]
@attribute A11 real[-3.9204,4.0953]
@attribute A12 real[-3.8262,4.3025]
@attribute A13 real[-3.9451,3.7817]
@attribute A14 real[-3.8516,4.1238]
@attribute A15 real[-3.6978,3.5485]
@attribute A16 real[-3.6976,4.2439]
@attribute A17 real[-3.9428,3.7233]
@attribute A18 real[-4.0653,4.0557]
@attribute A19 real[-4.1218,4.3238]
@attribute A20 real[-3.7831,4.279]
@attribute Class {0,1}


@data
0.8474, 2.3959, 1.0861, 0.8719, 0.5029, 1.2236, 0.9556, 1.0422, 0.2497, 2.0268, 1.667, 0.4655, 0.4519, -0.651, 0.1005, 1.4244, 0.0196, 0.8122, 0.4448, 1.7056, 0
-0.603, 1.3331, 0.5223, 0.4311, 0.3825, 1.0217, 1.0406, 0.9051, -1.7729, 0.5858, 1.0832, 2.4852, -0.0936, -1.6157, 0.3266, 0.096, 2.1855, 1.5915, -1.0028, 0.4706, 0
0.3364, -0.0641, 1.0419, 0.7445, 1.1718, -0.7243, 0.1536, 0.204, 0.5748, -0.8557, -0.1608, 0.0377, 1.2169, 1.3298, 0.6076, 1.2195, 0.3024, 2.3643, 0.2688, -0.5418, 0
0.3512, 1.6265, 1.7169, -0.0312, -0.2505, 0.5444, -1.9818, 1.6141, 1.6534, -0.0924, -0.146, 0.61, 1.6378, 0.6065, 0.9349, 0.4873, 0.4561, 1.7565, 0.5739, -0.66, 0
-0.3575, 0.4662, 2.3263, 0.149, 1.4581, 0.1076, 0.0528, 0.7051, 0.9854, -1.2561, -0.2886, -1.5483, 0.6976, 0.1453, 0.0076, -0.8482, -0.4779, 0.8987, 0.2834, 0.6629, 0
0.6809, 2.7565, 1.5535, 0.0835, 0.0683, -0.302, 0.2928, 0.9666, 1.025, -0.8025, 0.1031, -0.3015, -0.0265, 0.2388, -0.4152, 0.7246, 0.4816, 0.3097, -0.6903, 0.0795, 0
-0.2657, -0.2888, -1.0821, -0.6011, -1.6468, 0.447, 0.4093, 0.322, -0.3937, 1.7109, -0.8939, -0.8501, 1.1905, 0.1043, 0.3979, 0.0771, 0.2869, -0.5071, -0.6354, 1.0388, 0
1.0352, -0.3292, 1.3842, -0.0653, 0.8972, 0.1805, 0.3371, 0.3598, -0.1434, 0.8941, 1.4309, -0.0189, 0.8316, 1.3571, 1.3178, -1.1166, 0.1196, 0.307, 0.5239, 0.5249, 0
1.7179, 0.9269, 0.971, 0.7402, -2.087, 0.1047, 1.2793, -1.1119, 1.352, 0.3685, 0.0957, -0.2843, 2.5947, -0.5404, 0.9912, 1.3152, 1.4609, 1.1911, -0.8468, 0.9945, 0
0.4656, -0.4205, 1.4813, 0.4982, 0.2183, -0.7857, -0.7244, 2.1598, 1.1439, -1.2015, 0.836, 0.9429, 0.2521, -0.5315, 0.2872, -0.9734, -0.3671, 0.0347, 0.5576, -1.5147, 0
