@relation  twonorm
@attribute A1 real[-4.2497,3.5782]
@attribute A2 real[-3.9606,4.3451]
@attribute A3 real[-4.4798,4.4039]
@attribute A4 real[-3.8891,4.2589]
@attribute A5 real[-3.9099,5.6395]
@attribute A6 real[-4.0095,3.9901]
@attribute A7 real[-3.7334,4.4522]
@attribute A8 real[-4.5744,3.8648]
@attribute A9 real[-3.8136,4.254]
@attribute A10 real[-4.1999,4.0829]
@attribute A11 real[-3.9204,4.0953]
@attribute A12 real[-3.8262,4.3025]
@attribute A13 real[-3.9451,3.7817]
@attribute A14 real[-3.8516,4.1238]
@attribute A15 real[-3.6978,3.5485]
@attribute A16 real[-3.6976,4.2439]
@attribute A17 real[-3.9428,3.7233]
@attribute A18 real[-4.0653,4.0557]
@attribute A19 real[-4.1218,4.3238]
@attribute A20 real[-3.7831,4.279]
@attribute Class {0,1}


@data
0.6258, 1.5049, 0.6223, 0.2158, -0.059, 0.2569, 0.9248, -0.7149, -0.92, 0.6692, 0.7125, 1.045, -0.1616, 1.7921, 0.2109, 0.9252, -0.028, 0.3369, -1.2314, 0.4833, 0
0.0734, 1.0422, 0.9272, -0.3637, 0.2234, 1.1331, 1.2135, 2.2792, 0.0985, 0.5359, -0.1624, 0.8248, 0.8677, 0.1451, 0.7503, 0.8552, 1.0097, 0.4131, -0.76, 0.5206, 0
1.1111, 1.6085, 0.2599, 1.7234, -0.079, 0.4776, -0.7524, -0.0893, 0.919, -0.4965, -1.285, 0.6299, 0.4923, 1.8541, 1.3045, 1.1495, 0.3306, -0.3445, 0.146, -0.6245, 0
1.7462, 0.147, -0.4335, 0.24, 1.907, 0.4869, -0.0728, 1.4733, 2.6837, -1.0122, 0.6358, 0.852, 0.2097, 0.5809, -0.742, 0.5463, 1.5744, 0.1094, 0.0066, -0.0228, 0
-0.4689, -0.1428, 2.3206, -1.3737, 0.2065, 0.8346, 1.2063, 1.3046, 0.524, -0.3562, 0.0726, 0.2202, -0.1298, 0.5292, 0.6517, -0.471, 0.7414, 2.0742, -0.2416, 0.7078, 0
1.4849, 1.1647, 0.2385, -0.0028, 0.1043, 0.5391, 0.5991, 0.4418, 0.6147, -1.3844, 0.7063, 0.9473, -0.166, -0.7875, -0.0597, 0.3626, 0.2192, -1.2758, -1.474, 0.7586, 0
-1.001, -0.0866, 1.2047, 0.6001, 0.7048, 0.7519, 2.0167, 0.62, -0.0018, 0.5832, 0.9858, -0.9364, 2.0469, -0.6994, 0.2418, 0.7099, 1.1279, -0.8266, 0.3706, -0.3346, 0
0.6982, 0.7986, 1.0975, -0.1244, -0.5709, 1.6645, 1.076, 1.2116, -0.361, 1.5086, 0.6767, 0.6813, 0.0902, -0.1801, 1.3165, -0.0393, 2.1198, 0.7433, 0.2863, 0.5888, 0
1.2867, -1.6434, 0.0383, 0.8526, -0.8529, 0.0897, -0.283, -0.6787, 0.6741, 0.9827, 0.6905, -0.0951, -1.542, 0.4298, 1.2104, 1.4924, 0.3887, 0.054, 0.0683, 1.5724, 0
-0.5726, -1.1141, 3.0907, 0.2483, 0.9524, 0.1896, 0.9958, 1.9477, 0.4025, -0.5481, -0.1677, 1.2302, 0.1975, -0.9055, 0.2965, -0.1271, 0.9687, 0.4915, 1.8801, -0.1892, 0
-0.6212, 1.2713, 0.6531, 0.1133, 1.5034, 1.2778, 0.5551, 0.2973, 1.283, 0.4391, 0.4033, -0.1028, 0.4185, -0.3986, -0.6175, 1.1188, -0.4243, -0.438, 0.8952, -0.823, 0
0.6865, 0.9904, 0.6904, -0.858, 0.8095, -0.625, 0.0555, -0.0030, 0.7267, 1.6204, 0.0594, 0.544, -0.389, 0.8939, -0.5957, 0.6159, 0.1888, -0.1774, 0.6187, 0.2806, 0
0.555, 1.0622, 1.1259, 0.5219, 0.4787, 1.3516, 1.1449, -0.6916, -0.1238, -0.6324, 0.0178, 0.8804, 0.8224, 1.1134, 0.1076, 0.5485, 0.7113, 1.5602, -0.1532, -0.0962, 0
-0.1258, 0.3269, 0.7918, 0.2909, 0.5901, 0.6543, 1.1096, 0.3497, 0.7766, 0.0181, -0.5873, -0.2862, 1.1231, -0.5069, -0.4618, 0.3695, 0.7855, 0.4719, 0.8244, -0.7842, 0
0.4431, 0.3022, 1.7487, -1.0466, 0.5646, -0.2074, 0.2192, 1.6912, 0.7506, 0.1017, -0.1409, -0.8481, 0.9604, 1.2956, -0.0804, -1.2436, 0.695, 1.221, 1.1939, 0.7287, 0
-0.2766, 0.5805, 0.9475, 1.3082, -0.6587, 0.0827, 0.2775, -0.5276, -0.9657, 0.0259, -0.2744, 1.012, -0.183, 0.4574, 0.2924, 0.5021, -0.3297, 1.5319, 1.2597, 0.2588, 0
-0.4183, -0.0643, 2.2063, -0.6094, 2.02, 0.8034, -0.8431, -0.5803, -0.3961, 0.3338, 1.0715, -0.9311, 0.0806, 1.1821, -0.5104, 1.6128, 0.1043, 0.5061, -0.2034, 0.933, 0
0.7942, -0.6929, 1.2432, 0.6996, -0.6451, -0.768, -0.7073, 0.6029, -0.2917, 0.6477, 0.4061, 0.4327, -0.6261, 0.6101, 0.3414, 1.2951, 2.65, 1.5794, 0.8882, -0.1998, 0
-0.017, -0.822, 0.8506, 1.3148, -0.6424, 0.2079, 0.4012, -0.3461, -0.2511, 1.2252, 0.709, 1.1232, 2.4044, -0.405, 0.6357, 0.7189, 1.8935, -0.7552, 1.0103, 1.1536, 0
-0.0585, 0.4435, -0.2963, 0.658, -0.2437, -1.2796, 0.8634, 2.2747, 1.4655, 0.4259, 1.4554, -0.8096, 1.1756, 0.8243, 1.7111, 0.6241, 0.4323, 0.308, 1.235, 0.4086, 0
1.5996, 0.1792, 1.079, -0.6051, -1.6153, 1.1781, 0.2676, 0.1931, 0.3952, 0.817, 1.8053, -0.5487, 1.7052, 0.8162, 0.8736, 1.2029, 0.1917, -0.2544, -0.7477, 0.2765, 0
1.6466, 0.7752, -0.0429, 0.3428, 0.3299, -0.0978, 1.889, 1.7719, 0.683, 0.5327, 1.6106, 0.695, 0.6978, 0.2852, -0.7261, -0.786, 0.3618, 1.4949, 2.434, 0.7169, 0
0.6064, 0.9351, -0.2627, 1.1571, 1.2736, 1.2177, 0.8091, -1.0593, -0.0215, 0.6421, 0.1771, 1.237, 1.6771, 0.7956, 0.3027, -0.1996, -0.6416, 0.0418, 0.6215, 0.896, 0
1.0426, 0.4441, 0.3567, 0.1268, 1.4626, 1.3269, 0.9125, 1.1206, -0.0606, 1.2063, 2.6698, -0.2527, -0.1471, 0.5257, 1.1777, -0.6529, -0.7953, 0.7179, -0.0444, 1.6203, 0
-0.0147, 1.093, 0.4985, -0.9761, 1.0752, 0.7234, 0.351, -0.0885, 0.0547, 0.406, -1.3468, -0.0209, 2.0174, -0.0123, 0.4056, 0.6354, 1.4731, 1.9813, 1.81, 0.119, 0
-0.5456, -1.2888, 1.5998, 0.37, 0.488, -0.8595, 0.2374, 1.149, 0.1943, 0.5173, 0.114, -1.7583, 1.0015, 1.7398, 0.9511, 0.6016, 0.0952, 1.2003, 0.6441, 0.4655, 0
0.6944, 1.867, 1.8949, -0.201, 1.2815, 0.6708, 1.0725, 2.4479, 0.8044, -0.3175, 2.2601, 0.1269, -0.0272, 1.9141, 0.8278, 1.2566, -0.2699, -0.0051, 0.8968, 0.9068, 0
2.3113, -0.6429, -1.3991, 0.6671, 1.9836, 1.6605, 1.6396, -0.0678, 1.0137, 1.0913, -0.6623, -0.0895, 0.9287, 0.6196, -0.1098, 0.4228, 1.1309, -0.5464, 2.4799, 0.8097, 0
0.03, 0.5066, -0.0286, 0.8808, 1.0264, -0.0206, 1.4073, -0.1765, 1.7045, -0.1691, 0.0407, 0.8613, 0.5388, -1.2294, 2.1303, 1.2017, 0.2483, 1.9971, -0.7262, 0.6014, 0
0.8552, 1.0988, 0.5691, 0.3693, -0.4234, -1.7802, -0.9274, -0.3894, -0.6607, 1.0706, 1.7594, -1.1205, 0.8999, 0.0421, -0.3419, 0.3908, 0.7727, 1.0559, 0.5313, 0.3126, 0
-0.0302, 1.9016, 1.3894, 0.1654, 0.4728, 0.5292, 0.8649, 1.1431, 0.3835, -0.6431, -0.974, 0.8695, 1.2303, 0.5627, 0.2333, -0.2424, 1.1993, 0.2761, 1.4824, -0.1762, 0
2.0192, 1.448, -0.1894, -0.93, -0.2524, 0.2375, 0.3584, -0.7636, 3.3342, 0.864, 0.6403, 1.6068, 0.6411, 1.6217, -0.0428, -0.0544, 0.5562, 0.9737, 1.2731, -0.3651, 0
0.264, -0.1505, -0.1058, 0.7247, 1.2268, 0.3468, -1.1589, -0.2901, 2.4285, -0.0358, 0.6199, 0.8538, 0.0181, -1.5683, 0.3804, 0.4609, 0.1779, -0.2219, 0.8092, 0.01, 0
-0.4597, -0.3731, 0.0185, 0.0169, 1.0144, 1.7076, 1.1392, -0.112, 1.0631, 0.0855, -0.934, 0.4231, 0.8577, 0.8617, 0.9104, 0.8111, 1.7531, 1.5071, 1.0577, 0.7879, 0
1.8453, 0.7029, -0.3338, 0.2133, 0.8428, 0.05, 1.0721, 0.9986, 0.1105, 1.312, 0.4498, 1.1808, 0.1646, -0.2397, 0.6311, -1.3094, 0.5756, -0.7225, 0.1119, 0.2004, 0
0.2918, 0.4759, -1.1539, 0.8724, 1.0776, 0.1159, 0.2218, -0.5703, 0.6976, 0.426, 0.2935, 0.2469, -0.3551, 0.2509, -0.654, -0.8913, 0.4269, 0.4101, -0.7718, -1.1743, 0
-1.9712, -0.3112, 0.3716, 1.3031, 1.7614, 0.0113, 0.6969, 1.2606, 0.6265, 0.2541, 0.3379, 0.8942, 0.1511, 0.4405, -0.1913, 0.1622, 0.1736, 0.9738, -1.1905, -4.0E-4, 0
0.1995, 1.5217, -0.7331, 0.8492, 0.5033, 0.2082, 1.0089, -0.4157, 0.6806, 0.6037, 1.7959, -0.9425, 1.697, -0.0916, 0.0018, 0.0894, 0.1378, -0.0412, 1.0509, 0.3701, 0
-0.2805, 0.1118, 0.7046, 1.6179, 0.5498, 0.0181, 0.618, -1.0766, 1.6068, 1.2662, 0.3714, 0.7468, -0.0064, 2.133, -0.226, 0.1272, -0.2749, -1.1706, -0.347, 0.8011, 0
1.7251, -1.0029, -0.5483, 0.2197, -0.1865, 2.1107, 0.6371, 0.1394, 0.516, 0.0057, -0.87, -1.0374, 1.7477, 2.2365, 0.0512, 0.9232, 2.6086, -0.9496, 0.4864, 1.3451, 0
-0.2795, 1.2516, -1.2764, 0.9074, 1.8345, -0.7456, 0.1702, 1.9179, 0.7996, 0.4426, 2.3615, 1.0979, 3.1042, 0.2456, 0.1189, -1.3371, -0.3842, 0.8772, -0.0201, 2.0196, 0
-0.4981, 0.3059, -1.0472, -0.0206, 1.8944, -1.1702, 1.382, 1.1685, -0.1668, 0.5088, 1.3095, 0.0609, -1.3977, 1.3244, -0.363, -0.6976, 1.7449, -0.0453, -0.9588, 0.7352, 0
1.1982, 1.1216, 1.1333, 1.2737, 0.4088, 2.3999, 0.6577, 1.239, -1.4997, 0.4229, 0.2824, 0.1043, 1.3772, 1.2702, 0.8944, 2.2525, -0.3317, -0.1009, 0.7695, 1.0845, 0
0.6206, -0.0288, 0.7328, 0.425, -1.4801, 0.6984, -0.1386, 0.0471, 0.1884, 0.2889, -1.6089, -0.5824, 1.3225, 0.5073, 0.2451, 0.2868, -1.0062, 1.6672, 1.7442, 1.9593, 0
