@relation  twonorm
@attribute A1 real[-4.2497,3.5782]
@attribute A2 real[-3.9606,4.3451]
@attribute A3 real[-4.4798,4.4039]
@attribute A4 real[-3.8891,4.2589]
@attribute A5 real[-3.9099,5.6395]
@attribute A6 real[-4.0095,3.9901]
@attribute A7 real[-3.7334,4.4522]
@attribute A8 real[-4.5744,3.8648]
@attribute A9 real[-3.8136,4.254]
@attribute A10 real[-4.1999,4.0829]
@attribute A11 real[-3.9204,4.0953]
@attribute A12 real[-3.8262,4.3025]
@attribute A13 real[-3.9451,3.7817]
@attribute A14 real[-3.8516,4.1238]
@attribute A15 real[-3.6978,3.5485]
@attribute A16 real[-3.6976,4.2439]
@attribute A17 real[-3.9428,3.7233]
@attribute A18 real[-4.0653,4.0557]
@attribute A19 real[-4.1218,4.3238]
@attribute A20 real[-3.7831,4.279]
@attribute Class{0,1}
@inputs A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20
@outputs Class
@data
0.6213, 0.8219, 1.0295, 1.8303, -1.0699, 0.6775, 0.7975, 0.335, -1.2331, 0.8907, 0.1452, 1.5729, -0.2266, 0.6306, -0.3511, -0.142, -0.5269, 0.4749, 1.1923, 0.843, 0
1.1469, -0.3664, 0.245, 1.04, 0.9268, 1.2092, 1.28, 1.1661, -1.8928, 0.6277, -0.3485, 2.2071, -0.2301, -1.3566, 0.1262, 0.615, 0.4048, -0.4495, 0.8632, -0.2883, 0
0.9991, 0.8407, 1.4885, 0.8901, 1.6513, -0.8579, 0.1443, -0.3998, -0.3463, -1.0226, -1.7296, 0.5296, 0.7053, 0.5721, 0.8261, 0.2663, 0.0704, -0.3198, -0.7286, -0.4373, 0
-1.1372, 0.2031, -0.9413, 0.1225, 1.5479, -0.1808, -0.8875, 1.5982, 1.4286, 0.5514, -0.0489, 0.6519, 0.8635, -0.5188, 0.3698, 0.2561, 0.5706, 1.0689, -0.6746, -0.1879, 0
-1.2121, 0.565, 2.0471, 0.2714, 0.5396, 0.2159, 0.8947, 0.9869, 0.6121, -0.5677, 0.4372, -0.7109, 0.312, -0.8535, -0.0321, 0.1779, 0.3137, 2.2434, 0.3847, 2.5774, 0
1.4707, 1.1176, 0.4815, 0.5955, 0.3274, 0.5682, 0.679, -0.4418, 0.3134, -0.0386, 0.3624, 1.8915, -0.5988, -0.974, 1.2759, 0.9833, 0.3362, 1.173, 1.5999, 0.1469, 0
-1.8355, 0.7625, -0.0603, -0.3024, 1.4965, -0.0708, 1.0432, 1.3898, -0.3969, 0.2572, -0.1178, -1.1888, 2.7341, 0.1369, 0.1345, -0.6796, 0.7337, -1.013, -1.5073, 0.0151, 0
1.218, -0.2012, 2.7992, -0.0637, -0.5572, 1.301, -0.0092, 0.7872, 0.8578, 0.4878, 0.9121, 0.0291, -0.3731, 1.065, -0.1764, -0.7823, 0.3827, -0.0674, 0.1357, 0.3292, 0
1.6957, -0.208, 0.7636, 0.5256, -0.2174, 0.4135, 0.9908, -0.728, 0.0782, -1.6106, 0.4619, 1.3764, 2.0868, 0.0896, 1.6641, 2.0777, 0.3347, 0.2534, -0.166, 0.0357, 0
0.1198, 0.0646, -0.3172, -0.0171, 0.0198, 0.4496, -0.8651, 1.0569, -0.8239, 0.8245, 1.0484, 1.1377, -0.2099, -0.7198, 1.4199, -0.6452, -1.0429, -0.5781, 1.0546, -1.46, 0
0.601, 1.8804, 2.2689, 1.2787, 0.1658, 2.0237, 1.2107, -0.2263, 0.0821, 0.8573, 0.5545, -0.4058, 0.038, -0.1376, 1.2552, 0.6879, 0.0226, 0.9672, 1.0374, -0.7769, 0
0.5731, 0.607, 0.6239, -0.2665, 0.8449, 0.6971, -0.0925, -0.5466, 0.6709, 0.5633, -0.023, 0.7342, 2.0359, -0.2768, 0.4258, 0.8825, -0.0581, 0.234, -0.212, -1.3139, 0
0.6847, -1.7402, 0.2536, 0.8399, 0.1243, 0.8614, 1.1079, -1.4507, 0.3769, -0.4299, -0.531, 0.5602, 0.5978, 0.3135, -0.1932, -0.8504, -1.4196, 1.5835, -0.3445, -0.4015, 0
-0.7132, 0.1249, 0.4259, -0.0378, 1.1377, 0.524, 2.0164, 1.1471, -1.7185, 0.2649, 0.0732, -0.0141, -0.2566, -0.0517, 1.0223, 0.4106, 0.3245, 0.659, 0.1093, 1.4898, 0
0.9595, 0.2671, 1.8219, 1.0802, 0.7955, 0.2136, 1.2926, 0.1125, -0.2535, 1.8307, 0.3698, 0.2274, 1.19, 0.6195, 2.2873, -1.1472, 1.1397, 1.1866, -0.4982, -0.3353, 0
0.0469, -0.5056, -1.1598, 1.7574, -1.0063, -1.1354, 1.7005, 0.4769, -1.0053, 2.1843, -0.5248, 0.0992, -0.1619, -1.7746, 0.3226, 1.8581, 0.7935, 0.4963, 0.0842, 1.6052, 0
0.6207, 0.9179, 1.8184, 0.725, 0.1804, 0.3641, 0.5713, -0.6873, 0.1767, 0.3505, 0.431, 0.2278, -0.1641, 0.2553, 0.133, -0.4451, 0.6654, -0.0188, 1.3554, 0.0995, 0
0.153, -1.2532, 2.3485, 0.6967, 1.5474, 0.6013, -1.9302, -0.9157, 0.3633, 0.7173, 0.5035, 1.1247, 0.9455, 1.1276, 2.0953, 0.1456, 2.3908, 0.6812, 0.6685, -0.128, 0
0.7665, -0.584, 0.1229, -0.6642, 1.3317, 0.2128, 1.5837, 0.2668, 1.2113, 2.2564, 1.1639, 1.487, 0.5932, 0.6148, 1.9435, 0.18, -0.391, -1.573, 0.0456, -0.3287, 0
0.4457, -0.6994, 0.3741, 0.638, 0.2027, -0.8976, 1.3375, 1.4074, 0.9637, 0.0401, 0.0296, -0.4826, 0.2859, -1.6294, 0.7803, 0.7275, 0.9668, 0.7324, 0.4155, 1.3291, 0
1.5073, 0.261, -0.439, -0.4263, -0.2355, 1.3872, 0.3455, -1.3897, 1.5608, 0.7332, 0.3589, 0.0907, -0.1058, 0.702, 1.2579, 1.0779, -0.0472, -0.4001, 0.6541, -0.1625, 0
0.0907, 1.3903, -0.1007, -0.5423, 0.0529, 0.5656, -0.0071, -1.2138, 4.0E-4, 0.7585, -0.4877, -0.0797, 0.3045, 1.128, 0.2684, 1.473, -0.1127, -0.1795, 2.5822, 1.1367, 0
-0.0758, 0.7915, 0.9717, 1.3955, 0.6711, -1.8065, -0.0192, -0.7522, 0.5635, -0.176, -0.9916, 0.4002, 1.598, 1.7534, 1.4021, 1.5785, -0.1974, 0.7989, 1.3709, 0.44, 0
0.7195, 1.3853, 0.2934, 0.2385, -0.3339, 0.7497, 0.9756, 1.0935, -0.8983, 1.0568, 0.1346, -0.2499, 0.0242, 0.0693, 2.3753, -0.8949, 0.6345, 1.5686, 0.2525, -1.2802, 0
0.257, 0.7721, 0.4761, 0.2203, 0.5305, 1.0208, 0.404, -0.7874, 0.7449, 0.8214, -0.1828, -0.7584, -0.5366, -0.7899, 0.4388, 0.946, 1.7901, 0.6771, -0.4719, 0.1088, 0
-0.0993, -0.2235, 1.0996, 0.0454, -0.6307, -0.8562, 1.002, 0.291, 0.9894, 0.0018, -2.1394, -1.1777, 0.7711, -0.0439, 0.8538, -0.9313, 0.7776, 1.0883, 0.1126, 0.8236, 0
0.8038, 1.2745, 0.9155, 0.4543, 1.2079, 1.2705, 1.5853, 1.7343, -0.5914, -0.6865, 0.6755, 0.658, 0.7386, 2.0957, 1.7995, -0.2762, 0.0189, 1.5772, 0.5714, -0.2115, 0
1.8186, 0.3531, 0.6609, 1.0075, 1.4052, 0.751, 2.0333, 0.8226, 1.7953, 0.2678, 1.2154, -1.1635, 0.3942, 0.1481, -0.9227, 0.7162, 0.2968, -0.3544, 1.4785, -0.1261, 0
0.6317, 1.367, 0.7676, -0.7845, 0.3665, -0.0779, 0.2958, 0.759, 1.4597, 0.3635, 0.4662, 0.3956, 0.8373, 0.2784, 0.7405, 1.4627, -0.4191, 1.1482, 0.0316, 0.2397, 0
1.9593, 0.5668, 2.2494, 0.9276, -1.1232, 0.8575, 0.6009, 0.5366, -0.7465, 0.7863, 2.2158, 0.2543, 1.0521, -0.5497, -0.9441, 1.9549, 0.4797, 0.3743, 1.7462, 0.615, 0
-0.0807, 1.1196, 0.5183, 0.7036, 0.5581, -0.0024, 0.0596, 0.491, -0.0601, 1.427, 0.5833, -0.6168, -0.7094, 1.4242, 1.1531, -1.4083, 1.3413, -0.4194, 1.2257, 0.9561, 0
1.3948, -0.4917, 0.6198, -0.5603, 0.1405, 0.2544, 2.2286, -0.6679, 3.2802, -0.6968, 1.5198, 1.9404, 1.4797, 1.2256, 0.1653, -1.8447, 0.4801, 0.509, 1.6935, 0.8324, 0
-0.4076, -1.2207, -0.1002, -0.2241, 0.1458, 0.3267, -0.0397, 0.3323, 0.7495, -0.1221, 0.5006, 1.1334, -0.0221, -0.9505, 1.1056, 0.172, 3.0384, 1.0608, 1.5405, 1.1816, 0
0.9505, -0.7137, 0.9562, 0.1287, 0.9182, 1.8695, -1.2956, 0.6773, 0.0256, -1.3856, 0.2473, 0.5382, 0.7765, 0.0628, 0.1293, 1.2376, 1.6735, -1.0208, 2.6263, 0.0135, 0
1.8003, 1.037, 0.6881, 0.6637, 1.0811, 2.0716, 0.0244, -0.2307, -1.4326, 1.4101, -0.6551, 0.0255, -0.5203, 0.0334, 0.6769, 0.3284, -0.1, -0.5379, -0.6889, 1.187, 0
1.3351, 0.4083, 0.3299, -0.2946, 2.0227, 1.5952, -0.1335, -0.7503, 2.0465, 0.0899, 0.8734, 0.1762, -0.9483, 1.2006, 0.5651, -0.2366, 1.548, 0.8468, 0.5795, 0.1478, 0
-0.3012, 0.3597, -0.1735, 2.4345, 0.2328, 1.0753, 0.4168, 1.2022, 1.0534, 0.1526, -0.0614, 0.5949, 1.5778, -0.4718, 0.4838, -0.1359, 0.1415, -0.8328, 1.5345, 0.4234, 0
1.0754, -0.3935, -1.8449, 0.7276, 0.4972, -0.4463, 0.0773, 1.6697, 0.4936, 1.1872, 0.9973, 0.1325, 1.4624, 0.6861, 0.5357, 0.167, 1.1901, 0.6865, 1.1873, 1.6627, 0
0.8959, 0.5988, 0.2003, 0.9651, 1.2934, 0.495, 1.1283, -1.5348, 0.2583, 0.4954, 0.8642, 0.5222, -0.0496, -0.7378, 0.3942, 1.1344, -1.8255, 0.1982, 0.1694, 1.095, 0
