@relation  twonorm
@attribute A1 real[-4.2497,3.5782]
@attribute A2 real[-3.9606,4.3451]
@attribute A3 real[-4.4798,4.4039]
@attribute A4 real[-3.8891,4.2589]
@attribute A5 real[-3.9099,5.6395]
@attribute A6 real[-4.0095,3.9901]
@attribute A7 real[-3.7334,4.4522]
@attribute A8 real[-4.5744,3.8648]
@attribute A9 real[-3.8136,4.254]
@attribute A10 real[-4.1999,4.0829]
@attribute A11 real[-3.9204,4.0953]
@attribute A12 real[-3.8262,4.3025]
@attribute A13 real[-3.9451,3.7817]
@attribute A14 real[-3.8516,4.1238]
@attribute A15 real[-3.6978,3.5485]
@attribute A16 real[-3.6976,4.2439]
@attribute A17 real[-3.9428,3.7233]
@attribute A18 real[-4.0653,4.0557]
@attribute A19 real[-4.1218,4.3238]
@attribute A20 real[-3.7831,4.279]
@attribute Class{0,1}
@inputs A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20
@outputs Class
@data
1.5748, 1.9052, 0.8194, 1.0537, 0.2558, 0.0041, 1.3218, 0.2002, -0.4084, 0.4033, 1.2519, 1.1194, -0.8634, 1.1215, 0.1636, -0.165, -0.5465, 0.189, 0.7794, -0.1466, 0
1.3438, 0.9283, -0.2731, -0.1096, -0.6457, 1.1084, 1.9237, 0.0832, -0.7844, 1.2432, 0.1233, 0.1982, 1.8218, -1.1082, 0.6706, 0.5812, 0.0354, 0.7062, 0.2776, -0.8833, 0
0.0981, -0.0819, 0.8084, 2.0966, 1.3257, -0.5301, -0.2742, 1.7493, 1.1943, -1.6098, -0.6297, 0.2617, 1.3041, 1.6003, -0.5266, 0.6001, 1.0102, 0.8301, 0.2868, 0.959, 0
-0.2709, -0.199, 0.4953, -0.7391, 1.4833, 1.1744, 0.7138, 0.8713, 1.2404, -0.8934, 1.1895, 0.5702, 1.0338, 1.4667, 0.3316, 0.3191, 0.5957, 0.5106, -0.9264, -0.1025, 0
-0.5593, 0.3172, 0.0685, 1.1162, 0.2438, 0.1913, -0.2805, 2.1469, 1.3319, -0.4372, 0.4979, -0.4264, -0.2701, -0.1406, 1.6224, -0.2731, -0.9829, 1.5143, -1.7982, 0.8769, 0
1.2676, -0.4857, 0.8329, 0.4979, 0.1087, 2.2081, -1.1185, -0.6502, 0.9761, -0.7019, 1.0008, 0.7481, -0.6081, 0.638, 1.1193, -0.194, 0.7226, 0.2651, -1.5851, 0.262, 0
-0.6851, 0.3293, 0.1708, 0.9851, 1.0244, 1.1083, -1.3855, 1.7794, 0.0068, 0.1581, -1.0151, -0.6821, -0.1711, 0.6438, -0.4111, 0.1234, 0.516, -0.1588, -0.8328, -0.0744, 0
-0.1701, -0.2896, 0.44, 0.6284, -1.1667, 1.2543, 0.5633, 1.3907, -1.0543, 0.8538, 1.4018, 1.9788, -1.4051, -0.0089, 1.1405, 0.0518, -0.5405, -0.4761, -0.9951, 0.5564, 0
0.4549, 0.5607, 0.3365, 0.7556, 0.1497, 0.3323, -0.5357, -1.7704, 0.0669, 0.6941, 1.0046, 0.4018, 0.4757, 1.1076, 1.0214, 0.4257, 2.0169, -0.0735, -0.5642, 1.164, 0
1.2478, 0.5464, 0.905, 0.2789, 0.3397, -0.2999, 0.6751, 1.7654, 1.2595, -0.4063, -0.5734, 0.8364, 0.0524, -1.0062, -0.1011, -0.139, -0.3232, 0.3298, 1.6548, 1.0514, 0
