@relation ecoli-0-1-4-7_vs_5-6
@attribute a1 real [0.0, 89.0]
@attribute a2 real [1.0, 88.0]
@attribute a3 real [1.0, 48.0]
@attribute a5 real [0.0, 88.0]
@attribute a6 real [1.0, 94.0]
@attribute a7 real [0.0, 99.0]
@attribute class {positive, negative}
@inputs a1, a2, a3, a5, a6, a7
@outputs class
@data
59.0, 49.0, 48.0, 52.0, 45.0, 36.0, negative
23.0, 32.0, 48.0, 55.0, 25.0, 35.0, negative
2.0, 44.0, 48.0, 46.0, 51.0, 57.0, negative
31.0, 23.0, 48.0, 73.0, 5.0, 14.0, negative
3.0, 16.0, 48.0, 56.0, 11.0, 23.0, negative
21.0, 51.0, 48.0, 5.0, 32.0, 41.0, negative
43.0, 37.0, 48.0, 53.0, 35.0, 44.0, negative
34.0, 33.0, 48.0, 38.0, 35.0, 44.0, negative
29.0, 52.0, 48.0, 42.0, 29.0, 39.0, negative
32.0, 42.0, 48.0, 35.0, 28.0, 38.0, negative
42.0, 35.0, 48.0, 58.0, 15.0, 27.0, negative
29.0, 3.0, 48.0, 45.0, 3.0, 17.0, negative
4.0, 35.0, 48.0, 45.0, 33.0, 42.0, negative
36.0, 41.0, 48.0, 48.0, 47.0, 54.0, negative
25.0, 37.0, 48.0, 43.0, 26.0, 36.0, negative
41.0, 48.0, 48.0, 51.0, 44.0, 51.0, negative
35.0, 37.0, 48.0, 3.0, 34.0, 43.0, negative
24.0, 57.0, 48.0, 63.0, 34.0, 43.0, negative
33.0, 47.0, 48.0, 53.0, 18.0, 29.0, negative
43.0, 32.0, 48.0, 33.0, 45.0, 52.0, negative
47.0, 28.0, 48.0, 56.0, 2.0, 25.0, negative
34.0, 35.0, 48.0, 51.0, 49.0, 56.0, negative
51.0, 49.0, 48.0, 53.0, 14.0, 26.0, negative
29.0, 28.0, 48.0, 5.0, 42.0, 5.0, negative
0.0, 38.0, 48.0, 42.0, 48.0, 55.0, negative
22.0, 34.0, 48.0, 42.0, 29.0, 39.0, negative
27.0, 42.0, 48.0, 37.0, 38.0, 43.0, negative
16.0, 43.0, 48.0, 54.0, 27.0, 37.0, negative
6.0, 61.0, 48.0, 49.0, 92.0, 37.0, negative
23.0, 48.0, 48.0, 59.0, 88.0, 89.0, negative
12.0, 67.0, 48.0, 74.0, 58.0, 63.0, negative
54.0, 49.0, 48.0, 4.0, 87.0, 88.0, negative
31.0, 5.0, 48.0, 57.0, 84.0, 85.0, negative
66.0, 53.0, 48.0, 59.0, 66.0, 66.0, negative
34.0, 51.0, 48.0, 67.0, 9.0, 9.0, negative
63.0, 54.0, 48.0, 65.0, 79.0, 81.0, negative
12.0, 43.0, 48.0, 63.0, 7.0, 74.0, negative
34.0, 67.0, 48.0, 52.0, 76.0, 79.0, negative
51.0, 4.0, 48.0, 57.0, 62.0, 67.0, negative
58.0, 55.0, 48.0, 57.0, 7.0, 74.0, negative
36.0, 47.0, 48.0, 51.0, 69.0, 72.0, negative
35.0, 51.0, 48.0, 61.0, 71.0, 74.0, negative
11.0, 5.0, 48.0, 58.0, 72.0, 68.0, negative
46.0, 59.0, 48.0, 36.0, 76.0, 23.0, negative
3.0, 51.0, 48.0, 42.0, 61.0, 34.0, negative
83.0, 48.0, 48.0, 65.0, 76.0, 79.0, negative
66.0, 48.0, 48.0, 54.0, 7.0, 74.0, negative
76.0, 71.0, 48.0, 5.0, 71.0, 75.0, negative
58.0, 6.0, 48.0, 59.0, 73.0, 76.0, negative
86.0, 55.0, 48.0, 63.0, 81.0, 83.0, negative
57.0, 38.0, 48.0, 6.0, 49.0, 33.0, negative
78.0, 44.0, 48.0, 45.0, 73.0, 68.0, negative
67.0, 81.0, 48.0, 54.0, 49.0, 23.0, negative
67.0, 61.0, 48.0, 51.0, 37.0, 38.0, negative
74.0, 82.0, 48.0, 49.0, 49.0, 41.0, negative
63.0, 71.0, 48.0, 6.0, 4.0, 39.0, negative
75.0, 84.0, 48.0, 35.0, 52.0, 33.0, negative
7.0, 71.0, 48.0, 42.0, 84.0, 85.0, negative
64.0, 66.0, 48.0, 41.0, 39.0, 2.0, negative
69.0, 66.0, 48.0, 41.0, 5.0, 25.0, negative
71.0, 57.0, 48.0, 48.0, 35.0, 32.0, negative
6.0, 76.0, 1.0, 77.0, 59.0, 52.0, positive
69.0, 59.0, 48.0, 77.0, 39.0, 21.0, positive
77.0, 57.0, 1.0, 37.0, 54.0, 1.0, positive
66.0, 49.0, 1.0, 54.0, 56.0, 36.0, positive
67.0, 55.0, 1.0, 66.0, 58.0, 16.0, positive
