@relation ecoli-0-1-4-7_vs_5-6
@attribute a1 real [0.0, 89.0]
@attribute a2 real [1.0, 88.0]
@attribute a3 real [1.0, 48.0]
@attribute a5 real [0.0, 88.0]
@attribute a6 real [1.0, 94.0]
@attribute a7 real [0.0, 99.0]
@attribute class {positive, negative}
@inputs a1, a2, a3, a5, a6, a7
@outputs class
@data
29.0, 28.0, 48.0, 44.0, 23.0, 34.0, negative
25.0, 48.0, 48.0, 44.0, 17.0, 29.0, negative
39.0, 32.0, 48.0, 46.0, 24.0, 35.0, negative
51.0, 5.0, 48.0, 46.0, 32.0, 35.0, negative
41.0, 57.0, 48.0, 39.0, 21.0, 32.0, negative
43.0, 39.0, 48.0, 47.0, 31.0, 41.0, negative
4.0, 5.0, 48.0, 45.0, 39.0, 47.0, negative
47.0, 47.0, 48.0, 22.0, 16.0, 26.0, negative
44.0, 56.0, 48.0, 5.0, 46.0, 54.0, negative
25.0, 37.0, 48.0, 41.0, 33.0, 42.0, negative
52.0, 57.0, 48.0, 42.0, 47.0, 54.0, negative
44.0, 51.0, 48.0, 47.0, 26.0, 36.0, negative
24.0, 43.0, 48.0, 37.0, 28.0, 38.0, negative
29.0, 47.0, 48.0, 41.0, 23.0, 34.0, negative
34.0, 55.0, 48.0, 58.0, 31.0, 41.0, negative
5.0, 49.0, 48.0, 49.0, 46.0, 53.0, negative
5.0, 51.0, 48.0, 27.0, 23.0, 34.0, negative
64.0, 76.0, 48.0, 45.0, 35.0, 38.0, negative
57.0, 54.0, 48.0, 37.0, 28.0, 33.0, negative
26.0, 5.0, 48.0, 44.0, 32.0, 41.0, negative
44.0, 49.0, 48.0, 39.0, 38.0, 4.0, negative
35.0, 34.0, 48.0, 46.0, 3.0, 27.0, negative
61.0, 36.0, 48.0, 49.0, 35.0, 44.0, negative
34.0, 51.0, 48.0, 44.0, 37.0, 46.0, negative
4.0, 46.0, 48.0, 42.0, 35.0, 44.0, negative
37.0, 44.0, 48.0, 42.0, 39.0, 47.0, negative
26.0, 4.0, 48.0, 36.0, 26.0, 37.0, negative
63.0, 47.0, 48.0, 51.0, 82.0, 84.0, negative
43.0, 4.0, 48.0, 58.0, 75.0, 78.0, negative
46.0, 61.0, 48.0, 48.0, 86.0, 87.0, negative
4.0, 5.0, 48.0, 65.0, 82.0, 84.0, negative
48.0, 41.0, 48.0, 51.0, 9.0, 88.0, negative
5.0, 66.0, 48.0, 31.0, 92.0, 92.0, negative
54.0, 57.0, 48.0, 56.0, 81.0, 83.0, negative
33.0, 45.0, 48.0, 45.0, 88.0, 89.0, negative
5.0, 37.0, 48.0, 66.0, 64.0, 69.0, negative
6.0, 61.0, 48.0, 54.0, 67.0, 71.0, negative
6.0, 5.0, 1.0, 54.0, 77.0, 8.0, negative
61.0, 52.0, 48.0, 54.0, 67.0, 52.0, negative
59.0, 56.0, 48.0, 55.0, 8.0, 82.0, negative
37.0, 47.0, 48.0, 39.0, 76.0, 79.0, negative
31.0, 44.0, 48.0, 5.0, 79.0, 82.0, negative
0.0, 51.0, 48.0, 35.0, 67.0, 44.0, negative
63.0, 75.0, 48.0, 64.0, 73.0, 66.0, negative
59.0, 29.0, 48.0, 64.0, 75.0, 77.0, negative
62.0, 42.0, 48.0, 58.0, 79.0, 81.0, negative
81.0, 53.0, 48.0, 57.0, 87.0, 88.0, negative
87.0, 49.0, 48.0, 61.0, 76.0, 79.0, negative
7.0, 53.0, 48.0, 7.0, 86.0, 87.0, negative
64.0, 45.0, 48.0, 67.0, 61.0, 66.0, negative
84.0, 54.0, 48.0, 75.0, 92.0, 7.0, negative
79.0, 54.0, 48.0, 5.0, 66.0, 68.0, negative
74.0, 49.0, 48.0, 42.0, 54.0, 36.0, negative
67.0, 7.0, 48.0, 46.0, 45.0, 33.0, negative
63.0, 1.0, 48.0, 35.0, 51.0, 49.0, negative
63.0, 65.0, 48.0, 39.0, 44.0, 35.0, negative
69.0, 67.0, 48.0, 3.0, 39.0, 24.0, negative
64.0, 78.0, 48.0, 5.0, 36.0, 38.0, negative
76.0, 73.0, 48.0, 44.0, 39.0, 39.0, negative
62.0, 83.0, 48.0, 46.0, 36.0, 4.0, negative
61.0, 6.0, 48.0, 44.0, 39.0, 38.0, negative
59.0, 61.0, 48.0, 42.0, 42.0, 37.0, negative
74.0, 9.0, 48.0, 57.0, 53.0, 29.0, positive
75.0, 76.0, 48.0, 83.0, 57.0, 3.0, positive
65.0, 51.0, 48.0, 66.0, 54.0, 33.0, positive
71.0, 71.0, 48.0, 68.0, 43.0, 36.0, positive
71.0, 46.0, 1.0, 52.0, 59.0, 3.0, positive
