@relation  banana
@attribute At1 real[-3.09,2.81]
@attribute At2 real[-2.39,3.19]
@attribute Class {-1.0,1.0}


@data
-0.38, -1.27, -1.0
-0.284, -1.02, -1.0
-0.653, -0.734, -1.0
-0.505, 1.17, -1.0
0.522, 1.46, -1.0
0.185, 0.617, -1.0
-0.908, 1.26, -1.0
0.99, 0.771, -1.0
-0.419, 1.4, -1.0
0.247, -1.28, -1.0
1.11, 0.57, -1.0
1.09, 1.21, -1.0
0.408, 1.16, -1.0
-0.238, -1.49, -1.0
-1.68, 1.08, -1.0
0.204, -1.29, -1.0
0.391, -1.42, -1.0
1.02, 0.0975, -1.0
-0.103, -1.71, -1.0
1.21, 0.00827, -1.0
0.0284, 1.62, -1.0
1.13, 0.405, -1.0
1.03, -0.209, -1.0
1.09, 1.03, -1.0
0.0967, -1.4, -1.0
-0.555, -1.02, -1.0
1.57, 0.483, -1.0
1.46, -0.111, -1.0
-1.25, -1.47, -1.0
0.196, 1.76, -1.0
1.19, 0.309, -1.0
0.627, 0.125, -1.0
-0.807, 1.12, -1.0
-0.677, -1.41, -1.0
-0.269, 1.37, -1.0
0.451, -1.23, -1.0
-0.338, -1.33, -1.0
-0.874, 0.922, -1.0
0.953, 0.719, -1.0
1.38, 0.877, -1.0
-1.87, 0.373, -1.0
-0.704, 0.71, -1.0
0.926, 0.972, -1.0
-0.948, -0.982, -1.0
1.55, -0.0305, -1.0
-0.509, -0.932, -1.0
0.171, -0.886, -1.0
-1.28, 0.559, -1.0
-0.106, -0.933, -1.0
-0.31, -1.27, -1.0
-0.18, -0.639, -1.0
0.291, -0.795, -1.0
0.196, -0.779, -1.0
0.14, -0.8, -1.0
-1.01, 0.768, -1.0
0.918, 0.82, -1.0
0.183, -1.16, -1.0
0.935, 0.556, -1.0
-0.83, 0.993, -1.0
0.143, 1.05, -1.0
0.792, 0.988, -1.0
0.981, 0.532, -1.0
-0.738, 1.01, -1.0
0.395, 0.0856, -1.0
1.12, 0.612, -1.0
0.0652, -0.766, -1.0
0.204, -1.06, -1.0
-1.01, -1.47, -1.0
-0.383, -1.04, -1.0
-0.693, 1.28, -1.0
-0.43, -0.722, -1.0
-0.0715, 1.41, -1.0
1.4, 0.746, -1.0
0.633, 0.901, -1.0
-1.57, 0.679, -1.0
-0.118, -1.26, -1.0
-0.704, -0.802, -1.0
-0.48, -0.913, -1.0
-1.7, -0.087, -1.0
1.28, 0.691, -1.0
-0.726, -1.17, -1.0
0.983, 0.611, -1.0
-1.25, 0.857, -1.0
1.32, 0.376, -1.0
-0.878, -1.46, -1.0
1.34, 0.0998, -1.0
1.14, -0.114, -1.0
1.29, 0.283, -1.0
0.165, -1.58, -1.0
-1.04, 1.04, -1.0
-0.401, -1.17, -1.0
1.34, 0.32, -1.0
0.0296, 1.2, -1.0
-0.584, 1.01, -1.0
0.245, -0.681, -1.0
1.11, 0.375, -1.0
-0.784, 0.969, -1.0
1.38, -0.244, -1.0
-0.123, 1.86, -1.0
1.08, -0.628, -1.0
0.551, 0.921, -1.0
-1.19, 1.01, -1.0
0.595, 1.02, -1.0
0.0735, -1.01, -1.0
0.386, 1.92, -1.0
0.157, -0.934, -1.0
1.33, -0.0673, -1.0
0.362, 1.59, -1.0
-0.153, -1.22, -1.0
-1.41, 0.894, -1.0
-1.06, -0.937, -1.0
-1.21, 1.19, -1.0
-1.2, 0.92, -1.0
0.163, -1.31, -1.0
0.445, -1.38, -1.0
-0.396, -1.38, -1.0
1.13, -0.0116, -1.0
0.673, 1.07, -1.0
-1.02, -1.01, -1.0
-0.153, -1.15, -1.0
-0.473, -1.55, -1.0
0.02, -1.54, -1.0
1.23, 0.458, -1.0
-0.0656, -1.57, -1.0
-0.785, -1.11, -1.0
-0.0776, -1.35, -1.0
-0.369, -0.984, -1.0
-0.295, -1.22, -1.0
-0.381, -0.959, -1.0
-0.107, -1.5, -1.0
-0.784, 1.81, -1.0
0.373, 1.48, -1.0
1.24, 0.908, -1.0
-0.734, 0.881, -1.0
-0.434, -1.1, -1.0
-1.82, 0.904, -1.0
-1.14, 0.693, -1.0
0.00865, -0.918, -1.0
-1.74, 0.697, -1.0
-0.166, -0.986, -1.0
-0.00634, -1.0, -1.0
-0.651, 1.12, -1.0
-0.236, -1.17, -1.0
-0.501, -1.43, -1.0
0.272, 0.813, -1.0
-0.82, -1.04, -1.0
-1.52, 0.506, -1.0
-1.07, 0.963, -1.0
1.52, 0.315, -1.0
-0.625, -1.14, -1.0
-0.631, -0.867, -1.0
1.18, 0.614, -1.0
0.33, -1.48, -1.0
-0.0232, -1.24, -1.0
0.725, 1.39, -1.0
1.24, -0.145, -1.0
-0.43, -1.4, -1.0
-0.886, -1.27, -1.0
1.14, 0.212, -1.0
-0.664, 1.18, -1.0
0.403, -0.997, -1.0
0.289, 1.01, -1.0
1.05, 0.397, -1.0
0.375, 1.27, -1.0
0.296, 1.51, -1.0
-0.542, -0.739, -1.0
-2.34, 0.246, -1.0
-0.827, 1.23, -1.0
1.27, -0.194, -1.0
0.0745, 1.78, -1.0
-0.262, 1.28, -1.0
1.04, 0.563, -1.0
-0.663, -1.47, -1.0
-0.304, 1.5, -1.0
0.794, 0.762, -1.0
1.27, 0.496, -1.0
-0.0418, -1.02, -1.0
-1.53, 0.658, -1.0
-0.594, 1.24, -1.0
1.53, 0.228, -1.0
1.29, 1.07, -1.0
-0.921, -1.19, -1.0
0.0428, -1.04, -1.0
0.449, 0.648, -1.0
0.388, 1.64, -1.0
-0.0305, -1.09, -1.0
-0.666, -1.34, -1.0
-0.0175, -1.21, -1.0
-1.12, -1.17, -1.0
-1.58, 0.272, -1.0
-0.0779, -0.967, -1.0
1.62, -0.919, -1.0
-0.259, 0.996, -1.0
0.409, -1.15, -1.0
1.82, -0.643, -1.0
1.31, 0.936, -1.0
-0.834, 1.41, -1.0
0.67, 0.784, -1.0
0.335, 1.99, -1.0
1.23, -0.0874, -1.0
0.594, 1.8, -1.0
-0.566, -1.62, -1.0
-1.2, -1.02, -1.0
-0.071, 1.63, -1.0
-0.917, -0.863, -1.0
-0.836, -1.36, -1.0
-1.7, 0.869, -1.0
0.344, 0.908, -1.0
0.513, 1.5, -1.0
-0.0337, -1.36, -1.0
0.163, -1.08, -1.0
-0.129, 1.57, -1.0
-0.856, -1.31, -1.0
