@relation  banana
@attribute At1 real[-3.09,2.81]
@attribute At2 real[-2.39,3.19]
@attribute Class{-1.0,1.0}
@inputs At1,At2
@outputs Class
@data
-0.383, -1.26, -1.0
-0.274, -0.99, -1.0
-0.695, -0.736, -1.0
-0.526, 1.19, -1.0
0.526, 1.48, -1.0
0.329, 0.606, -1.0
-0.859, 1.26, -1.0
1.03, 0.766, -1.0
-0.381, 1.41, -1.0
0.233, -1.29, -1.0
1.1, 0.604, -1.0
1.0, 1.17, -1.0
0.44, 1.16, -1.0
-0.269, -1.47, -1.0
-1.62, 1.02, -1.0
0.191, -1.29, -1.0
0.351, -1.42, -1.0
0.981, 0.0921, -1.0
-0.0958, -1.66, -1.0
1.24, 0.00235, -1.0
0.0662, 1.62, -1.0
1.12, 0.422, -1.0
1.05, -0.23, -1.0
1.12, 1.01, -1.0
0.101, -1.39, -1.0
-0.529, -1.02, -1.0
1.63, 0.475, -1.0
1.47, -0.0839, -1.0
-1.25, -1.28, -1.0
0.191, 1.72, -1.0
1.19, 0.289, -1.0
0.627, 0.234, -1.0
-0.824, 1.1, -1.0
-0.655, -1.44, -1.0
-0.26, 1.36, -1.0
0.477, -1.24, -1.0
-0.325, -1.32, -1.0
-0.859, 0.885, -1.0
0.933, 0.711, -1.0
1.34, 0.878, -1.0
-1.74, 0.367, -1.0
-0.723, 0.633, -1.0
0.948, 0.985, -1.0
-0.903, -0.988, -1.0
1.52, -0.0653, -1.0
-0.516, -0.915, -1.0
0.129, -0.889, -1.0
-1.29, 0.511, -1.0
-0.0874, -0.948, -1.0
-0.298, -1.26, -1.0
-0.152, -0.669, -1.0
0.246, -0.767, -1.0
0.162, -0.791, -1.0
0.126, -0.865, -1.0
-0.975, 0.725, -1.0
0.888, 0.817, -1.0
0.164, -1.18, -1.0
0.899, 0.538, -1.0
-0.836, 0.959, -1.0
0.196, 1.08, -1.0
0.784, 0.972, -1.0
0.995, 0.502, -1.0
-0.717, 1.0, -1.0
0.431, 0.266, -1.0
1.14, 0.607, -1.0
0.0243, -0.719, -1.0
0.168, -1.06, -1.0
-1.02, -1.43, -1.0
-0.39, -1.01, -1.0
-0.639, 1.28, -1.0
-0.462, -0.707, -1.0
-0.137, 1.44, -1.0
1.38, 0.698, -1.0
0.614, 0.908, -1.0
-1.54, 0.685, -1.0
-0.109, -1.25, -1.0
-0.617, -0.792, -1.0
-0.481, -0.904, -1.0
-1.63, 0.101, -1.0
1.29, 0.644, -1.0
-0.716, -1.19, -1.0
0.991, 0.594, -1.0
-1.22, 0.831, -1.0
1.28, 0.373, -1.0
-0.945, -1.43, -1.0
1.31, 0.118, -1.0
1.14, -0.0771, -1.0
1.26, 0.305, -1.0
0.123, -1.62, -1.0
-1.03, 1.01, -1.0
-0.389, -1.2, -1.0
1.41, 0.319, -1.0
0.0205, 1.23, -1.0
-0.549, 1.03, -1.0
0.307, -0.678, -1.0
1.11, 0.428, -1.0
-0.772, 0.933, -1.0
1.39, -0.218, -1.0
-0.157, 1.84, -1.0
1.12, -0.422, -1.0
0.543, 0.913, -1.0
-1.16, 1.03, -1.0
0.602, 1.06, -1.0
0.0927, -1.02, -1.0
0.335, 1.95, -1.0
0.152, -0.964, -1.0
1.34, -0.0272, -1.0
0.372, 1.6, -1.0
-0.149, -1.2, -1.0
-1.36, 0.887, -1.0
-1.06, -0.881, -1.0
-1.19, 1.23, -1.0
-1.2, 0.932, -1.0
0.166, -1.25, -1.0
0.523, -1.38, -1.0
-0.372, -1.38, -1.0
1.11, -0.0628, -1.0
0.659, 1.07, -1.0
-1.04, -1.07, -1.0
-0.178, -1.15, -1.0
-0.486, -1.53, -1.0
0.0403, -1.51, -1.0
1.26, 0.462, -1.0
-0.0537, -1.52, -1.0
-0.817, -1.11, -1.0
-0.0866, -1.37, -1.0
-0.377, -0.973, -1.0
-0.26, -1.23, -1.0
-0.381, -0.917, -1.0
-0.125, -1.48, -1.0
-0.936, 1.81, -1.0
0.411, 1.47, -1.0
1.18, 0.913, -1.0
-0.668, 0.919, -1.0
-0.421, -1.09, -1.0
-1.73, 0.87, -1.0
-1.18, 0.692, -1.0
0.021, -0.905, -1.0
-1.75, 0.722, -1.0
-0.175, -0.946, -1.0
0.0066, -0.994, -1.0
-0.621, 1.11, -1.0
-0.245, -1.18, -1.0
-0.49, -1.45, -1.0
0.126, 0.819, -1.0
-0.84, -1.05, -1.0
-1.53, 0.501, -1.0
-1.08, 0.989, -1.0
1.53, 0.368, -1.0
-0.621, -1.12, -1.0
-0.607, -0.894, -1.0
1.18, 0.585, -1.0
0.341, -1.43, -1.0
-0.0198, -1.22, -1.0
0.77, 1.4, -1.0
1.25, -0.118, -1.0
-0.432, -1.34, -1.0
-0.893, -1.27, -1.0
1.15, 0.243, -1.0
-0.67, 1.22, -1.0
0.386, -0.997, -1.0
0.37, 1.03, -1.0
1.01, 0.397, -1.0
0.375, 1.24, -1.0
0.299, 1.49, -1.0
-0.544, -0.773, -1.0
-2.25, 0.167, -1.0
-0.819, 1.26, -1.0
1.27, -0.159, -1.0
0.105, 1.77, -1.0
-0.292, 1.32, -1.0
1.07, 0.61, -1.0
-0.715, -1.49, -1.0
-0.31, 1.45, -1.0
0.769, 0.772, -1.0
1.29, 0.488, -1.0
-0.0192, -1.03, -1.0
-1.52, 0.66, -1.0
-0.598, 1.22, -1.0
1.45, 0.229, -1.0
1.3, 1.04, -1.0
-0.89, -1.17, -1.0
0.0479, -1.06, -1.0
0.448, 0.71, -1.0
0.369, 1.69, -1.0
-0.0397, -1.09, -1.0
-0.69, -1.33, -1.0
0.0169, -1.22, -1.0
-1.12, -1.2, -1.0
-1.53, 0.257, -1.0
-0.0979, -1.01, -1.0
1.71, -0.945, -1.0
-0.223, 1.04, -1.0
0.441, -1.13, -1.0
1.81, -0.551, -1.0
1.44, 0.898, -1.0
-0.855, 1.44, -1.0
0.646, 0.778, -1.0
0.427, 1.99, -1.0
1.22, -0.106, -1.0
0.533, 1.76, -1.0
-0.597, -1.6, -1.0
-1.2, -1.04, -1.0
-0.0605, 1.65, -1.0
-0.889, -0.884, -1.0
-0.832, -1.33, -1.0
-1.67, 0.88, -1.0
0.374, 0.966, -1.0
0.496, 1.52, -1.0
-0.0263, -1.35, -1.0
0.174, -1.11, -1.0
-0.173, 1.59, -1.0
-0.786, -1.33, -1.0
0.318, 1.4, -1.0
-0.506, -1.2, -1.0
0.254, 2.42, -1.0
-0.803, -0.705, -1.0
-0.28, -1.3, -1.0
1.39, -0.013, -1.0
-0.956, -0.77, -1.0
-0.235, -1.22, -1.0
0.934, 0.358, -1.0
0.183, -1.21, -1.0
0.404, -0.868, -1.0
-0.768, -0.909, -1.0
1.87, -0.239, -1.0
-2.03, 0.359, -1.0
0.685, 1.69, -1.0
0.125, -1.24, -1.0
0.174, 1.92, -1.0
0.56, 0.491, -1.0
-1.93, 0.603, -1.0
0.329, 1.11, -1.0
0.803, 1.35, -1.0
-0.391, 1.32, -1.0
1.59, -0.522, -1.0
-1.41, 1.11, -1.0
-0.429, 1.13, -1.0
-0.495, 1.31, -1.0
-0.953, 1.06, -1.0
-0.617, 1.61, -1.0
-1.12, 1.1, -1.0
-0.565, -0.853, -1.0
-0.9, 1.49, -1.0
0.379, 1.36, -1.0
0.745, 0.877, -1.0
-0.0874, -1.07, -1.0
-0.843, -1.08, -1.0
0.803, 0.349, -1.0
0.0175, 1.47, -1.0
-1.95, 0.614, -1.0
-0.654, -0.999, -1.0
-1.37, 0.645, -1.0
0.866, 0.612, -1.0
-0.882, -0.726, -1.0
-0.754, 1.1, -1.0
-0.415, -1.3, -1.0
0.986, 0.843, -1.0
0.826, 0.744, -1.0
0.811, 1.07, -1.0
-0.791, -1.44, -1.0
0.52, 1.25, -1.0
-0.62, -0.984, -1.0
-0.415, 1.48, -1.0
-0.171, -1.09, -1.0
-1.17, 0.586, -1.0
-0.934, -1.58, -1.0
0.708, 0.961, -1.0
-0.711, -1.13, -1.0
-2.07, 0.0318, -1.0
-0.826, -0.966, -1.0
-0.786, -1.02, -1.0
-0.527, 0.887, -1.0
-0.207, -1.37, -1.0
-0.0906, 2.01, -1.0
-0.0773, -1.22, -1.0
0.345, -0.891, -1.0
1.68, -0.293, -1.0
0.99, 1.02, -1.0
-0.758, -1.21, -1.0
0.863, 0.765, -1.0
-0.529, -1.22, -1.0
-0.547, 1.71, -1.0
-1.21, -1.22, -1.0
1.25, 0.794, -1.0
0.0643, -1.28, -1.0
0.179, -1.04, -1.0
-0.66, 0.965, -1.0
0.15, 1.3, -1.0
1.45, 0.398, -1.0
-0.754, 1.19, -1.0
0.544, 1.41, -1.0
0.262, -1.16, -1.0
-1.49, 0.415, -1.0
0.739, 2.14, -1.0
0.764, 0.469, -1.0
-0.715, -0.969, -1.0
0.468, 0.986, -1.0
1.31, 0.151, -1.0
-0.972, -1.06, -1.0
1.35, -0.177, -1.0
0.0966, -1.06, -1.0
-0.394, 1.6, -1.0
2.04, -0.462, -1.0
-1.23, -0.977, -1.0
0.463, -1.28, -1.0
0.527, -1.02, -1.0
1.46, 0.651, -1.0
1.45, -0.507, -1.0
-0.605, -1.52, -1.0
-0.145, 1.65, -1.0
0.843, 0.634, -1.0
-0.366, -1.52, -1.0
-0.951, -1.33, -1.0
1.64, 0.174, -1.0
-0.132, -1.37, -1.0
-0.665, -1.04, -1.0
-1.93, 0.96, -1.0
0.844, 0.243, -1.0
-1.3, 0.469, -1.0
-1.59, 0.913, -1.0
-0.439, -0.961, -1.0
-0.928, 1.55, -1.0
-0.445, -1.24, -1.0
0.439, -1.09, -1.0
-0.0163, -1.07, -1.0
0.282, -1.43, -1.0
1.9, -0.0565, -1.0
1.57, -0.0908, -1.0
-1.57, 0.378, -1.0
-1.01, 1.21, -1.0
-1.54, 0.562, -1.0
-1.36, 0.976, -1.0
1.63, -0.43, -1.0
0.34, -1.03, -1.0
1.19, 0.697, -1.0
1.08, 0.437, -1.0
0.678, 0.335, -1.0
-0.878, 0.659, -1.0
0.159, 1.51, -1.0
0.54, -1.26, -1.0
0.136, -1.36, -1.0
1.03, 1.61, -1.0
1.44, 0.0946, -1.0
0.69, 0.745, -1.0
-0.497, -1.29, -1.0
-0.563, 1.29, -1.0
-0.487, -0.797, -1.0
0.168, 1.7, -1.0
1.17, 1.37, -1.0
-0.347, -1.13, -1.0
0.669, 0.98, -1.0
1.37, 0.428, -1.0
-0.239, -1.42, -1.0
0.915, 0.611, -1.0
0.904, 1.15, -1.0
0.832, 0.442, -1.0
1.65, 0.0404, -1.0
0.818, 0.845, -1.0
1.96, -0.709, -1.0
1.1, 0.131, -1.0
0.447, -1.18, -1.0
0.308, -1.34, -1.0
-0.813, -1.23, -1.0
-0.969, 1.02, -1.0
-0.35, 2.07, -1.0
1.37, -0.643, -1.0
1.62, -0.0187, -1.0
0.243, 1.61, -1.0
1.8, -0.811, -1.0
-0.396, 1.21, -1.0
-1.66, 0.75, -1.0
0.189, 1.35, -1.0
0.00356, 1.87, -1.0
0.64, 1.35, -1.0
-1.77, 0.457, -1.0
-0.753, -1.25, -1.0
1.11, 0.0482, -1.0
-0.102, -1.31, -1.0
0.974, 0.898, -1.0
-0.739, 1.32, -1.0
0.781, 1.08, -1.0
-0.0454, 1.75, -1.0
0.908, 0.127, -1.0
0.0337, -1.13, -1.0
0.268, 1.14, -1.0
-0.109, -0.884, -1.0
-0.869, 0.625, -1.0
-0.808, -1.5, -1.0
0.834, 1.24, -1.0
0.838, 1.5, -1.0
-1.04, 1.27, -1.0
-0.314, -0.919, -1.0
-0.581, -1.34, -1.0
1.27, 0.589, -1.0
1.26, 0.0903, -1.0
0.646, 1.23, -1.0
0.0325, -1.46, -1.0
0.0291, -1.12, -1.0
-0.298, -0.823, -1.0
-1.01, -1.29, -1.0
-0.177, -1.12, -1.0
