@relation  banana
@attribute At1 real[-3.09,2.81]
@attribute At2 real[-2.39,3.19]
@attribute Class {-1.0,1.0}


@data
-0.392, -1.27, -1.0
-0.3, -1.04, -1.0
-0.638, -0.752, -1.0
-0.483, 1.16, -1.0
0.517, 1.46, -1.0
0.29, 0.591, -1.0
-0.892, 1.25, -1.0
0.98, 0.766, -1.0
-0.394, 1.39, -1.0
0.271, -1.28, -1.0
1.07, 0.573, -1.0
1.12, 1.14, -1.0
0.414, 1.16, -1.0
-0.242, -1.47, -1.0
-1.67, 1.1, -1.0
0.205, -1.28, -1.0
0.4, -1.39, -1.0
1.02, 0.0541, -1.0
-0.129, -1.69, -1.0
1.22, -0.0172, -1.0
0.00425, 1.61, -1.0
1.13, 0.429, -1.0
1.03, -0.191, -1.0
1.08, 1.03, -1.0
0.0951, -1.39, -1.0
-0.562, -1.01, -1.0
1.55, 0.482, -1.0
1.46, -0.14, -1.0
-1.2, -1.4, -1.0
0.193, 1.72, -1.0
1.2, 0.318, -1.0
0.529, 0.133, -1.0
-0.799, 1.11, -1.0
-0.707, -1.43, -1.0
-0.267, 1.37, -1.0
0.483, -1.23, -1.0
-0.334, -1.34, -1.0
-0.876, 0.92, -1.0
0.933, 0.716, -1.0
1.36, 0.86, -1.0
-1.83, 0.379, -1.0
-0.699, 0.755, -1.0
0.904, 0.97, -1.0
-0.965, -0.978, -1.0
1.55, -0.00546, -1.0
-0.516, -0.935, -1.0
0.175, -0.887, -1.0
-1.3, 0.577, -1.0
-0.11, -0.911, -1.0
-0.295, -1.27, -1.0
-0.211, -0.637, -1.0
0.299, -0.819, -1.0
0.213, -0.752, -1.0
0.108, -0.769, -1.0
-0.961, 0.755, -1.0
0.919, 0.798, -1.0
0.202, -1.17, -1.0
0.917, 0.525, -1.0
-0.807, 0.992, -1.0
0.0744, 1.04, -1.0
0.799, 0.995, -1.0
0.974, 0.512, -1.0
-0.745, 0.987, -1.0
0.504, 0.0752, -1.0
1.12, 0.626, -1.0
0.0681, -0.76, -1.0
0.235, -1.06, -1.0
-0.98, -1.49, -1.0
-0.367, -1.04, -1.0
-0.676, 1.3, -1.0
-0.421, -0.731, -1.0
-0.012, 1.42, -1.0
1.38, 0.749, -1.0
0.642, 0.909, -1.0
-1.6, 0.682, -1.0
-0.124, -1.27, -1.0
-0.702, -0.811, -1.0
-0.474, -0.911, -1.0
-1.69, -0.175, -1.0
1.29, 0.677, -1.0
-0.735, -1.19, -1.0
0.977, 0.597, -1.0
-1.23, 0.89, -1.0
1.33, 0.406, -1.0
-0.821, -1.44, -1.0
1.32, 0.0928, -1.0
1.14, -0.0829, -1.0
1.27, 0.301, -1.0
0.143, -1.56, -1.0
-1.06, 1.03, -1.0
-0.4, -1.15, -1.0
1.34, 0.274, -1.0
0.0328, 1.22, -1.0
-0.587, 1.01, -1.0
0.262, -0.673, -1.0
1.08, 0.378, -1.0
-0.783, 0.931, -1.0
1.35, -0.25, -1.0
-0.147, 1.85, -1.0
1.28, -0.588, -1.0
0.536, 0.921, -1.0
-1.21, 1.0, -1.0
0.604, 1.03, -1.0
0.0538, -1.01, -1.0
0.405, 1.93, -1.0
0.134, -0.922, -1.0
1.33, -0.0802, -1.0
0.353, 1.58, -1.0
-0.153, -1.2, -1.0
-1.39, 0.862, -1.0
-1.08, -0.952, -1.0
-1.18, 1.17, -1.0
-1.21, 0.918, -1.0
0.121, -1.3, -1.0
0.431, -1.33, -1.0
-0.4, -1.37, -1.0
1.08, -8.17E-4, -1.0
0.683, 1.07, -1.0
-0.981, -1.04, -1.0
-0.156, -1.16, -1.0
-0.491, -1.55, -1.0
-0.0187, -1.55, -1.0
1.24, 0.441, -1.0
-0.0297, -1.58, -1.0
-0.762, -1.11, -1.0
-0.0789, -1.35, -1.0
-0.376, -0.975, -1.0
-0.302, -1.22, -1.0
-0.357, -0.944, -1.0
-0.114, -1.5, -1.0
-0.801, 1.78, -1.0
0.344, 1.49, -1.0
1.28, 0.902, -1.0
-0.674, 0.842, -1.0
-0.435, -1.08, -1.0
-1.82, 0.885, -1.0
-1.12, 0.699, -1.0
0.0071, -0.924, -1.0
-1.74, 0.693, -1.0
-0.188, -0.998, -1.0
-0.0237, -1.0, -1.0
-0.652, 1.14, -1.0
-0.239, -1.17, -1.0
-0.509, -1.41, -1.0
0.339, 0.881, -1.0
-0.835, -1.04, -1.0
-1.52, 0.497, -1.0
-1.05, 0.966, -1.0
1.52, 0.356, -1.0
-0.634, -1.15, -1.0
-0.631, -0.914, -1.0
1.18, 0.597, -1.0
0.294, -1.5, -1.0
-0.0202, -1.26, -1.0
0.707, 1.37, -1.0
1.22, -0.159, -1.0
