@relation  banana
@attribute At1 real[-3.09,2.81]
@attribute At2 real[-2.39,3.19]
@attribute Class{-1.0,1.0}
@inputs At1,At2
@outputs Class
@data
-0.36, -1.28, -1.0
-0.324, -1.03, -1.0
-0.644, -0.78, -1.0
-0.534, 1.15, -1.0
0.487, 1.45, -1.0
0.357, 0.647, -1.0
-0.912, 1.34, -1.0
0.975, 0.809, -1.0
-0.436, 1.45, -1.0
0.237, -1.26, -1.0
1.15, 0.565, -1.0
0.976, 1.24, -1.0
0.395, 1.21, -1.0
-0.236, -1.54, -1.0
-1.55, 1.05, -1.0
0.195, -1.27, -1.0
0.374, -1.39, -1.0
0.985, 0.114, -1.0
-0.0339, -1.66, -1.0
1.21, 0.0512, -1.0
0.0114, 1.66, -1.0
1.12, 0.375, -1.0
1.03, -0.0835, -1.0
1.13, 1.07, -1.0
0.0963, -1.38, -1.0
-0.55, -1.07, -1.0
1.47, 0.486, -1.0
1.46, -0.0465, -1.0
-1.19, -1.32, -1.0
0.212, 1.81, -1.0
1.21, 0.306, -1.0
0.582, 0.232, -1.0
-0.795, 1.17, -1.0
-0.72, -1.39, -1.0
-0.259, 1.34, -1.0
0.425, -1.21, -1.0
-0.38, -1.34, -1.0
-0.904, 0.953, -1.0
1.02, 0.72, -1.0
1.41, 0.9, -1.0
-1.82, 0.474, -1.0
-0.804, 0.687, -1.0
0.922, 0.93, -1.0
-0.897, -0.972, -1.0
1.5, -0.0608, -1.0
-0.518, -0.914, -1.0
0.137, -0.862, -1.0
-1.34, 0.595, -1.0
-0.138, -0.951, -1.0
-0.315, -1.3, -1.0
-0.239, -0.619, -1.0
0.298, -0.878, -1.0
0.139, -0.762, -1.0
0.0692, -0.828, -1.0
-0.93, 0.758, -1.0
0.952, 0.836, -1.0
0.163, -1.13, -1.0
0.909, 0.522, -1.0
-0.85, 0.963, -1.0
0.188, 0.914, -1.0
0.746, 0.991, -1.0
1.02, 0.508, -1.0
-0.687, 1.01, -1.0
0.424, 0.471, -1.0
1.09, 0.6, -1.0
-0.0247, -0.765, -1.0
0.235, -1.05, -1.0
-0.974, -1.43, -1.0
-0.381, -1.08, -1.0
-0.717, 1.23, -1.0
-0.494, -0.719, -1.0
0.0319, 1.39, -1.0
1.3, 0.749, -1.0
0.676, 0.892, -1.0
-1.53, 0.679, -1.0
-0.139, -1.27, -1.0
-0.706, -0.697, -1.0
-0.486, -0.887, -1.0
-1.84, 0.0932, -1.0
