@relation ecoli4
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}   
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.34, 0.45, 0.48, 0.5, 0.38, 0.24, 0.35, negative
0.41, 0.57, 0.48, 0.5, 0.39, 0.21, 0.32, negative
0.25, 0.4, 0.48, 0.5, 0.47, 0.33, 0.42, negative
0.21, 0.51, 0.48, 0.5, 0.5, 0.32, 0.41, negative
0.53, 0.38, 0.48, 0.5, 0.44, 0.26, 0.36, negative
0.4, 0.29, 0.48, 0.5, 0.42, 0.35, 0.44, negative
0.29, 0.3, 0.48, 0.5, 0.45, 0.03, 0.17, negative
0.44, 0.34, 0.48, 0.5, 0.3, 0.33, 0.43, negative
0.47, 0.29, 0.48, 0.5, 0.51, 0.33, 0.43, negative
0.24, 0.43, 0.48, 0.5, 0.37, 0.28, 0.38, negative
0.42, 0.3, 0.48, 0.5, 0.48, 0.26, 0.36, negative
0.48, 0.42, 0.48, 0.5, 0.45, 0.25, 0.35, negative
0.29, 0.41, 0.48, 0.5, 0.48, 0.38, 0.46, negative
0.41, 0.43, 0.48, 0.5, 0.45, 0.31, 0.41, negative
0.36, 0.56, 0.48, 0.5, 0.43, 0.45, 0.53, negative
0.52, 0.44, 0.48, 0.5, 0.37, 0.36, 0.42, negative
0.41, 0.43, 0.48, 0.5, 0.5, 0.24, 0.25, negative
0.38, 0.4, 0.48, 0.5, 0.63, 0.25, 0.35, negative
0.24, 0.57, 0.48, 0.5, 0.63, 0.34, 0.43, negative
0.38, 0.26, 0.48, 0.5, 0.54, 0.16, 0.28, negative
0.24, 0.34, 0.48, 0.5, 0.38, 0.3, 0.4, negative
0.49, 0.43, 0.48, 0.5, 0.49, 0.3, 0.4, negative
0.41, 0.51, 0.48, 0.5, 0.58, 0.2, 0.31, negative
0.37, 0.44, 0.48, 0.5, 0.42, 0.39, 0.47, negative
0.3, 0.44, 0.48, 0.5, 0.49, 0.22, 0.33, negative
0.4, 0.41, 0.48, 0.5, 0.55, 0.22, 0.33, negative
0.55, 0.47, 0.48, 0.5, 0.57, 0.78, 0.8, negative
0.73, 0.36, 0.48, 0.5, 0.53, 0.91, 0.92, negative
0.48, 0.41, 0.48, 0.5, 0.51, 0.9, 0.88, negative
0.72, 0.46, 0.48, 0.5, 0.51, 0.66, 0.7, negative
0.33, 0.45, 0.48, 0.5, 0.45, 0.88, 0.89, negative
0.6, 0.61, 0.48, 0.5, 0.54, 0.67, 0.71, negative
0.63, 0.54, 0.48, 0.5, 0.65, 0.79, 0.81, negative
0.74, 0.7, 0.48, 0.5, 0.66, 0.65, 0.69, negative
0.2, 0.46, 0.48, 0.5, 0.57, 0.78, 0.81, negative
0.89, 0.55, 0.48, 0.5, 0.51, 0.72, 0.76, negative
0.61, 0.52, 0.48, 0.5, 0.54, 0.67, 0.52, negative
0.33, 0.37, 0.48, 0.5, 0.46, 0.65, 0.69, negative
0.6, 0.46, 0.48, 0.5, 0.45, 0.81, 0.83, negative
0.46, 0.59, 0.48, 0.5, 0.36, 0.76, 0.23, negative
0.0, 0.51, 0.48, 0.5, 0.35, 0.67, 0.44, negative
0.3, 0.51, 0.48, 0.5, 0.42, 0.61, 0.34, negative
0.79, 0.41, 0.48, 0.5, 0.66, 0.81, 0.83, negative
0.83, 0.48, 0.48, 0.5, 0.65, 0.76, 0.79, negative
0.69, 0.43, 0.48, 0.5, 0.59, 0.74, 0.77, negative
0.79, 0.36, 0.48, 0.5, 0.46, 0.82, 0.7, negative
0.66, 0.48, 0.48, 0.5, 0.54, 0.7, 0.74, negative
0.77, 0.55, 0.48, 0.5, 0.51, 0.78, 0.74, negative
0.87, 0.49, 0.48, 0.5, 0.61, 0.76, 0.79, negative
0.84, 0.54, 0.48, 0.5, 0.75, 0.92, 0.7, negative
0.86, 0.55, 0.48, 0.5, 0.63, 0.81, 0.83, negative
0.74, 0.9, 0.48, 0.5, 0.57, 0.53, 0.29, positive
0.52, 0.81, 0.48, 0.5, 0.72, 0.38, 0.38, positive
0.64, 0.57, 0.48, 0.5, 0.7, 0.33, 0.26, positive
0.63, 0.49, 0.48, 0.5, 0.79, 0.45, 0.28, positive
0.66, 0.49, 1.0, 0.5, 0.54, 0.56, 0.36, negative
0.67, 0.55, 1.0, 0.5, 0.66, 0.58, 0.16, negative
0.65, 0.57, 0.48, 0.5, 0.47, 0.47, 0.51, negative
0.67, 0.7, 0.48, 0.5, 0.46, 0.45, 0.33, negative
0.7, 0.64, 0.48, 0.5, 0.47, 0.51, 0.47, negative
0.63, 0.57, 0.48, 0.5, 0.49, 0.7, 0.2, negative
0.74, 0.82, 0.48, 0.5, 0.49, 0.49, 0.41, negative
0.63, 0.65, 0.48, 0.5, 0.39, 0.44, 0.35, negative
0.64, 0.66, 0.48, 0.5, 0.41, 0.39, 0.2, negative
0.69, 0.59, 0.48, 0.5, 0.46, 0.44, 0.52, negative
0.68, 0.67, 0.48, 0.5, 0.49, 0.4, 0.34, negative
0.64, 0.81, 0.48, 0.5, 0.37, 0.39, 0.44, negative
0.74, 0.74, 0.48, 0.5, 0.31, 0.53, 0.52, negative
