@relation  magic
@attribute FLength real[4.2835,334.177]
@attribute FWidth real[0.0,256.382]
@attribute FSize real[1.9413,5.3233]
@attribute FConc real[0.0131,0.893]
@attribute FConc1 real[3.0E-4,0.6752]
@attribute FAsym real[-457.9161,575.2407]
@attribute FM3Long real[-331.78,238.321]
@attribute FM3Trans real[-205.8947,179.851]
@attribute FAlpha real[0.0,90.0]
@attribute FDist real[1.2826,495.561]
@attribute Class{g,h}
@inputs FLength,FWidth,FSize,FConc,FConc1,FAsym,FM3Long,FM3Trans,FAlpha,FDist
@outputs Class
@data
28.1159, 15.6551, 2.5472, 0.3716, 0.2057, -25.4921, -23.8238, -12.4067, 3.465, 218.68, g
16.2895, 11.6516, 2.3541, 0.6062, 0.3296, 0.7497, -4.3292, -5.2762, 8.8466, 184.876, g
56.6978, 25.182, 3.2003, 0.1545, 0.0823, 54.6171, 15.3449, -21.3093, 6.7129, 185.06, g
20.5795, 8.9421, 2.3139, 0.6602, 0.4053, 4.5554, -14.9512, 10.6203, 2.9483, 171.724, g
79.196, 15.4942, 2.8319, 0.3623, 0.2202, -23.6238, 50.0443, -17.1367, 7.135, 316.098, g
32.8354, 21.1722, 2.7948, 0.2598, 0.1403, 20.4435, 20.2216, -4.964, 10.1619, 187.348, g
92.1583, 44.5853, 3.9172, 0.1208, 0.074, -46.6795, 79.3432, 28.9691, 8.116, 292.406, g
51.6337, 14.0939, 2.5302, 0.3304, 0.1844, -44.4812, -32.9212, 5.9161, 13.666, 173.496, g
28.4877, 14.3321, 2.6656, 0.4147, 0.2581, 15.7454, 13.5712, 3.8864, 5.1525, 145.886, g
36.1281, 11.0465, 2.4878, 0.3512, 0.1772, 18.0625, 30.0814, -8.6113, 10.5725, 139.436, g
30.3139, 11.9777, 2.5366, 0.4244, 0.2137, 22.5751, 25.2755, 9.3084, 30.757, 157.636, g
23.1716, 9.5924, 2.2742, 0.6223, 0.4016, 21.7069, 20.1332, 11.3888, 30.652, 125.416, g
28.4307, 11.4872, 2.2504, 0.5899, 0.323, -35.756, -5.0305, -13.5183, 42.081, 309.745, g
30.9994, 13.5465, 2.6004, 0.3814, 0.2171, 39.586, 24.7028, 12.0246, 53.453, 71.1621, g
21.4272, 11.9259, 2.4764, 0.5109, 0.2855, -27.9283, 6.0503, -8.6339, 12.6618, 233.439, g
18.3727, 17.5871, 2.5416, 0.4713, 0.2687, -1.4588, 8.1905, 16.7139, 61.2797, 136.859, g
56.0543, 21.6876, 3.0191, 0.2105, 0.1134, 59.9613, 49.8029, 15.489, 6.696, 237.104, g
43.9906, 20.8392, 2.5192, 0.3026, 0.1588, 61.9311, -19.9009, 8.4017, 17.384, 211.328, g
26.296, 20.5655, 2.74, 0.3494, 0.2084, 5.4321, 13.0944, 4.5499, 64.2875, 80.0205, g
25.1333, 9.7512, 2.2776, 0.5066, 0.3034, -12.9737, 14.1166, 3.4455, 52.0161, 203.107, g
42.0033, 11.1099, 2.6889, 0.3521, 0.1873, -71.6217, 33.9431, 4.4854, 0.933, 269.535, g
39.909, 18.4859, 2.6498, 0.3091, 0.1624, 26.9854, 15.2692, -9.403, 8.869, 148.422, g
29.6626, 9.2293, 2.4125, 0.4913, 0.2921, 5.207, 24.5981, -9.9884, 8.1489, 83.588, g
33.121, 15.9278, 2.6444, 0.3719, 0.2234, 15.3073, 30.9083, 10.2312, 25.6036, 90.9492, g
28.7041, 10.927, 2.317, 0.453, 0.2289, 23.3021, -20.9076, 5.4141, 33.5885, 161.783, g
30.3146, 12.5905, 2.7251, 0.5311, 0.3343, 11.0797, 27.3951, -9.7683, 17.1453, 166.032, g
23.062, 0.0, 2.1717, 0.8013, 0.4613, 22.1209, 18.1404, -1.0E-4, 61.897, 206.174, g
63.2886, 26.427, 3.4434, 0.2342, 0.1273, -27.3566, 54.6506, 19.7834, 0.9753, 302.897, g
17.7895, 10.5909, 2.3483, 0.6143, 0.3341, 21.5665, 10.8736, 5.0219, 13.325, 208.15, g
29.6486, 17.0975, 2.372, 0.518, 0.2654, 22.994, 26.966, -10.7379, 59.7912, 132.003, g
33.6616, 25.047, 2.7497, 0.29, 0.1468, 33.4667, 27.0844, -21.6367, 35.279, 173.318, g
69.8139, 23.1961, 3.3432, 0.245, 0.1304, 81.6787, 51.9424, 15.612, 9.604, 237.316, g
95.3993, 28.8213, 3.4232, 0.2638, 0.1481, 21.5785, -64.2447, 22.613, 0.9064, 351.8, g
30.6251, 23.1949, 2.842, 0.2906, 0.1835, 21.6959, 26.7905, 7.4993, 18.895, 257.776, g
19.3469, 16.4401, 2.3096, 0.5686, 0.2966, -26.1887, 10.2652, 17.1408, 5.061, 104.987, g
30.2879, 9.4639, 2.2707, 0.4772, 0.244, 41.1315, 15.4904, 11.6333, 34.1383, 142.134, g
13.0035, 10.7911, 2.1089, 0.7549, 0.4786, -13.5147, 5.1007, -8.1224, 11.7248, 95.0795, g
