@relation  magic
@attribute FLength real[4.2835,334.177]
@attribute FWidth real[0.0,256.382]
@attribute FSize real[1.9413,5.3233]
@attribute FConc real[0.0131,0.893]
@attribute FConc1 real[3.0E-4,0.6752]
@attribute FAsym real[-457.9161,575.2407]
@attribute FM3Long real[-331.78,238.321]
@attribute FM3Trans real[-205.8947,179.851]
@attribute FAlpha real[0.0,90.0]
@attribute FDist real[1.2826,495.561]
@attribute Class{g,h}
@inputs FLength,FWidth,FSize,FConc,FConc1,FAsym,FM3Long,FM3Trans,FAlpha,FDist
@outputs Class
@data
38.6526, 18.266, 2.7839, 0.3158, 0.1785, -24.8365, -25.2459, -12.0822, 8.8024, 214.182, g
15.5259, 11.0836, 2.2923, 0.6582, 0.477, 0.1869, 2.2598, -9.1742, 11.0853, 185.27, g
45.9877, 20.5174, 2.8519, 0.2658, 0.1653, 57.5732, 27.8529, -10.0456, 2.967, 186.762, g
22.248, 9.4628, 2.1931, 0.6154, 0.3237, 0.8645, -13.2614, 9.3962, 0.0865, 167.82, g
70.3213, 17.4122, 2.8567, 0.3769, 0.2385, -28.6538, 42.7081, -11.8369, 3.7836, 312.673, g
33.865, 15.482, 2.5922, 0.376, 0.1905, 21.0554, 9.6728, -3.4017, 3.6166, 187.48, g
85.9865, 43.4833, 3.7753, 0.1394, 0.0731, -38.9823, 69.3781, 27.3208, 0.3985, 291.03, g
49.6538, 21.7384, 2.8041, 0.2198, 0.1122, -50.1994, -36.0348, -12.7157, 7.9929, 179.949, g
23.715, 17.6794, 2.5676, 0.4736, 0.2963, 13.8712, 12.3327, 13.588, 12.658, 146.432, g
24.7808, 16.3039, 2.5938, 0.4586, 0.2739, 19.5027, 25.049, -10.7515, 10.7326, 138.149, g
34.7527, 16.3799, 2.6212, 0.2703, 0.1376, 21.9455, 23.6607, 7.2786, 16.5306, 158.12, g
25.796, 10.2902, 2.3757, 0.5011, 0.2926, 16.8423, 18.8715, 7.1083, 36.4567, 124.783, g
29.9698, 5.3825, 2.3314, 0.8298, 0.5897, -24.1086, -24.6954, 5.9855, 9.344, 306.819, g
29.8697, 12.8979, 2.4257, 0.3302, 0.1745, 30.6572, 12.4539, -6.6045, 62.887, 72.4328, g
22.08, 12.6128, 2.3149, 0.4891, 0.2688, -28.5828, -5.4348, -8.2889, 9.168, 242.705, g
18.2804, 12.5776, 2.5472, 0.5617, 0.322, -1.3158, 10.3272, 7.9166, 47.0022, 141.085, g
65.841, 30.3489, 2.9908, 0.2196, 0.1139, 57.2941, 52.4692, 23.8275, 7.81, 237.263, g
35.648, 11.8742, 2.673, 0.3864, 0.1964, 53.2289, -17.7458, 7.3992, 5.014, 212.108, g
26.335, 18.2389, 2.5798, 0.3842, 0.2145, 5.7992, 5.1252, -13.6706, 79.591, 84.5551, g
27.5407, 10.3456, 2.3865, 0.5462, 0.3018, -21.8298, 17.1192, 8.6005, 34.6822, 204.302, g
62.7922, 18.4786, 2.857, 0.296, 0.1577, -72.0923, 30.1098, -11.0597, 0.368, 267.629, g
38.7558, 15.7457, 2.8041, 0.3108, 0.1562, 40.2922, 14.8127, -9.8638, 3.952, 148.485, g
30.1806, 12.909, 2.4771, 0.3833, 0.195, 11.203, 20.5384, -5.1373, 11.423, 86.461, g
30.8618, 18.3281, 2.8627, 0.3731, 0.2476, 11.5443, 29.4609, -14.611, 23.1046, 93.6596, g
29.5469, 19.0651, 2.6857, 0.2701, 0.1351, 23.5407, -13.6024, 11.5402, 32.814, 152.297, g
27.3397, 12.5875, 2.596, 0.4715, 0.2598, 12.2726, 15.902, -7.9925, 20.048, 166.382, g
21.5918, 11.1856, 2.1847, 0.5686, 0.2909, 21.4828, 19.5266, -9.7772, 36.0879, 206.341, g
63.6902, 31.5384, 3.3268, 0.2417, 0.1468, -22.8431, 46.3625, 20.723, 14.844, 305.948, g
18.4641, 10.246, 2.2923, 0.6173, 0.3087, 23.3684, 9.6363, 5.9097, 11.6166, 210.507, g
38.2871, 16.452, 2.3775, 0.5577, 0.3669, 27.1041, 21.9944, -9.7515, 46.6248, 133.152, g
29.1214, 18.0707, 2.4893, 0.3598, 0.2058, 37.9467, 21.3682, -15.1644, 27.67, 170.51, g
70.2768, 24.5132, 3.3917, 0.1294, 0.0651, 83.3498, 48.9676, -12.3834, 2.9261, 233.617, g
78.3277, 22.3265, 2.9245, 0.4021, 0.2255, 16.2979, -49.9053, -17.9315, 0.691, 356.976, g
35.2056, 17.0257, 2.9167, 0.2907, 0.1472, 25.0573, 22.2628, 7.967, 10.463, 251.915, g
23.5281, 9.5551, 2.3692, 0.6624, 0.391, -27.0313, 8.6299, -5.9169, 24.368, 106.054, g
31.0843, 6.1756, 2.3979, 0.58, 0.314, 37.7332, 13.6314, -2.1975, 28.549, 150.605, g
12.9695, 11.196, 2.0952, 0.747, 0.4217, -14.6953, 6.6421, -10.8138, 32.761, 97.0673, g
19.8549, 16.1493, 2.5441, 0.4771, 0.2843, 17.9082, 16.4779, 3.4476, 20.711, 154.233, g
59.4021, 29.7172, 3.1579, 0.2127, 0.1241, 35.5777, 58.8996, 28.8805, 11.855, 269.14, g
60.4451, 16.2378, 2.6542, 0.3659, 0.2206, 48.3431, 60.1252, 10.7123, 2.967, 185.584, g
22.6754, 10.1296, 2.4793, 0.5605, 0.34, -14.4843, 13.1312, -5.259, 4.8629, 167.701, g
73.7395, 26.2305, 3.1828, 0.2133, 0.1329, 51.1073, 60.4879, 17.2683, 9.2393, 276.603, g
26.0604, 11.7726, 2.2956, 0.5367, 0.2962, -20.7168, -7.9213, -11.0813, 84.1351, 124.255, g
78.8852, 11.1709, 2.7412, 0.3321, 0.1824, -78.9968, 59.0032, 6.6305, 2.6813, 262.414, g
30.0087, 12.8582, 2.2405, 0.5632, 0.2845, 23.0303, -11.7696, -5.721, 6.388, 264.17, g
70.9121, 14.6773, 3.0145, 0.2998, 0.1784, 56.122, 69.7887, -5.1467, 0.5949, 211.786, g
52.1834, 19.3217, 3.0952, 0.2755, 0.153, 33.2715, 37.1666, 15.827, 1.5526, 243.358, g
44.4396, 16.6392, 3.0502, 0.237, 0.1394, 43.5765, -23.0971, 1.7797, 7.831, 198.165, g
35.6382, 17.5993, 2.7987, 0.2639, 0.1391, -26.7832, 21.7653, 9.2033, 14.224, 178.909, g
32.8908, 13.6784, 2.5635, 0.3115, 0.1571, -25.1963, 6.4356, -11.554, 18.3564, 246.615, g
18.8161, 7.4891, 2.1189, 0.7452, 0.4753, 0.4692, -4.3399, 3.4444, 81.0125, 159.328, g
85.5402, 34.4071, 3.3192, 0.2704, 0.157, -88.9495, 31.7049, -24.5269, 4.01, 332.472, g
74.6311, 33.7836, 3.1666, 0.1417, 0.0787, 3.0918, -76.354, -14.3951, 28.3058, 78.5164, g
95.6848, 28.0674, 3.8144, 0.1639, 0.0873, -96.9083, 73.6066, 19.3259, 1.128, 302.636, g
44.1864, 12.7006, 2.7835, 0.3737, 0.1967, 43.2989, 17.7997, 5.292, 2.637, 198.995, g
61.4065, 23.6761, 3.2221, 0.2255, 0.1244, 5.489, 58.0511, 13.3581, 8.6684, 173.19, g
29.7378, 12.0744, 2.5821, 0.4058, 0.2212, -34.6078, -25.0755, 10.3506, 14.908, 184.874, g
35.5539, 14.6053, 2.639, 0.2893, 0.1596, 29.9144, -14.7182, 5.4633, 13.318, 236.509, g
32.4618, 22.3051, 2.8768, 0.3015, 0.1733, -7.9589, -25.5485, -19.5919, 38.508, 128.806, g
18.4204, 9.8345, 2.3345, 0.6667, 0.4005, 19.7633, 13.2696, -5.4272, 33.3598, 183.597, g
41.3935, 9.6415, 2.4393, 0.4364, 0.2491, 54.5746, -16.0567, -6.2314, 1.811, 185.406, g
27.8696, 17.6775, 2.6977, 0.347, 0.2116, 22.5204, 14.7358, 11.9333, 26.888, 177.247, g
32.9755, 17.0225, 2.8092, 0.3057, 0.1575, -3.5034, 21.2323, -7.2435, 7.944, 133.989, g
92.8158, 36.5423, 3.9908, 0.1647, 0.0916, -15.7201, 54.3073, -22.3089, 1.7611, 314.719, g
32.4106, 12.9067, 2.4646, 0.4906, 0.2556, 12.1954, 22.2017, -7.5632, 13.097, 151.687, g
36.0107, 20.6307, 2.8573, 0.3361, 0.2396, 15.7214, 29.185, 18.3962, 8.56, 183.421, g
92.7295, 24.5898, 3.1638, 0.2373, 0.1396, -42.6442, 76.3109, 21.7673, 0.9268, 319.048, g
24.4143, 17.193, 2.3636, 0.4502, 0.2316, -0.6099, 19.0726, 11.8678, 18.4088, 141.824, g
24.8255, 20.325, 2.6243, 0.3682, 0.1888, 24.3124, 19.1442, 13.3237, 18.5575, 180.752, g
31.7448, 16.9249, 2.7973, 0.2775, 0.1475, 5.1775, -17.9218, -9.5712, 13.374, 236.918, g
24.161, 12.9711, 2.567, 0.4959, 0.3076, 3.8962, 18.4406, -9.5615, 24.558, 126.068, g
51.4388, 33.5175, 3.7096, 0.1819, 0.0953, 12.2223, 51.0151, -8.8883, 8.8927, 117.003, g
23.8302, 9.5854, 2.2504, 0.6067, 0.3848, 27.584, -8.0138, 7.7657, 20.9266, 104.336, g
32.705, 8.2409, 2.3493, 0.519, 0.2841, 15.0278, -10.6992, 9.3324, 5.2825, 224.76, g
62.2097, 25.172, 3.3344, 0.1686, 0.0864, 6.4592, 55.0157, 14.4867, 6.1974, 217.096, g
24.5384, 12.9856, 2.6498, 0.5196, 0.2654, -3.2243, 18.2453, -3.7343, 28.0868, 198.539, g
19.9198, 11.549, 2.4338, 0.5893, 0.3297, -2.5218, 6.3967, -10.4492, 45.987, 230.496, g
95.8184, 18.7996, 2.6405, 0.341, 0.1751, -48.9436, -60.6794, 15.585, 6.415, 244.669, g
41.0, 20.834, 3.0032, 0.2283, 0.1325, -29.3947, -30.1779, -13.0611, 11.4501, 167.284, g
21.1715, 10.7098, 2.1959, 0.5605, 0.2898, 6.9952, -18.1822, 10.0412, 82.0634, 240.368, g
20.443, 12.5096, 2.5308, 0.4978, 0.2636, 17.0881, 12.8722, 7.7569, 5.9332, 155.355, g
12.9587, 11.287, 2.2135, 0.7462, 0.3945, 14.9715, -5.4779, -11.5852, 71.829, 139.62, g
42.715, 17.4115, 3.0026, 0.2853, 0.1764, -1.7152, -31.9096, 9.7821, 1.044, 208.319, g
13.081, 10.6518, 2.2707, 0.7721, 0.4799, 13.4071, 2.6747, -9.9668, 29.4058, 150.025, g
18.8618, 11.0502, 2.5581, 0.6224, 0.397, -0.411, -9.8726, 8.9329, 36.709, 125.482, g
23.1882, 14.8885, 2.4502, 0.4362, 0.25, -10.4881, 9.837, 13.4023, 9.004, 93.4713, g
