@relation  magic
@attribute FLength real[4.2835,334.177]
@attribute FWidth real[0.0,256.382]
@attribute FSize real[1.9413,5.3233]
@attribute FConc real[0.0131,0.893]
@attribute FConc1 real[3.0E-4,0.6752]
@attribute FAsym real[-457.9161,575.2407]
@attribute FM3Long real[-331.78,238.321]
@attribute FM3Trans real[-205.8947,179.851]
@attribute FAlpha real[0.0,90.0]
@attribute FDist real[1.2826,495.561]
@attribute Class{g,h}
@inputs FLength,FWidth,FSize,FConc,FConc1,FAsym,FM3Long,FM3Trans,FAlpha,FDist
@outputs Class
@data
22.3154, 10.3778, 2.1847, 0.5556, 0.2974, -23.5139, -18.3797, -10.5941, 20.212, 220.354, g
17.1244, 11.0466, 2.238, 0.6069, 0.3324, 3.0499, -8.1208, 6.41, 11.2213, 187.262, g
56.6968, 23.5737, 2.9309, 0.2145, 0.1284, 64.9744, 29.6956, -10.3543, 11.9427, 181.511, g
21.5568, 12.6445, 2.451, 0.5133, 0.2814, 4.6497, -15.156, 2.8645, 6.2216, 163.285, g
71.5533, 20.3187, 2.7997, 0.3283, 0.1975, -24.688, 56.0385, 18.7347, 5.421, 317.828, g
35.0228, 19.4652, 3.2757, 0.3297, 0.1651, 22.6355, 26.7229, -7.5563, 0.7701, 188.914, g
83.3164, 22.8416, 3.2398, 0.2073, 0.1333, -46.6311, 70.4124, 17.6231, 2.39, 294.692, g
38.609, 25.2966, 2.7749, 0.2603, 0.157, -46.3399, -29.9227, 16.786, 10.9353, 166.406, g
27.4626, 15.926, 2.5933, 0.3342, 0.1773, 15.3664, 11.7305, -11.462, 4.914, 151.572, g
36.8391, 13.6851, 2.6571, 0.3634, 0.2015, 19.7791, 26.0942, 2.2219, 32.9639, 140.335, g
22.0016, 10.1677, 2.2945, 0.5787, 0.297, 23.5414, 17.9852, 10.7335, 29.348, 155.428, g
19.8847, 10.9625, 2.3729, 0.6737, 0.4004, 14.8261, 18.6013, 8.8835, 24.9395, 126.042, g
71.6093, 20.8942, 2.7551, 0.3638, 0.1819, -31.573, -16.0592, -16.013, 6.166, 309.411, g
39.8586, 10.4318, 2.5218, 0.4271, 0.2752, 45.8244, 28.008, 7.9734, 38.922, 81.2325, g
24.7466, 9.3657, 2.3918, 0.5314, 0.3387, -14.7987, 11.2715, 4.5162, 11.218, 231.858, g
19.8869, 12.636, 2.5045, 0.5039, 0.2551, -1.6288, 11.646, 8.333, 59.4159, 145.616, g
58.6077, 18.0167, 2.8166, 0.2578, 0.1335, 59.9861, 38.1032, 8.4731, 0.256, 241.974, g
36.1686, 18.5335, 2.7084, 0.2798, 0.1536, 56.2287, -13.0029, 13.5239, 4.218, 214.564, g
