@relation  magic
@attribute FLength real[4.2835,334.177]
@attribute FWidth real[0.0,256.382]
@attribute FSize real[1.9413,5.3233]
@attribute FConc real[0.0131,0.893]
@attribute FConc1 real[3.0E-4,0.6752]
@attribute FAsym real[-457.9161,575.2407]
@attribute FM3Long real[-331.78,238.321]
@attribute FM3Trans real[-205.8947,179.851]
@attribute FAlpha real[0.0,90.0]
@attribute FDist real[1.2826,495.561]
@attribute Class{g,h}
@inputs FLength,FWidth,FSize,FConc,FConc1,FAsym,FM3Long,FM3Trans,FAlpha,FDist
@outputs Class
@data
31.0773, 13.4809, 2.4322, 0.3808, 0.2237, -20.9866, -22.313, 3.8404, 1.8695, 213.431, g
17.1015, 7.4063, 2.2368, 0.8058, 0.5652, -1.4842, -4.1969, 4.9186, 9.259, 181.938, g
55.059, 18.0137, 3.068, 0.2762, 0.1458, 50.0483, 33.3449, -8.1996, 1.502, 186.519, g
22.2736, 10.0467, 2.2253, 0.5774, 0.2946, 2.0416, -15.0238, -8.1715, 2.1861, 168.749, g
85.7897, 29.2678, 3.2655, 0.248, 0.1696, -17.978, 54.747, -17.4857, 1.018, 311.694, g
29.108, 16.6512, 2.635, 0.3708, 0.2074, 20.6134, 15.4043, 4.3751, 17.2551, 188.885, g
88.5821, 45.3852, 3.3989, 0.1525, 0.0792, -39.6185, 74.6123, 52.1147, 3.144, 289.22, g
54.6176, 15.0295, 2.705, 0.2821, 0.1548, -32.594, -33.4038, 6.2599, 5.3885, 163.712, g
27.6963, 12.871, 2.6091, 0.4182, 0.2103, 14.9777, 6.8249, 6.8491, 8.7213, 149.954, g
35.8144, 12.3164, 2.57, 0.393, 0.214, 17.8018, 20.673, -6.2792, 23.123, 142.372, g
29.0806, 14.9597, 2.3086, 0.4619, 0.2531, 27.5548, 22.79, -10.4324, 29.987, 156.948, g
22.4456, 12.8311, 2.5775, 0.5794, 0.3796, 15.2333, 19.6139, 8.7399, 31.0008, 122.632, g
52.5166, 20.297, 2.8528, 0.3579, 0.2519, -33.5491, 11.4628, -15.1208, 1.737, 306.998, g
32.7251, 20.8588, 2.8149, 0.3369, 0.1968, 26.5421, 26.9431, 14.3703, 30.129, 74.0943, g
26.4138, 15.0071, 2.3464, 0.4279, 0.2545, -36.7844, 7.7191, -14.218, 1.4, 229.922, g
16.9741, 15.6818, 2.3304, 0.6355, 0.4042, 1.4646, 15.4677, 8.3497, 51.3957, 138.537, g
51.624, 21.1502, 2.9085, 0.242, 0.134, 50.8761, 43.1887, 9.8145, 3.613, 238.098, g
42.6788, 15.0374, 2.721, 0.2947, 0.1606, 56.0428, -23.9302, 3.407, 1.891, 206.132, g
26.7271, 19.8258, 2.6345, 0.3666, 0.1891, -9.7836, 15.2639, 7.7273, 46.219, 78.9989, g
23.7453, 10.2125, 2.4057, 0.5383, 0.2731, -15.8988, 15.849, -6.3678, 32.932, 209.954, g
44.7307, 18.8161, 3.1472, 0.29, 0.1607, -65.1894, 41.0094, -10.7131, 5.1233, 264.806, g
27.506, 16.0139, 2.7143, 0.3436, 0.194, 27.7167, 15.1813, 11.6648, 3.214, 147.738, g
27.5367, 10.0171, 2.3664, 0.5161, 0.2774, 11.3526, 21.7574, 4.372, 12.596, 85.9899, g
30.4842, 27.2376, 3.2831, 0.2449, 0.1295, 19.8131, 25.7304, 16.7266, 24.4731, 94.3593, g
26.181, 16.3281, 2.4014, 0.4246, 0.248, 13.7201, -18.7301, 10.3779, 38.3827, 166.668, g
30.5382, 17.6138, 2.8742, 0.3086, 0.1917, 15.3186, 22.8295, -5.3469, 13.5528, 169.448, g
20.5321, 15.3265, 2.4829, 0.4803, 0.2582, 21.9631, 14.7728, 9.8037, 44.9, 207.691, g
67.6806, 23.3267, 3.1096, 0.2315, 0.1208, -32.4371, 56.1257, -13.7034, 3.0146, 306.255, g
18.636, 10.1447, 2.2923, 0.6173, 0.3291, 22.6966, 10.6717, -5.4483, 11.5884, 209.775, g
30.4114, 16.5206, 2.4479, 0.5062, 0.287, 27.1246, 26.9558, -6.3283, 15.8624, 131.1, g
35.4367, 15.1226, 2.5328, 0.346, 0.195, 30.5392, 21.927, -12.0347, 44.6921, 177.921, g
77.9676, 27.6079, 2.9523, 0.3002, 0.168, 82.4508, 64.6676, 19.9012, 11.219, 240.73, g
76.8587, 28.5152, 2.8564, 0.3034, 0.1691, -2.287, -50.0302, 17.7811, 3.196, 356.486, g
30.3022, 10.9742, 2.3627, 0.5813, 0.3883, 24.0996, 25.7268, 10.2649, 36.929, 249.363, g
21.7031, 6.8875, 2.07, 0.6979, 0.3532, -25.7705, -5.2903, 6.5541, 10.758, 105.96, g
30.6055, 23.4985, 2.8407, 0.2857, 0.1465, 39.7555, 21.5547, 21.5769, 7.5782, 142.221, g
