@relation  magic
@attribute FLength numeric
@attribute FWidth numeric
@attribute FSize numeric
@attribute FConc numeric
@attribute FConc1 numeric
@attribute FAsym real[-457.9161,575.2407]
@attribute FM3Long real[-331.78,238.321]
@attribute FM3Trans real[-205.8947,179.851]
@attribute FAlpha numeric
@attribute FDist numeric
@attribute Class {g,h}


@data
25.5196, 12.04, 2.4518, 0.5088, 0.3198, -15.2373, -16.5674, -7.284, 4.684, 219.704, g
16.0952, 11.4597, 2.2788, 0.6158, 0.3974, 0.6879, -3.1813, -7.8056, 32.5307, 186.921, g
50.149, 28.3118, 3.4124, 0.1668, 0.0911, 59.015, 22.8889, -15.2925, 5.0824, 196.675, g
18.8932, 15.3311, 2.4822, 0.5239, 0.3245, 3.915, -16.1011, -9.6919, 14.71, 170.615, g
81.1205, 30.8274, 3.3071, 0.1953, 0.1186, -21.8809, 57.8889, -8.6438, 2.296, 308.79, g
34.7458, 21.9104, 3.0687, 0.2996, 0.1831, 22.3991, 17.3737, 9.7927, 1.7171, 189.474, g
84.4944, 37.2006, 3.7652, 0.1336, 0.0804, -42.4721, 72.1118, 26.2172, 0.188, 298.57, g
50.3517, 12.7905, 2.772, 0.3804, 0.2274, -28.1604, -37.6189, 8.0301, 9.6757, 179.122, g
24.6852, 16.8385, 2.6821, 0.3867, 0.1965, 18.0093, 10.8386, -12.5505, 7.086, 147.553, g
36.9048, 16.4389, 2.7945, 0.3323, 0.179, 17.372, 34.0336, -9.2374, 1.8977, 148.198, g
30.6824, 12.6495, 2.4654, 0.5171, 0.3373, 22.4071, 23.3827, -8.9681, 9.7889, 157.377, g
19.8356, 11.4295, 2.4116, 0.5891, 0.3004, 19.3867, 19.0913, 9.9913, 24.926, 130.39, g
42.169, 19.9739, 2.5139, 0.3859, 0.2251, -55.9897, -18.8351, -18.6789, 5.1421, 306.684, g
36.0591, 20.1264, 2.9941, 0.2889, 0.1556, 44.6572, 24.9777, 11.2823, 17.968, 62.9514, g
12.9367, 11.2268, 2.2055, 0.7414, 0.4268, -14.681, 7.2484, -10.176, 31.0926, 234.154, g
16.6309, 11.196, 2.2122, 0.6074, 0.3834, -1.1644, 4.8137, 7.5399, 56.9209, 144.825, g
61.5172, 14.8567, 2.7694, 0.3248, 0.1692, 64.1982, 51.6806, 6.3019, 1.2306, 243.478, g
47.8108, 20.5476, 3.0445, 0.1913, 0.1015, 57.6978, -19.8689, 7.6107, 8.4572, 196.396, g
21.4778, 19.5931, 2.6946, 0.4444, 0.2859, 1.8452, 17.7166, -10.345, 46.0148, 76.736, g
12.9842, 11.1771, 2.1508, 0.7491, 0.4205, -14.6888, 6.392, 10.9724, 45.726, 199.697, g
54.8398, 16.8547, 2.9802, 0.2491, 0.1313, -72.692, 37.7836, 10.1862, 0.7037, 257.724, g
36.5523, 16.9929, 2.7267, 0.3265, 0.1848, 23.3593, 18.5998, 9.827, 9.364, 143.668, g
32.903, 20.165, 3.2621, 0.3183, 0.1687, 10.8064, 21.9136, -8.4777, 12.2838, 88.133, g
35.4054, 20.3297, 2.8768, 0.3001, 0.1866, 10.9018, 28.5441, -13.8102, 34.644, 92.012, g
31.8548, 13.1959, 2.5557, 0.4367, 0.2517, 30.3264, -21.49, 11.5896, 16.9228, 166.82, g
26.3868, 14.3729, 2.4518, 0.4134, 0.2385, 4.9216, 21.5081, -8.1373, 16.068, 167.917, g
20.4531, 11.3577, 2.3304, 0.5888, 0.3061, 19.9072, 19.4341, -10.1197, 74.4019, 201.641, g
70.3337, 18.5827, 2.8058, 0.3393, 0.2025, -32.7976, 51.479, 11.4571, 4.6368, 295.183, g
19.1567, 10.0289, 2.2577, 0.558, 0.3232, 23.5415, 10.1729, 3.0261, 4.0951, 205.977, g
21.9086, 16.4167, 2.4257, 0.5441, 0.2871, 15.0344, 18.7634, -13.2331, 50.2519, 129.789, g
38.1652, 23.3782, 2.9452, 0.1997, 0.1015, 33.78, 25.2137, 10.0201, 18.6818, 170.923, g
66.2175, 21.5481, 2.6862, 0.3337, 0.1905, 72.7696, 56.5129, 16.6424, 17.6995, 231.756, g
75.5326, 29.0068, 3.2583, 0.3608, 0.2232, 34.4086, -47.649, 21.1596, 2.405, 365.045, g
38.149, 22.1737, 2.6469, 0.2999, 0.1567, 26.5912, 31.1901, -19.8829, 23.0914, 259.555, g
23.7871, 13.4529, 2.3253, 0.5012, 0.3097, -24.0771, -14.5591, 9.0712, 4.575, 107.02, g
37.0231, 11.8232, 2.4472, 0.4607, 0.2554, 35.0821, 18.4226, 11.4589, 7.418, 141.289, g
12.6781, 11.7267, 2.1688, 0.7119, 0.3763, -15.5998, 8.0692, -10.8045, 49.7574, 96.1815, g
21.9338, 11.0025, 2.3424, 0.6045, 0.3568, 20.4956, 20.4004, 11.0123, 18.299, 159.7, g
58.2087, 20.5589, 2.6632, 0.3214, 0.1726, 39.0342, 45.1295, 11.4194, 2.861, 273.628, g
62.3448, 32.0626, 3.5533, 0.1516, 0.0815, 40.7165, 63.985, 20.2344, 7.61, 176.991, g
37.1898, 16.2488, 2.9759, 0.3224, 0.1739, -13.3445, -6.6957, -7.5508, 7.0604, 170.414, g
70.0897, 27.9443, 3.1908, 0.1959, 0.1034, 46.9552, 78.1148, 13.8367, 0.662, 286.879, g
20.9469, 6.4102, 2.1319, 0.7823, 0.5203, -18.3706, -17.1936, -6.1023, 65.694, 124.276, g
74.7577, 25.4668, 3.684, 0.1675, 0.0856, -88.8636, 65.2844, -6.7255, 0.8433, 252.295, g
31.523, 21.2047, 2.9039, 0.2782, 0.1578, 21.6175, -7.0159, -12.9648, 1.153, 261.668, g
66.7283, 20.8316, 3.0521, 0.1836, 0.0971, 55.2405, 63.7642, 10.7784, 1.4439, 211.147, g
49.4921, 16.7337, 3.0015, 0.298, 0.15, 29.2908, 44.0177, -13.8318, 9.8863, 247.394, g
46.3489, 16.1582, 2.7532, 0.3636, 0.188, 59.8731, -28.8636, -12.4526, 0.1199, 209.449, g
28.9745, 10.8616, 2.5441, 0.44, 0.2557, -18.5555, 18.1993, 8.1459, 5.1486, 168.448, g
