@relation  magic
@attribute FLength real[4.2835,334.177]
@attribute FWidth real[0.0,256.382]
@attribute FSize real[1.9413,5.3233]
@attribute FConc real[0.0131,0.893]
@attribute FConc1 real[3.0E-4,0.6752]
@attribute FAsym real[-457.9161,575.2407]
@attribute FM3Long real[-331.78,238.321]
@attribute FM3Trans real[-205.8947,179.851]
@attribute FAlpha real[0.0,90.0]
@attribute FDist real[1.2826,495.561]
@attribute Class{g,h}
@inputs FLength,FWidth,FSize,FConc,FConc1,FAsym,FM3Long,FM3Trans,FAlpha,FDist
@outputs Class
@data
32.6126, 15.8183, 2.6048, 0.3354, 0.1925, -28.8594, -23.2837, -8.2173, 2.6807, 209.483, g
19.0034, 10.1104, 2.2672, 0.5568, 0.2838, 0.3036, -4.8158, -5.0607, 0.58, 182.153, g
47.7879, 22.1017, 2.939, 0.1968, 0.1064, 62.1338, 23.9245, -11.1213, 8.5086, 180.752, g
21.3922, 11.7584, 2.3233, 0.5273, 0.2684, 2.0771, -10.0457, 11.3967, 13.93, 170.743, g
95.9193, 24.9227, 3.3052, 0.2273, 0.1458, -26.8653, 58.577, -14.2839, 7.4375, 316.122, g
30.865, 17.7682, 2.769, 0.2962, 0.1506, 21.5222, 18.1083, -10.9512, 13.5322, 181.907, g
96.7066, 32.0713, 3.9526, 0.1296, 0.0652, -40.0193, 76.0843, 17.6898, 0.849, 288.849, g
35.3566, 13.6785, 2.5296, 0.4077, 0.2201, -35.3683, -31.2304, 7.6363, 0.2316, 172.417, g
25.0085, 11.9252, 2.4914, 0.4129, 0.221, 9.8703, 10.7495, 2.9937, 1.845, 147.276, g
37.6959, 25.0618, 3.4728, 0.2027, 0.1072, 21.7039, 28.2392, 5.0767, 5.0315, 139.49, g
30.3292, 11.6624, 2.7392, 0.5524, 0.278, 24.0177, 26.7346, -11.2199, 37.372, 155.286, g
25.3507, 13.9983, 2.5428, 0.4585, 0.265, 14.9816, 19.0347, 11.9599, 31.836, 126.678, g
64.5397, 30.7499, 3.0086, 0.2912, 0.177, -31.8996, -11.4761, -21.9605, 13.377, 309.814, g
35.7638, 17.5209, 2.4616, 0.3592, 0.2055, 44.3606, 23.6972, -15.9917, 60.622, 78.7201, g
21.8166, 14.9668, 2.5752, 0.4122, 0.2088, -28.4524, -5.4991, -5.8701, 19.496, 241.328, g
19.1111, 12.3937, 2.5244, 0.5172, 0.3004, 0.3835, 8.5182, 8.3654, 61.988, 146.866, g
56.0558, 14.9399, 2.7634, 0.3466, 0.1957, 54.8362, 43.9362, 12.6778, 15.3725, 234.783, g
37.6154, 14.2861, 2.5085, 0.3876, 0.1938, 60.1222, -28.7116, -11.789, 13.394, 209.766, g
30.3428, 15.1581, 2.6138, 0.326, 0.1764, 3.335, 10.3652, -6.7473, 42.6194, 76.4942, g
26.1602, 9.7963, 2.3473, 0.4899, 0.2584, -9.6514, 13.5184, 1.3333, 20.6134, 198.947, g
38.2724, 15.6283, 2.9047, 0.4047, 0.2235, -59.0244, 24.2217, 10.6781, 0.378, 271.433, g
32.8146, 16.7002, 2.4401, 0.3593, 0.1797, 23.9193, 21.9391, -6.4868, 15.0767, 148.192, g
36.7172, 23.8754, 3.2685, 0.2312, 0.1215, 8.0276, 23.4216, -12.0407, 3.0427, 86.714, g
32.4734, 11.2154, 2.7271, 0.4799, 0.3008, 15.6316, 30.4684, -10.7728, 6.915, 93.2392, g
25.9297, 14.8099, 2.5786, 0.4406, 0.2309, 25.2963, -20.1359, -12.4451, 12.5848, 164.364, g
34.7766, 13.5516, 2.5328, 0.4809, 0.3065, 10.1165, 32.6737, -10.5041, 15.0744, 161.569, g
22.7327, 9.3162, 2.3284, 0.6244, 0.3639, 22.8798, 18.7337, -11.2028, 36.461, 204.182, g
66.2708, 21.1399, 3.1064, 0.2333, 0.1209, -35.2954, 60.0875, 16.139, 5.998, 307.171, g
19.6295, 9.4028, 2.3711, 0.617, 0.3936, 21.2347, 13.3563, -3.6052, 11.997, 208.185, g
35.3385, 14.4809, 2.5894, 0.3887, 0.2381, 11.7378, 30.6075, -5.2554, 50.497, 131.336, g
32.9774, 16.8329, 2.3784, 0.4142, 0.2573, 38.9485, 22.5657, -9.9164, 36.8783, 167.752, g
69.7964, 21.7598, 3.2262, 0.2257, 0.1138, 81.6993, 44.8345, -13.9844, 2.152, 240.61, g
80.4337, 25.0718, 3.227, 0.3166, 0.1764, 22.1043, -33.8164, -17.5309, 0.867, 352.189, g
28.1738, 12.4763, 2.2867, 0.4548, 0.2403, 18.9337, 17.1102, 7.3648, 10.8918, 261.431, g
19.8582, 17.0507, 2.4771, 0.4467, 0.2317, -29.4095, 11.6422, -12.5583, 15.7031, 109.533, g
25.5952, 16.5952, 2.5617, 0.3951, 0.2071, 34.771, 14.8299, 13.6692, 18.547, 137.846, g
13.0893, 11.0311, 2.1222, 0.7623, 0.4113, -14.7038, 4.5016, -11.6194, 9.8482, 106.086, g
20.9399, 12.7821, 2.3253, 0.487, 0.2577, 11.8258, 13.7783, 9.0861, 24.006, 159.421, g
48.4646, 21.1239, 3.2146, 0.2508, 0.1412, 28.3303, 43.5391, 8.5129, 13.183, 270.749, g
76.0253, 23.9572, 3.3429, 0.1476, 0.0797, 31.9276, 67.4804, 11.7125, 12.8978, 187.64, g
25.392, 14.7142, 2.5459, 0.3898, 0.2205, -17.0571, 10.225, -4.8681, 7.8399, 166.543, g
66.8617, 23.0115, 3.2444, 0.2341, 0.1233, 51.7329, 66.6961, 9.3239, 1.496, 297.162, g
17.4019, 16.4024, 2.5459, 0.6458, 0.3428, -20.6599, -10.8113, 17.2912, 72.654, 120.608, g
75.5657, 16.5339, 2.9004, 0.2642, 0.1365, -81.111, 52.6888, -16.486, 4.9959, 258.879, g
