@relation  magic
@attribute FLength real[4.2835,334.177]
@attribute FWidth real[0.0,256.382]
@attribute FSize real[1.9413,5.3233]
@attribute FConc real[0.0131,0.893]
@attribute FConc1 real[3.0E-4,0.6752]
@attribute FAsym real[-457.9161,575.2407]
@attribute FM3Long real[-331.78,238.321]
@attribute FM3Trans real[-205.8947,179.851]
@attribute FAlpha real[0.0,90.0]
@attribute FDist real[1.2826,495.561]
@attribute Class{g,h}
@inputs FLength,FWidth,FSize,FConc,FConc1,FAsym,FM3Long,FM3Trans,FAlpha,FDist
@outputs Class
@data
34.7947, 16.3028, 2.7645, 0.3147, 0.1677, -25.1496, -27.7421, -9.1347, 5.3643, 213.628, g
17.0422, 11.0571, 2.2227, 0.6108, 0.3503, 2.5232, -7.3054, -6.8686, 11.4165, 186.816, g
42.6468, 22.7714, 3.0338, 0.2044, 0.1115, 48.208, 19.207, -15.1967, 10.6136, 182.326, g
22.3722, 9.5392, 2.2455, 0.6023, 0.3153, 1.3431, -13.8852, 9.5819, 0.3141, 168.334, g
77.7367, 24.138, 2.9574, 0.2449, 0.1407, -23.7871, 58.7053, 7.7287, 14.363, 317.96, g
36.4971, 18.596, 2.6924, 0.3452, 0.1898, 19.1104, 23.7937, -14.7142, 7.444, 184.867, g
106.821, 57.9549, 4.2878, 0.0685, 0.0354, -47.7452, 78.9675, 8.1705, 1.9326, 292.894, g
50.9972, 11.5078, 2.3997, 0.4462, 0.2649, -32.3977, -26.2585, 3.1136, 1.2785, 175.448, g
30.7493, 13.7197, 2.3865, 0.3244, 0.1663, 12.7907, 15.8683, -4.076, 2.817, 142.86, g
31.1574, 20.4519, 2.7388, 0.3613, 0.198, 15.56, 27.4798, -11.3327, 17.2362, 137.699, g
27.4821, 12.9643, 2.7206, 0.4738, 0.2788, 18.0118, 23.6865, 3.785, 23.478, 157.695, g
21.6421, 9.9561, 2.2122, 0.6258, 0.3466, 21.8239, 18.7207, 11.2487, 45.9906, 127.847, g
28.4792, 24.3384, 2.4031, 0.6522, 0.3379, -30.006, -21.9428, 18.6641, 11.0181, 314.871, g
28.6836, 12.2316, 2.4698, 0.4203, 0.2153, 33.5127, 23.8686, 9.5612, 40.8052, 60.8276, g
