@relation shuttle-6_vs_2-3
@attribute A1 integer [27, 126]
@attribute A2 integer [-4821, 5075]
@attribute A3 integer [21, 149]
@attribute A4 integer [-3939, 3830]
@attribute A5 integer [-188, 436]
@attribute A6 integer [-26739, 15164]
@attribute A7 integer [-48, 105]
@attribute A8 integer [-353, 270]
@attribute A9 integer [-356, 266]
@attribute Class {positive, negative}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9
@outputs Class
@data
70, 57, 82, 0, -42, -4, 12, 126, 114, negative
52, -30, 79, 0, 0, 0, 27, 79, 52, negative
92, -41, 107, 0, 68, -6, 15, 40, 24, negative
43, -34, 91, 0, 2, 0, 48, 88, 40, negative
37, -107, 77, 0, 20, 0, 40, 56, 16, negative
45, -30, 89, 2, 6, -2, 44, 84, 40, negative
55, 1029, 76, 0, 20, 0, 20, 55, 34, positive
37, -33, 76, 0, 36, 0, 39, 40, 2, negative
70, -30, 107, 0, 60, -13, 37, 47, 10, negative
79, 1958, 82, -3, 44, -5, 3, 38, 34, positive
42, -29, 78, -6, 0, 0, 36, 78, 42, negative
96, -27, 107, 0, 68, -24, 11, 40, 30, negative
69, -27, 107, 0, 60, -6, 38, 47, 10, negative
44, 45, 77, 0, -22, 0, 34, 101, 66, negative
45, 46, 77, 0, -22, 0, 33, 101, 68, negative
37, -78, 76, 0, 20, 0, 39, 55, 16, negative
43, -72, 76, 0, 42, 0, 33, 35, 2, negative
76, -41, 88, -2, 8, 0, 13, 81, 68, negative
50, 23, 79, 0, 42, 0, 29, 37, 8, negative
54, -73, 88, 0, 8, 0, 34, 81, 46, negative
49, 28, 77, 0, 28, 0, 28, 48, 20, negative
97, -29, 107, 0, 70, 0, 10, 37, 28, negative
82, -33, 107, 0, 62, -16, 25, 45, 20, negative
37, -85, 77, 0, 20, 0, 40, 57, 16, negative
46, -49, 77, 0, -2, 0, 31, 79, 48, negative
43, -32, 79, 2, 0, 0, 35, 79, 44, negative
71, -31, 107, 0, 60, -17, 36, 47, 12, negative
81, -29, 89, 2, 8, 0, 8, 81, 74, negative
84, -32, 107, 0, 62, -32, 23, 45, 22, negative
37, -42, 76, 0, 20, 0, 39, 55, 16, negative
47, -48, 78, -6, 0, 0, 31, 78, 48, negative
37, -94, 112, 365, 34, 17, 75, 78, 4, negative
37, -91, 80, 0, 34, 0, 43, 46, 2, negative
48, -42, 91, 0, 2, 0, 43, 88, 46, negative
72, 30, 82, 0, -42, -3, 10, 126, 116, negative
45, -45, 81, 0, 44, 0, 36, 37, 2, negative
44, -36, 79, 3, 0, 0, 35, 79, 44, negative
66, -63, 88, 0, 8, 0, 22, 81, 58, negative
77, -44, 107, 0, 62, -4, 30, 45, 16, negative
48, -42, 78, -7, 0, 0, 30, 78, 48, negative
49, -58, 88, 0, 6, -17, 40, 83, 44, negative
37, -39, 80, 0, 34, 0, 43, 46, 2, negative
37, -52, 76, 0, 36, 0, 39, 40, 2, negative
52, -69, 88, 0, 8, 6, 36, 81, 44, negative
85, -38, 107, 0, 64, -3, 22, 42, 20, negative
80, -32, 88, -6, 8, 0, 9, 81, 72, negative
