@relation shuttle-6_vs_2-3
@attribute A1 integer [27, 126]
@attribute A2 integer [-4821, 5075]
@attribute A3 integer [21, 149]
@attribute A4 integer [-3939, 3830]
@attribute A5 integer [-188, 436]
@attribute A6 integer [-26739, 15164]
@attribute A7 integer [-48, 105]
@attribute A8 integer [-353, 270]
@attribute A9 integer [-356, 266]
@attribute Class {positive, negative}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9
@outputs Class
@data
37, -36, 78, 0, 10, 0, 42, 68, 26, negative
71, -51, 88, 0, 8, 0, 17, 81, 64, negative
89, -40, 107, 0, 64, -18, 18, 42, 24, negative
47, -44, 91, 0, 2, 0, 43, 88, 44, negative
50, -37, 79, 0, 0, 0, 29, 79, 50, negative
37, -34, 106, 0, 30, -4, 69, 75, 6, negative
42, -37, 76, 0, 42, 0, 34, 35, 2, negative
48, -51, 89, 8, 6, -13, 41, 84, 44, negative
51, 21, 79, 0, 42, 0, 28, 37, 10, negative
59, -69, 88, 0, 8, 0, 29, 81, 52, negative
44, -40, 77, 0, -2, 0, 33, 79, 46, negative
84, -35, 107, 0, 64, -3, 22, 42, 20, negative
76, -45, 107, 0, 62, -3, 30, 45, 14, negative
80, -38, 107, 0, 62, -8, 27, 45, 18, negative
51, -33, 77, 0, -2, 0, 26, 79, 54, negative
37, -32, 106, 0, 30, 0, 69, 75, 6, negative
47, -48, 77, 0, -2, 0, 29, 79, 50, negative
70, 51, 82, 0, -40, 28, 12, 123, 112, negative
68, 72, 82, 0, -42, -8, 14, 126, 112, negative
57, 1149, 80, 0, 34, 0, 23, 46, 24, positive
37, -88, 106, 0, 34, -2, 69, 72, 4, negative
37, -100, 106, -2, 34, -3, 69, 72, 4, negative
78, -42, 107, 0, 62, -5, 29, 45, 16, negative
50, -38, 91, 0, 2, 0, 41, 88, 48, negative
48, 30, 77, 0, 28, 0, 29, 48, 20, negative
97, -28, 107, 0, 68, -30, 10, 40, 30, negative
42, -25, 77, 0, -2, 0, 35, 79, 44, negative
37, -65, 76, 0, 36, 0, 39, 40, 2, negative
44, 28, 77, 0, 28, 0, 33, 48, 16, negative
37, -41, 106, 0, 34, -1, 69, 72, 4, negative
86, -37, 107, 0, 64, -6, 21, 42, 22, negative
71, 46, 82, 0, -42, -8, 11, 126, 114, negative
43, -113, 76, 0, 42, 0, 33, 35, 2, negative
40, 28, 77, 0, -22, 0, 38, 101, 64, negative
75, -43, 88, -1, 8, 0, 14, 81, 68, negative
81, -35, 107, 0, 62, -10, 26, 45, 18, negative
42, 22, 77, 0, 28, 0, 35, 48, 14, negative
49, 31, 77, 0, -22, 0, 28, 101, 72, negative
84, -28, 107, 0, 64, -2, 22, 42, 20, negative
50, 22, 77, 0, 28, 0, 26, 48, 22, negative
91, 3049, 106, -4, 36, 1, 15, 69, 54, positive
37, -84, 106, 0, 34, 0, 69, 72, 4, negative
42, -25, 77, 0, -2, 0, 34, 79, 46, negative
37, -51, 106, -1, 34, -1, 69, 72, 4, negative
37, -32, 106, 0, 34, -1, 69, 72, 4, negative
47, 22, 79, 0, 42, 0, 31, 37, 6, negative
