@relation shuttle-6_vs_2-3
@attribute A1 integer [27, 126]
@attribute A2 integer [-4821, 5075]
@attribute A3 integer [21, 149]
@attribute A4 integer [-3939, 3830]
@attribute A5 integer [-188, 436]
@attribute A6 integer [-26739, 15164]
@attribute A7 integer [-48, 105]
@attribute A8 integer [-353, 270]
@attribute A9 integer [-356, 266]
@attribute Class {positive, negative}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9
@outputs Class
@data
68, -27, 107, 0, 60, -5, 38, 47, 10, negative
37, -102, 76, 1, 36, 1, 39, 40, 2, negative
37, -33, 76, 0, 20, 0, 39, 55, 16, negative
82, 736, 106, -3, 34, -16, 24, 72, 48, positive
44, -45, 78, -6, 0, 0, 34, 78, 44, negative
37, -60, 78, 0, 10, 0, 42, 68, 26, negative
41, 33, 77, 0, -22, 0, 37, 101, 64, negative
70, -51, 88, 0, 8, 0, 18, 81, 62, negative
50, 22, 79, 0, 42, 0, 29, 37, 8, negative
69, -28, 107, 0, 60, -8, 38, 47, 10, negative
46, 48, 77, 0, -22, 0, 31, 101, 70, negative
52, -27, 91, 0, 2, 0, 38, 88, 50, negative
37, -42, 76, 0, 36, 0, 39, 40, 2, negative
41, 22, 77, 0, 28, 0, 36, 48, 12, negative
44, -34, 79, 2, 0, 0, 35, 79, 44, negative
46, -49, 79, 3, 0, 0, 33, 79, 46, negative
72, 24, 82, 0, -42, -2, 10, 126, 116, negative
73, -44, 107, 0, 62, -1, 33, 45, 12, negative
71, 32, 82, 0, -42, -4, 11, 126, 116, negative
72, -51, 88, -1, 8, 0, 16, 81, 64, negative
77, -36, 88, -3, 8, 0, 11, 81, 70, negative
52, -25, 79, 0, 0, 0, 26, 79, 52, negative
41, 21, 77, 0, 28, 0, 36, 48, 12, negative
37, -64, 106, -1, 30, 0, 69, 75, 6, negative
48, -46, 89, 6, 6, -11, 41, 84, 42, negative
51, 24, 77, 0, -22, 0, 27, 101, 74, negative
43, -91, 76, 0, 42, 0, 33, 35, 2, negative
55, -72, 88, 0, 8, 0, 33, 81, 48, negative
37, -54, 75, -1, 28, 15, 38, 46, 8, negative
45, -49, 79, 2, 0, 0, 33, 79, 46, negative
79, -35, 89, 4, 8, 0, 10, 81, 70, negative
87, -34, 107, 0, 64, -7, 20, 42, 22, negative
45, -42, 91, 0, 2, 0, 46, 88, 42, negative
60, 50, 82, 0, -40, 28, 22, 123, 102, negative
37, -54, 106, 0, 30, -6, 69, 75, 6, negative
46, -33, 89, 3, 6, -4, 43, 84, 42, negative
83, -31, 107, 0, 62, -26, 24, 45, 22, negative
90, -37, 107, 0, 64, -23, 17, 42, 26, negative
51, -65, 88, 0, 8, 5, 37, 81, 44, negative
37, -51, 106, -1, 30, 0, 69, 75, 6, negative
42, 23, 77, 0, 28, 0, 35, 48, 14, negative
94, -38, 107, 0, 68, -12, 13, 40, 26, negative
49, 22, 79, 0, 42, 0, 30, 37, 8, negative
64, 78, 82, 0, -42, -6, 18, 126, 108, negative
82, 2561, 106, -4, 34, -20, 24, 72, 48, positive
89, -37, 107, 0, 64, -14, 18, 42, 24, negative
