@relation  movement_libras
@attribute 1st_coordinate_abcissa numeric
@attribute 1st_coordinate_ordinate numeric
@attribute 2st_coordinate_abcissa numeric
@attribute 2st_coordinate_ordinate numeric
@attribute 3st_coordinate_abcissa numeric
@attribute 3st_coordinate_ordinate numeric
@attribute 4st_coordinate_abcissa numeric
@attribute 4st_coordinate_ordinate numeric
@attribute 5st_coordinate_abcissa numeric
@attribute 5st_coordinate_ordinate numeric
@attribute 6st_coordinate_abcissa numeric
@attribute 6st_coordinate_ordinate numeric
@attribute 7st_coordinate_abcissa numeric
@attribute 7st_coordinate_ordinate numeric
@attribute 8st_coordinate_abcissa numeric
@attribute 8st_coordinate_ordinate numeric
@attribute 9st_coordinate_abcissa numeric
@attribute 9st_coordinate_ordinate numeric
@attribute 10st_coordinate_abcissa numeric
@attribute 10st_coordinate_ordinate numeric
@attribute 11st_coordinate_abcissa numeric
@attribute 11st_coordinate_ordinate numeric
@attribute 12st_coordinate_abcissa numeric
@attribute 12st_coordinate_ordinate numeric
@attribute 13st_coordinate_abcissa numeric
@attribute 13st_coordinate_ordinate numeric
@attribute 14st_coordinate_abcissa numeric
@attribute 14st_coordinate_ordinate numeric
@attribute 15st_coordinate_abcissa numeric
@attribute 15st_coordinate_ordinate numeric
@attribute 16st_coordinate_abcissa numeric
@attribute 16st_coordinate_ordinate numeric
@attribute 17st_coordinate_abcissa numeric
@attribute 17st_coordinate_ordinate numeric
@attribute 18st_coordinate_abcissa numeric
@attribute 18st_coordinate_ordinate numeric
@attribute 19st_coordinate_abcissa numeric
@attribute 19st_coordinate_ordinate numeric
@attribute 20st_coordinate_abcissa numeric
@attribute 20st_coordinate_ordinate numeric
@attribute 21st_coordinate_abcissa numeric
@attribute 21st_coordinate_ordinate numeric
@attribute 22st_coordinate_abcissa numeric
@attribute 22st_coordinate_ordinate numeric
@attribute 23st_coordinate_abcissa numeric
@attribute 23st_coordinate_ordinate numeric
@attribute 24st_coordinate_abcissa numeric
@attribute 24st_coordinate_ordinate numeric
@attribute 25st_coordinate_abcissa numeric
@attribute 25st_coordinate_ordinate numeric
@attribute 26st_coordinate_abcissa numeric
@attribute 26st_coordinate_ordinate numeric
@attribute 27st_coordinate_abcissa numeric
@attribute 27st_coordinate_ordinate numeric
@attribute 28st_coordinate_abcissa numeric
@attribute 28st_coordinate_ordinate numeric
@attribute 29st_coordinate_abcissa numeric
@attribute 29st_coordinate_ordinate numeric
@attribute 30st_coordinate_abcissa numeric
@attribute 30st_coordinate_ordinate numeric
@attribute 31st_coordinate_abcissa numeric
@attribute 31st_coordinate_ordinate numeric
@attribute 32st_coordinate_abcissa numeric
@attribute 32st_coordinate_ordinate numeric
@attribute 33st_coordinate_abcissa numeric
@attribute 33st_coordinate_ordinate numeric
@attribute 34st_coordinate_abcissa numeric
@attribute 34st_coordinate_ordinate numeric
@attribute 35st_coordinate_abcissa numeric
@attribute 35st_coordinate_ordinate numeric
@attribute 36st_coordinate_abcissa numeric
@attribute 36st_coordinate_ordinate numeric
@attribute 37st_coordinate_abcissa numeric
@attribute 37st_coordinate_ordinate numeric
@attribute 38st_coordinate_abcissa numeric
@attribute 38st_coordinate_ordinate numeric
@attribute 39st_coordinate_abcissa numeric
@attribute 39st_coordinate_ordinate numeric
@attribute 40st_coordinate_abcissa numeric
@attribute 40st_coordinate_ordinate numeric
@attribute 41st_coordinate_abcissa numeric
@attribute 41st_coordinate_ordinate numeric
@attribute 42st_coordinate_abcissa numeric
@attribute 42st_coordinate_ordinate numeric
@attribute 43st_coordinate_abcissa numeric
@attribute 43st_coordinate_ordinate numeric
@attribute 44st_coordinate_abcissa numeric
@attribute 44st_coordinate_ordinate numeric
@attribute 45st_coordinate_abcissa numeric
@attribute 45st_coordinate_ordinate numeric
@attribute Class {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}


@data
0.78917, 0.53935, 0.78723, 0.55093, 0.78723, 0.53704, 0.78723, 0.55787, 0.78337, 0.51389, 0.76015, 0.45833, 0.71567, 0.41667, 0.64603, 0.39815, 0.5648, 0.41204, 0.47195, 0.43519, 0.41779, 0.46528, 0.35977, 0.52315, 0.32108, 0.58102, 0.29014, 0.65741, 0.28627, 0.68287, 0.28627, 0.65046, 0.28433, 0.51852, 0.37331, 0.41435, 0.4971, 0.36343, 0.61122, 0.38426, 0.68665, 0.31481, 0.73694, 0.42824, 0.76209, 0.5162, 0.79304, 0.57176, 0.80851, 0.60417, 0.81238, 0.60417, 0.80271, 0.58102, 0.76789, 0.46528, 0.7118, 0.37269, 0.63443, 0.33796, 0.52611, 0.34028, 0.42747, 0.35185, 0.33849, 0.37269, 0.28046, 0.42593, 0.24758, 0.51389, 0.23211, 0.61574, 0.21663, 0.69444, 0.20696, 0.73148, 0.2089, 0.72454, 0.21083, 0.7037, 0.22824, 0.62963, 0.25532, 0.52083, 0.32689, 0.4537, 0.43714, 0.41435, 0.53191, 0.40741, 1
0.83752, 0.59491, 0.83752, 0.59259, 0.84139, 0.58565, 0.83946, 0.57639, 0.82979, 0.55093, 0.81625, 0.51852, 0.7795, 0.4838, 0.70986, 0.41204, 0.65377, 0.45833, 0.59188, 0.45602, 0.52224, 0.46528, 0.45648, 0.48611, 0.41006, 0.53472, 0.37331, 0.57639, 0.35203, 0.62269, 0.32882, 0.68056, 0.32302, 0.69907, 0.33269, 0.64815, 0.37524, 0.5787, 0.44294, 0.49537, 0.53191, 0.47454, 0.61315, 0.47222, 0.67311, 0.47222, 0.73114, 0.46528, 0.78917, 0.52546, 0.82205, 0.57639, 0.83559, 0.60648, 0.83366, 0.61111, 0.82592, 0.58333, 0.79884, 0.52315, 0.75048, 0.45833, 0.68472, 0.42593, 0.61896, 0.44213, 0.53578, 0.43981, 0.45068, 0.45833, 0.38491, 0.49074, 0.34043, 0.55093, 0.30368, 0.59259, 0.27466, 0.63426, 0.26112, 0.6713, 0.26112, 0.6875, 0.28433, 0.65046, 0.33462, 0.59491, 0.40039, 0.49074, 0.51064, 0.46065, 1
0.59768, 0.54398, 0.59574, 0.54398, 0.58027, 0.54167, 0.55319, 0.54167, 0.51451, 0.54167, 0.47389, 0.54167, 0.43714, 0.54167, 0.39845, 0.53935, 0.35977, 0.53935, 0.32882, 0.53241, 0.30174, 0.52546, 0.26886, 0.52546, 0.23791, 0.53704, 0.2205, 0.55556, 0.22437, 0.5625, 0.24371, 0.5625, 0.27273, 0.56019, 0.30754, 0.5625, 0.35203, 0.57407, 0.40812, 0.56481, 0.47389, 0.55093, 0.54159, 0.53935, 0.60542, 0.53241, 0.6499, 0.52546, 0.67311, 0.52083, 0.69439, 0.52083, 0.70793, 0.52546, 0.69052, 0.52083, 0.63056, 0.5162, 0.55319, 0.52083, 0.48356, 0.53009, 0.4236, 0.53009, 0.37331, 0.52315, 0.32108, 0.52546, 0.27466, 0.52546, 0.25919, 0.52546, 0.26692, 0.52546, 0.2882, 0.53009, 0.32882, 0.53704, 0.39845, 0.52546, 0.47582, 0.51389, 0.55899, 0.50463, 0.62282, 0.49306, 0.66731, 0.48611, 0.69632, 0.48843, 2
0.147, 0.47917, 0.17602, 0.47917, 0.22244, 0.4838, 0.27853, 0.50463, 0.35783, 0.50694, 0.44101, 0.50463, 0.51451, 0.50694, 0.57253, 0.50926, 0.61702, 0.51389, 0.6499, 0.51389, 0.67311, 0.50926, 0.68085, 0.50926, 0.66538, 0.50926, 0.6325, 0.50926, 0.58027, 0.50694, 0.5087, 0.49769, 0.41973, 0.49537, 0.33269, 0.49769, 0.25532, 0.49769, 0.20116, 0.48611, 0.147, 0.49074, 0.11219, 0.49769, 0.098646, 0.49769, 0.10638, 0.49769, 0.10832, 0.49306, 0.10832, 0.50694, 0.15474, 0.49306, 0.21663, 0.49306, 0.28046, 0.50694, 0.3617, 0.50926, 0.43714, 0.50694, 0.5029, 0.50926, 0.55319, 0.51157, 0.59381, 0.51389, 0.62476, 0.51389, 0.64603, 0.51157, 0.65184, 0.50926, 0.64023, 0.50694, 0.60928, 0.50231, 0.55706, 0.49537, 0.4913, 0.49769, 0.41779, 0.50231, 0.33656, 0.50463, 0.26306, 0.49306, 0.19729, 0.48843, 2
0.47002, 0.67824, 0.47776, 0.67361, 0.46228, 0.67361, 0.46422, 0.66667, 0.46228, 0.66204, 0.46228, 0.6412, 0.4294, 0.62269, 0.41393, 0.57407, 0.38491, 0.51157, 0.35977, 0.4537, 0.32882, 0.40741, 0.29981, 0.36806, 0.27079, 0.32176, 0.26112, 0.28704, 0.23017, 0.28935, 0.2147, 0.30324, 0.30754, 0.25926, 0.2766, 0.29167, 0.28433, 0.37037, 0.30948, 0.42361, 0.32495, 0.48148, 0.36557, 0.53935, 0.38878, 0.59491, 0.4236, 0.625, 0.44294, 0.66204, 0.47389, 0.71296, 0.49323, 0.75231, 0.4913, 0.77083, 0.4913, 0.76852, 0.48743, 0.76852, 0.48356, 0.75694, 0.46035, 0.71296, 0.43133, 0.65278, 0.38685, 0.60648, 0.3501, 0.56019, 0.31141, 0.50231, 0.29594, 0.44444, 0.25532, 0.38657, 0.27079, 0.31713, 0.27079, 0.29167, 0.27273, 0.375, 0.294, 0.44444, 0.32689, 0.52546, 0.36557, 0.59028, 0.40039, 0.62269, 3
0.73501, 0.60648, 0.73501, 0.6088, 0.73501, 0.6088, 0.73501, 0.60648, 0.73694, 0.59491, 0.73694, 0.57176, 0.73114, 0.55324, 0.7234, 0.53241, 0.72147, 0.49306, 0.71567, 0.43519, 0.70793, 0.37037, 0.70406, 0.3125, 0.70406, 0.26389, 0.69826, 0.22222, 0.69632, 0.19907, 0.69826, 0.21296, 0.69826, 0.26157, 0.69632, 0.31944, 0.70019, 0.37269, 0.706, 0.43287, 0.70793, 0.48148, 0.71373, 0.52546, 0.72147, 0.55556, 0.7234, 0.58102, 0.70986, 0.6088, 0.706, 0.625, 0.70793, 0.62731, 0.71373, 0.61806, 0.72534, 0.59491, 0.73308, 0.56713, 0.72921, 0.53935, 0.72534, 0.49537, 0.7176, 0.44444, 0.70986, 0.38657, 0.70019, 0.33102, 0.69052, 0.27546, 0.68472, 0.22454, 0.67505, 0.18287, 0.66731, 0.16667, 0.66925, 0.18519, 0.67698, 0.23611, 0.68472, 0.30093, 0.69439, 0.37037, 0.70406, 0.44676, 0.7118, 0.50926, 3
0.62089, 0.23148, 0.62089, 0.23148, 0.62282, 0.22917, 0.62476, 0.22917, 0.62476, 0.22917, 0.62476, 0.22917, 0.62282, 0.22917, 0.62476, 0.22917, 0.62476, 0.23148, 0.62282, 0.23148, 0.62282, 0.23148, 0.62089, 0.22917, 0.61896, 0.22917, 0.61509, 0.22454, 0.60928, 0.22222, 0.59961, 0.21528, 0.58607, 0.21296, 0.56867, 0.21065, 0.54739, 0.21296, 0.52418, 0.21991, 0.49903, 0.23611, 0.47195, 0.25463, 0.44487, 0.27546, 0.41779, 0.29861, 0.39265, 0.32176, 0.37137, 0.34491, 0.3559, 0.37269, 0.34816, 0.39583, 0.34623, 0.42824, 0.3501, 0.46296, 0.35977, 0.49769, 0.37331, 0.53009, 0.38685, 0.5625, 0.40426, 0.59259, 0.42553, 0.61806, 0.44874, 0.6412, 0.47389, 0.66204, 0.49903, 0.6875, 0.52805, 0.70833, 0.55513, 0.72685, 0.58221, 0.73843, 0.61122, 0.74769, 0.64217, 0.75694, 0.67118, 0.75694, 0.70213, 0.75463, 4
0.50677, 0.25463, 0.50484, 0.25231, 0.50484, 0.25463, 0.5029, 0.25, 0.4971, 0.24537, 0.48356, 0.24074, 0.46228, 0.23148, 0.43327, 0.22222, 0.40039, 0.22454, 0.36364, 0.23611, 0.32495, 0.25, 0.2824, 0.26852, 0.24178, 0.2963, 0.21277, 0.3287, 0.19923, 0.35417, 0.19923, 0.37731, 0.19729, 0.39815, 0.2089, 0.41204, 0.22244, 0.43287, 0.23211, 0.45833, 0.24952, 0.49306, 0.2882, 0.52083, 0.32495, 0.55787, 0.37137, 0.59491, 0.41973, 0.625, 0.46228, 0.65046, 0.50484, 0.66667, 0.53578, 0.67361, 0.5706, 0.67824, 0.60348, 0.6875, 0.63443, 0.6875, 0.65377, 0.68981, 0.66344, 0.69213, 0.66344, 0.69444, 0.65764, 0.69444, 0.64797, 0.69907, 0.64023, 0.70139, 0.63636, 0.70139, 0.63443, 0.70139, 0.6325, 0.7037, 0.62863, 0.70139, 0.62863, 0.7037, 0.62863, 0.70139, 0.6325, 0.70139, 0.6325, 0.70139, 4
0.40039, 0.19676, 0.40039, 0.19676, 0.39845, 0.19676, 0.39845, 0.19676, 0.40039, 0.19907, 0.40039, 0.19676, 0.40039, 0.19676, 0.40039, 0.19676, 0.40039, 0.19444, 0.40426, 0.19444, 0.41973, 0.18287, 0.45455, 0.16898, 0.50097, 0.15509, 0.55126, 0.15046, 0.60155, 0.15741, 0.65377, 0.18056, 0.69632, 0.21065, 0.73501, 0.25463, 0.76209, 0.30324, 0.78337, 0.34954, 0.80077, 0.39583, 0.80851, 0.4375, 0.81238, 0.47222, 0.80464, 0.50694, 0.7911, 0.53472, 0.77369, 0.55787, 0.75242, 0.58565, 0.72921, 0.6088, 0.706, 0.62731, 0.68472, 0.63889, 0.66151, 0.65278, 0.63636, 0.66667, 0.61122, 0.67593, 0.58607, 0.68519, 0.56286, 0.69213, 0.54739, 0.68981, 0.52998, 0.68981, 0.51064, 0.69444, 0.48936, 0.69676, 0.47195, 0.69213, 0.45261, 0.68981, 0.43327, 0.68519, 0.41393, 0.68056, 0.39652, 0.67361, 0.38104, 0.66667, 5
0.53385, 0.40741, 0.53385, 0.40972, 0.53578, 0.40741, 0.53385, 0.40972, 0.53385, 0.40741, 0.53191, 0.41435, 0.53191, 0.41204, 0.53385, 0.41204, 0.53385, 0.40972, 0.53385, 0.40972, 0.53385, 0.40972, 0.53578, 0.40741, 0.53772, 0.40509, 0.54352, 0.39583, 0.54739, 0.39352, 0.55513, 0.38657, 0.56286, 0.38194, 0.57253, 0.37269, 0.58221, 0.36806, 0.59574, 0.3588, 0.60928, 0.34954, 0.61896, 0.34491, 0.63443, 0.33796, 0.64797, 0.33565, 0.66538, 0.33333, 0.68085, 0.33333, 0.69826, 0.33333, 0.7176, 0.33102, 0.73694, 0.33102, 0.75629, 0.3287, 0.77563, 0.33102, 0.79497, 0.33333, 0.81431, 0.33565, 0.83559, 0.34259, 0.85687, 0.34722, 0.87427, 0.3588, 0.89555, 0.36806, 0.91296, 0.37963, 0.92843, 0.38657, 0.94391, 0.39815, 0.96132, 0.38194, 0.97099, 0.38426, 0.97872, 0.40278, 0.98839, 0.41204, 1.0, 0.4213, 5
