@relation ecoli-0-6-7_vs_5
@attribute a1 real [0.0, 78.0]
@attribute a2 real [1.0, 88.0]
@attribute a3 real [1.0, 48.0]
@attribute a5 real [3.0, 88.0]
@attribute a6 real [2.0, 84.0]
@attribute a7 real [0.0, 85.0]
@attribute class {positive, negative}
@inputs a1, a2, a3, a5, a6, a7
@outputs class
@data
7.0, 4.0, 48.0, 54.0, 35.0, 44.0, negative
59.0, 49.0, 48.0, 52.0, 45.0, 36.0, negative
67.0, 39.0, 48.0, 36.0, 38.0, 46.0, negative
25.0, 4.0, 48.0, 46.0, 44.0, 52.0, negative
31.0, 23.0, 48.0, 73.0, 5.0, 14.0, negative
24.0, 35.0, 48.0, 31.0, 19.0, 31.0, negative
3.0, 37.0, 48.0, 59.0, 41.0, 49.0, negative
28.0, 38.0, 48.0, 5.0, 33.0, 42.0, negative
23.0, 33.0, 48.0, 43.0, 33.0, 43.0, negative
47.0, 47.0, 48.0, 22.0, 16.0, 26.0, negative
51.0, 37.0, 48.0, 35.0, 36.0, 45.0, negative
24.0, 43.0, 48.0, 54.0, 52.0, 59.0, negative
42.0, 3.0, 48.0, 48.0, 26.0, 36.0, negative
41.0, 48.0, 48.0, 51.0, 44.0, 51.0, negative
36.0, 56.0, 48.0, 43.0, 45.0, 53.0, negative
5.0, 49.0, 48.0, 49.0, 46.0, 53.0, negative
5.0, 51.0, 48.0, 27.0, 23.0, 34.0, negative
4.0, 42.0, 48.0, 37.0, 27.0, 27.0, negative
35.0, 37.0, 48.0, 3.0, 34.0, 43.0, negative
57.0, 54.0, 48.0, 37.0, 28.0, 33.0, negative
24.0, 57.0, 48.0, 63.0, 34.0, 43.0, negative
44.0, 49.0, 48.0, 39.0, 38.0, 4.0, negative
49.0, 43.0, 48.0, 49.0, 3.0, 4.0, negative
47.0, 28.0, 48.0, 56.0, 2.0, 25.0, negative
34.0, 35.0, 48.0, 51.0, 49.0, 56.0, negative
38.0, 3.0, 48.0, 43.0, 29.0, 39.0, negative
17.0, 39.0, 48.0, 53.0, 3.0, 39.0, negative
34.0, 51.0, 48.0, 44.0, 37.0, 46.0, negative
3.0, 44.0, 48.0, 49.0, 22.0, 33.0, negative
16.0, 43.0, 48.0, 54.0, 27.0, 37.0, negative
66.0, 49.0, 1.0, 54.0, 56.0, 36.0, negative
67.0, 81.0, 48.0, 54.0, 49.0, 23.0, negative
57.0, 59.0, 48.0, 39.0, 47.0, 33.0, negative
63.0, 86.0, 48.0, 39.0, 47.0, 34.0, negative
63.0, 71.0, 48.0, 6.0, 4.0, 39.0, negative
64.0, 84.0, 48.0, 37.0, 45.0, 4.0, negative
69.0, 67.0, 48.0, 3.0, 39.0, 24.0, negative
66.0, 71.0, 48.0, 41.0, 5.0, 35.0, negative
69.0, 59.0, 48.0, 46.0, 44.0, 52.0, negative
59.0, 61.0, 48.0, 42.0, 42.0, 37.0, negative
78.0, 68.0, 48.0, 83.0, 4.0, 29.0, positive
67.0, 84.0, 48.0, 74.0, 54.0, 37.0, positive
73.0, 84.0, 48.0, 86.0, 58.0, 29.0, positive
71.0, 71.0, 48.0, 68.0, 43.0, 36.0, positive
