@relation ecoli-0-6-7_vs_5
@attribute a1 real [0.0, 78.0]
@attribute a2 real [1.0, 88.0]
@attribute a3 real [1.0, 48.0]
@attribute a5 real [3.0, 88.0]
@attribute a6 real [2.0, 84.0]
@attribute a7 real [0.0, 85.0]
@attribute class {positive, negative}
@inputs a1, a2, a3, a5, a6, a7
@outputs class
@data
21.0, 34.0, 48.0, 51.0, 28.0, 39.0, negative
25.0, 48.0, 48.0, 44.0, 17.0, 29.0, negative
21.0, 51.0, 48.0, 5.0, 32.0, 41.0, negative
38.0, 46.0, 48.0, 48.0, 22.0, 29.0, negative
4.0, 5.0, 48.0, 45.0, 39.0, 47.0, negative
54.0, 47.0, 48.0, 28.0, 33.0, 42.0, negative
44.0, 34.0, 48.0, 3.0, 33.0, 43.0, negative
37.0, 5.0, 48.0, 42.0, 36.0, 45.0, negative
44.0, 42.0, 48.0, 42.0, 25.0, 2.0, negative
29.0, 41.0, 48.0, 48.0, 38.0, 46.0, negative
41.0, 43.0, 48.0, 45.0, 31.0, 41.0, negative
29.0, 47.0, 48.0, 41.0, 23.0, 34.0, negative
34.0, 55.0, 48.0, 58.0, 31.0, 41.0, negative
53.0, 42.0, 48.0, 16.0, 29.0, 39.0, negative
34.0, 46.0, 48.0, 52.0, 35.0, 44.0, negative
33.0, 47.0, 48.0, 53.0, 18.0, 29.0, negative
24.0, 34.0, 48.0, 38.0, 3.0, 4.0, negative
26.0, 5.0, 48.0, 44.0, 32.0, 41.0, negative
4.0, 31.0, 48.0, 41.0, 29.0, 39.0, negative
61.0, 36.0, 48.0, 49.0, 35.0, 44.0, negative
28.0, 33.0, 48.0, 45.0, 22.0, 33.0, negative
36.0, 42.0, 48.0, 53.0, 32.0, 41.0, negative
3.0, 37.0, 48.0, 43.0, 18.0, 3.0, negative
26.0, 4.0, 48.0, 36.0, 26.0, 37.0, negative
67.0, 55.0, 1.0, 66.0, 58.0, 16.0, negative
68.0, 49.0, 1.0, 62.0, 55.0, 28.0, negative
65.0, 57.0, 48.0, 47.0, 47.0, 51.0, negative
67.0, 7.0, 48.0, 46.0, 45.0, 33.0, negative
71.0, 71.0, 48.0, 4.0, 54.0, 39.0, negative
66.0, 74.0, 48.0, 31.0, 38.0, 43.0, negative
7.0, 64.0, 48.0, 47.0, 51.0, 47.0, negative
63.0, 57.0, 48.0, 49.0, 7.0, 2.0, negative
75.0, 84.0, 48.0, 35.0, 52.0, 33.0, negative
63.0, 65.0, 48.0, 39.0, 44.0, 35.0, negative
64.0, 66.0, 48.0, 41.0, 39.0, 2.0, negative
76.0, 73.0, 48.0, 44.0, 39.0, 39.0, negative
64.0, 81.0, 48.0, 37.0, 39.0, 44.0, negative
29.0, 39.0, 48.0, 52.0, 4.0, 48.0, negative
69.0, 66.0, 48.0, 41.0, 5.0, 25.0, negative
69.0, 65.0, 48.0, 63.0, 48.0, 41.0, negative
74.0, 9.0, 48.0, 57.0, 53.0, 29.0, positive
68.0, 76.0, 48.0, 84.0, 45.0, 27.0, positive
69.0, 59.0, 48.0, 77.0, 39.0, 21.0, positive
63.0, 49.0, 48.0, 79.0, 45.0, 28.0, positive
