@relation ecoli-0-6-7_vs_5
@attribute a1 real [0.0, 78.0]
@attribute a2 real [1.0, 88.0]
@attribute a3 real [1.0, 48.0]
@attribute a5 real [3.0, 88.0]
@attribute a6 real [2.0, 84.0]
@attribute a7 real [0.0, 85.0]
@attribute class {positive, negative}
@inputs a1, a2, a3, a5, a6, a7
@outputs class
@data
56.0, 4.0, 48.0, 49.0, 37.0, 46.0, negative
2.0, 44.0, 48.0, 46.0, 51.0, 57.0, negative
42.0, 4.0, 48.0, 56.0, 18.0, 3.0, negative
34.0, 45.0, 48.0, 38.0, 24.0, 35.0, negative
3.0, 16.0, 48.0, 56.0, 11.0, 23.0, negative
36.0, 39.0, 48.0, 48.0, 22.0, 23.0, negative
25.0, 4.0, 48.0, 47.0, 33.0, 42.0, negative
43.0, 39.0, 48.0, 47.0, 31.0, 41.0, negative
4.0, 29.0, 48.0, 42.0, 35.0, 44.0, negative
36.0, 54.0, 48.0, 41.0, 38.0, 46.0, negative
29.0, 52.0, 48.0, 42.0, 29.0, 39.0, negative
32.0, 42.0, 48.0, 35.0, 28.0, 38.0, negative
44.0, 35.0, 48.0, 55.0, 55.0, 61.0, negative
42.0, 35.0, 48.0, 58.0, 15.0, 27.0, negative
37.0, 52.0, 48.0, 42.0, 42.0, 36.0, negative
4.0, 35.0, 48.0, 45.0, 33.0, 42.0, negative
47.0, 29.0, 48.0, 51.0, 33.0, 43.0, negative
25.0, 37.0, 48.0, 43.0, 26.0, 36.0, negative
35.0, 48.0, 48.0, 56.0, 4.0, 48.0, negative
44.0, 51.0, 48.0, 47.0, 26.0, 36.0, negative
34.0, 28.0, 48.0, 41.0, 35.0, 44.0, negative
4.0, 46.0, 48.0, 52.0, 49.0, 56.0, negative
52.0, 44.0, 48.0, 37.0, 36.0, 42.0, negative
51.0, 46.0, 48.0, 58.0, 31.0, 41.0, negative
38.0, 44.0, 48.0, 43.0, 2.0, 31.0, negative
34.0, 42.0, 48.0, 41.0, 34.0, 43.0, negative
29.0, 28.0, 48.0, 5.0, 42.0, 5.0, negative
25.0, 26.0, 48.0, 39.0, 32.0, 42.0, negative
0.0, 38.0, 48.0, 42.0, 48.0, 55.0, negative
39.0, 31.0, 48.0, 38.0, 34.0, 43.0, negative
17.0, 52.0, 48.0, 49.0, 37.0, 46.0, negative
77.0, 57.0, 1.0, 37.0, 54.0, 1.0, negative
7.0, 61.0, 48.0, 56.0, 52.0, 43.0, negative
64.0, 72.0, 48.0, 49.0, 42.0, 19.0, negative
32.0, 39.0, 48.0, 53.0, 28.0, 38.0, negative
74.0, 82.0, 48.0, 49.0, 49.0, 41.0, negative
74.0, 47.0, 48.0, 5.0, 57.0, 42.0, negative
63.0, 8.0, 48.0, 46.0, 31.0, 29.0, negative
62.0, 78.0, 48.0, 47.0, 49.0, 54.0, negative
43.0, 59.0, 48.0, 52.0, 49.0, 56.0, negative
63.0, 69.0, 48.0, 65.0, 41.0, 28.0, positive
56.0, 68.0, 48.0, 77.0, 36.0, 45.0, positive
65.0, 51.0, 48.0, 66.0, 54.0, 33.0, positive
64.0, 57.0, 48.0, 7.0, 33.0, 26.0, positive
