@relation ecoli-0-6-7_vs_5
@attribute a1 real [0.0, 78.0]
@attribute a2 real [1.0, 88.0]
@attribute a3 real [1.0, 48.0]
@attribute a5 real [3.0, 88.0]
@attribute a6 real [2.0, 84.0]
@attribute a7 real [0.0, 85.0]
@attribute class {positive, negative}
@inputs a1, a2, a3, a5, a6, a7
@outputs class
@data
49.0, 29.0, 48.0, 56.0, 24.0, 35.0, negative
23.0, 32.0, 48.0, 55.0, 25.0, 35.0, negative
42.0, 24.0, 48.0, 57.0, 27.0, 37.0, negative
39.0, 32.0, 48.0, 46.0, 24.0, 35.0, negative
51.0, 5.0, 48.0, 46.0, 32.0, 35.0, negative
53.0, 38.0, 48.0, 44.0, 26.0, 36.0, negative
33.0, 45.0, 48.0, 52.0, 32.0, 41.0, negative
61.0, 45.0, 48.0, 48.0, 35.0, 41.0, negative
29.0, 3.0, 48.0, 45.0, 3.0, 17.0, negative
52.0, 36.0, 48.0, 41.0, 28.0, 38.0, negative
25.0, 37.0, 48.0, 41.0, 33.0, 42.0, negative
52.0, 57.0, 48.0, 42.0, 47.0, 54.0, negative
26.0, 26.0, 48.0, 34.0, 25.0, 35.0, negative
24.0, 43.0, 48.0, 37.0, 28.0, 38.0, negative
48.0, 42.0, 48.0, 45.0, 25.0, 35.0, negative
3.0, 45.0, 48.0, 36.0, 21.0, 32.0, negative
65.0, 55.0, 48.0, 34.0, 37.0, 28.0, negative
38.0, 26.0, 48.0, 54.0, 16.0, 28.0, negative
43.0, 32.0, 48.0, 33.0, 45.0, 52.0, negative
35.0, 34.0, 48.0, 46.0, 3.0, 27.0, negative
41.0, 51.0, 48.0, 58.0, 2.0, 31.0, negative
24.0, 41.0, 48.0, 49.0, 23.0, 34.0, negative
37.0, 44.0, 48.0, 42.0, 39.0, 47.0, negative
27.0, 3.0, 48.0, 71.0, 28.0, 39.0, negative
4.0, 41.0, 48.0, 55.0, 22.0, 33.0, negative
22.0, 34.0, 48.0, 42.0, 29.0, 39.0, negative
44.0, 35.0, 48.0, 44.0, 52.0, 59.0, negative
66.0, 86.0, 48.0, 34.0, 41.0, 36.0, negative
73.0, 78.0, 48.0, 58.0, 51.0, 31.0, negative
72.0, 86.0, 48.0, 17.0, 55.0, 21.0, negative
67.0, 61.0, 48.0, 51.0, 37.0, 38.0, negative
63.0, 1.0, 48.0, 35.0, 51.0, 49.0, negative
63.0, 83.0, 48.0, 4.0, 39.0, 19.0, negative
71.0, 86.0, 48.0, 4.0, 54.0, 32.0, negative
69.0, 8.0, 48.0, 46.0, 57.0, 26.0, negative
64.0, 78.0, 48.0, 5.0, 36.0, 38.0, negative
62.0, 83.0, 48.0, 46.0, 36.0, 4.0, negative
56.0, 54.0, 48.0, 43.0, 37.0, 3.0, negative
61.0, 6.0, 48.0, 44.0, 39.0, 38.0, negative
74.0, 74.0, 48.0, 31.0, 53.0, 52.0, negative
61.0, 75.0, 48.0, 51.0, 33.0, 33.0, positive
77.0, 57.0, 48.0, 88.0, 53.0, 2.0, positive
74.0, 78.0, 48.0, 75.0, 54.0, 15.0, positive
68.0, 63.0, 48.0, 73.0, 4.0, 3.0, positive
