@relation ecoli-0-6-7_vs_5
@attribute a1 real [0.0, 78.0]
@attribute a2 real [1.0, 88.0]
@attribute a3 real [1.0, 48.0]
@attribute a5 real [3.0, 88.0]
@attribute a6 real [2.0, 84.0]
@attribute a7 real [0.0, 85.0]
@attribute class {positive, negative}
@inputs a1, a2, a3, a5, a6, a7
@outputs class
@data
29.0, 28.0, 48.0, 44.0, 23.0, 34.0, negative
22.0, 43.0, 48.0, 48.0, 16.0, 28.0, negative
44.0, 27.0, 48.0, 55.0, 52.0, 58.0, negative
23.0, 4.0, 48.0, 39.0, 28.0, 38.0, negative
41.0, 57.0, 48.0, 39.0, 21.0, 32.0, negative
4.0, 45.0, 48.0, 38.0, 22.0, 0.0, negative
51.0, 54.0, 48.0, 41.0, 34.0, 43.0, negative
29.0, 37.0, 48.0, 48.0, 44.0, 52.0, negative
43.0, 37.0, 48.0, 53.0, 35.0, 44.0, negative
34.0, 33.0, 48.0, 38.0, 35.0, 44.0, negative
56.0, 51.0, 48.0, 34.0, 37.0, 46.0, negative
65.0, 47.0, 48.0, 59.0, 3.0, 4.0, negative
17.0, 38.0, 48.0, 45.0, 42.0, 5.0, negative
43.0, 4.0, 48.0, 39.0, 28.0, 39.0, negative
22.0, 36.0, 48.0, 35.0, 39.0, 47.0, negative
23.0, 58.0, 48.0, 37.0, 53.0, 59.0, negative
42.0, 38.0, 48.0, 54.0, 34.0, 43.0, negative
44.0, 56.0, 48.0, 5.0, 46.0, 54.0, negative
36.0, 41.0, 48.0, 48.0, 47.0, 54.0, negative
18.0, 3.0, 48.0, 46.0, 24.0, 35.0, negative
44.0, 28.0, 48.0, 43.0, 27.0, 37.0, negative
41.0, 43.0, 48.0, 5.0, 24.0, 25.0, negative
31.0, 47.0, 48.0, 29.0, 28.0, 39.0, negative
64.0, 76.0, 48.0, 45.0, 35.0, 38.0, negative
38.0, 4.0, 48.0, 63.0, 25.0, 35.0, negative
32.0, 33.0, 48.0, 6.0, 6.0, 2.0, negative
51.0, 49.0, 48.0, 53.0, 14.0, 26.0, negative
25.0, 51.0, 48.0, 37.0, 42.0, 5.0, negative
4.0, 46.0, 48.0, 42.0, 35.0, 44.0, negative
23.0, 34.0, 48.0, 43.0, 26.0, 37.0, negative
27.0, 42.0, 48.0, 37.0, 38.0, 43.0, negative
71.0, 46.0, 1.0, 52.0, 59.0, 3.0, negative
74.0, 49.0, 48.0, 42.0, 54.0, 36.0, negative
67.0, 81.0, 48.0, 25.0, 42.0, 25.0, negative
68.0, 82.0, 48.0, 38.0, 65.0, 56.0, negative
68.0, 78.0, 48.0, 43.0, 44.0, 42.0, negative
7.0, 71.0, 48.0, 42.0, 84.0, 85.0, negative
68.0, 67.0, 48.0, 49.0, 4.0, 34.0, negative
74.0, 56.0, 48.0, 47.0, 68.0, 3.0, negative
71.0, 57.0, 48.0, 48.0, 35.0, 32.0, negative
67.0, 88.0, 48.0, 73.0, 5.0, 25.0, positive
75.0, 76.0, 48.0, 83.0, 57.0, 3.0, positive
52.0, 81.0, 48.0, 72.0, 38.0, 38.0, positive
6.0, 76.0, 1.0, 77.0, 59.0, 52.0, positive
