@relation  ring
@attribute A1 real[-6879.0,6285.0]
@attribute A2 real[-7141.0,6921.0]
@attribute A3 real[-7734.0,7611.0]
@attribute A4 real[-6627.0,7149.0]
@attribute A5 real[-7184.0,6383.0]
@attribute A6 real[-6946.0,6743.0]
@attribute A7 real[-7781.0,6285.0]
@attribute A8 real[-6882.0,6357.0]
@attribute A9 real[-7184.0,7487.0]
@attribute A10 real[-7232.0,6757.0]
@attribute A11 real[-7803.0,7208.0]
@attribute A12 real[-7395.0,6791.0]
@attribute A13 real[-7096.0,6403.0]
@attribute A14 real[-7472.0,7261.0]
@attribute A15 real[-7342.0,7372.0]
@attribute A16 real[-7121.0,6905.0]
@attribute A17 real[-7163.0,7175.0]
@attribute A18 real[-8778.0,6896.0]
@attribute A19 real[-7554.0,5726.0]
@attribute A20 real[-6722.0,7627.0]
@attribute Class{0,1}
@inputs A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20
@outputs Class
@data
1285.0, 822.0, 2082.0, -712.0, 331.0, -197.0, 451.0, -2268.0, -569.0, -1476.0, 601.0, -515.0, 3.0, 967.0, -976.0, -19.0, 1069.0, 19.0, -66.0, 411.0, 0
112.0, 1259.0, 4392.0, -2007.0, -493.0, -739.0, 1704.0, 1697.0, -209.0, 823.0, -1323.0, 1708.0, 844.0, 3659.0, 175.0, 1277.0, 1357.0, 951.0, 309.0, 1138.0, 0
-2289.0, 714.0, 47.0, 2861.0, -348.0, 5011.0, 214.0, -138.0, -648.0, 1992.0, 1331.0, 1742.0, 2574.0, 4158.0, 658.0, -13.0, 3548.0, -224.0, -618.0, 128.0, 0
-759.0, 497.0, 208.0, 551.0, -2254.0, -1388.0, 528.0, 1569.0, -833.0, -1371.0, 1742.0, -2098.0, 1292.0, 3063.0, -323.0, 1496.0, -237.0, -288.0, -3195.0, 572.0, 0
96.0, -1495.0, 1096.0, -1487.0, 518.0, -24.0, -236.0, -304.0, -2813.0, 924.0, -326.0, 1108.0, 983.0, -2064.0, 2838.0, -144.0, 217.0, 2414.0, -438.0, 256.0, 0
-112.0, 323.0, 214.0, -2306.0, 16.0, 911.0, 906.0, 635.0, -2964.0, 679.0, 371.0, -38.0, -2419.0, 969.0, -1606.0, -969.0, 131.0, 1611.0, -2434.0, 409.0, 0
-97.0, 1134.0, 2344.0, -378.0, -515.0, -2715.0, -1497.0, -3072.0, -1004.0, 1278.0, 342.0, -686.0, -512.0, -785.0, 102.0, -1182.0, -1428.0, -1447.0, 1699.0, -2193.0, 0
2095.0, -1632.0, -1578.0, -316.0, -119.0, -905.0, -68.0, -292.0, -948.0, -488.0, 614.0, -125.0, 1895.0, -28.0, -3884.0, 2377.0, -1267.0, 3578.0, 204.0, 325.0, 0
3442.0, 609.0, -1363.0, 4012.0, 1336.0, -2442.0, 206.0, -1388.0, -3321.0, 5.0, 129.0, 501.0, 316.0, -172.0, -484.0, 952.0, 1521.0, 2437.0, -198.0, -5634.0, 0
4.0, 2005.0, -41.0, -1442.0, 2049.0, 1118.0, 2269.0, -169.0, 456.0, -1374.0, -1064.0, 1104.0, 176.0, -66.0, -15.0, 2858.0, -157.0, 46.0, 3989.0, 3672.0, 0
844.0, 1134.0, -148.0, 117.0, 568.0, 1661.0, 1007.0, 962.0, -601.0, 2666.0, 1108.0, 745.0, -59.0, 683.0, -1092.0, -2496.0, -231.0, 1594.0, 618.0, 78.0, 0
-903.0, -301.0, -1208.0, 1708.0, 731.0, 194.0, -2218.0, 922.0, -8.0, -1206.0, 163.0, -254.0, 428.0, 1393.0, 3143.0, -224.0, -302.0, -79.0, 1941.0, -1476.0, 0
