@relation  ring
@attribute A1 real[-6879.0,6285.0]
@attribute A2 real[-7141.0,6921.0]
@attribute A3 real[-7734.0,7611.0]
@attribute A4 real[-6627.0,7149.0]
@attribute A5 real[-7184.0,6383.0]
@attribute A6 real[-6946.0,6743.0]
@attribute A7 real[-7781.0,6285.0]
@attribute A8 real[-6882.0,6357.0]
@attribute A9 real[-7184.0,7487.0]
@attribute A10 real[-7232.0,6757.0]
@attribute A11 real[-7803.0,7208.0]
@attribute A12 real[-7395.0,6791.0]
@attribute A13 real[-7096.0,6403.0]
@attribute A14 real[-7472.0,7261.0]
@attribute A15 real[-7342.0,7372.0]
@attribute A16 real[-7121.0,6905.0]
@attribute A17 real[-7163.0,7175.0]
@attribute A18 real[-8778.0,6896.0]
@attribute A19 real[-7554.0,5726.0]
@attribute A20 real[-6722.0,7627.0]
@attribute Class{0,1}
@inputs A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20
@outputs Class
@data
1466.0, -372.0, 1403.0, 167.0, -2.0, -1327.0, 2175.0, 288.0, 64.0, -1244.0, -2286.0, -345.0, 1715.0, 1454.0, 2114.0, 1319.0, -1486.0, 1762.0, 823.0, -583.0, 0
3598.0, 1536.0, 798.0, -4071.0, -2915.0, -919.0, -227.0, -2064.0, -178.0, -186.0, -2914.0, 578.0, 5195.0, 1885.0, -1124.0, 1714.0, 42.0, -204.0, 2.0, 296.0, 0
-2714.0, -294.0, -958.0, 708.0, 1634.0, -4.0, -663.0, 1311.0, -3128.0, -65.0, -6.0, 3663.0, 293.0, -1531.0, 1706.0, 724.0, 2265.0, -452.0, 14.0, 703.0, 0
-177.0, -54.0, 24.0, -1545.0, -3702.0, 696.0, 2429.0, 2916.0, -3596.0, 454.0, 1964.0, -2441.0, 1696.0, -954.0, -1036.0, 192.0, -227.0, -2067.0, -1885.0, -159.0, 0
35.0, 65.0, 5.0, 2261.0, -42.0, -1836.0, -2247.0, 942.0, -313.0, -266.0, -704.0, -42.0, 737.0, -1583.0, 2686.0, -841.0, 632.0, -66.0, 2575.0, -581.0, 0
1233.0, -701.0, 2416.0, -3962.0, 1154.0, 12.0, -31.0, 2526.0, -617.0, -472.0, -115.0, -305.0, -307.0, 38.0, 147.0, 44.0, 2415.0, 468.0, 13.0, -591.0, 0
-96.0, 578.0, -2411.0, -2606.0, -2078.0, 768.0, -3813.0, 542.0, -1755.0, -428.0, -869.0, 1799.0, -235.0, 14.0, 154.0, 1627.0, -2287.0, -416.0, 3547.0, -1604.0, 0
-127.0, -854.0, 1214.0, 1065.0, 984.0, -882.0, 833.0, 104.0, -198.0, -694.0, -75.0, -1648.0, 102.0, -117.0, -1935.0, 315.0, 917.0, 115.0, 2197.0, 12.0, 0
1293.0, -52.0, -2306.0, -99.0, -216.0, -4198.0, -1163.0, -1902.0, -2272.0, 2119.0, 131.0, -1229.0, 1604.0, 1697.0, 1.0, -332.0, 746.0, 1663.0, -48.0, 4012.0, 0
2097.0, -2031.0, -74.0, 1296.0, 1895.0, -101.0, 539.0, 229.0, 265.0, -118.0, -666.0, 377.0, 809.0, -804.0, 359.0, 835.0, 166.0, -966.0, -2203.0, 2387.0, 0
