@relation page-blocks-1-3_vs_4
@attribute Height integer [1, 804]
@attribute Lenght integer [1, 553]
@attribute Area integer [7, 143993]
@attribute Eccen real [0.0070, 537.0]
@attribute P_black real [0.052, 1.0]
@attribute P_and real [0.062, 1.0]
@attribute Mean_tr real [1.0, 4955.0]
@attribute Blackpix integer [1, 33017]
@attribute Blackand integer [7, 46133]
@attribute Wb_trans integer [1, 3212]
@attribute Class {positive,negative}
@inputs Height, Lenght, Area, Eccen, P_black, P_and, Mean_tr, Blackpix, Blackand, Wb_trans
@output Class
@data
2, 20, 40, 10.0, 0.675, 0.675, 27.0, 27, 27, 1, negative
2, 18, 36, 9.0, 0.806, 0.833, 29.0, 29, 30, 1, negative
1, 10, 10, 10.0, 1.0, 1.0, 10.0, 10, 10, 1, negative
1, 52, 52, 52.0, 0.788, 1.0, 10.25, 41, 52, 4, negative
2, 123, 246, 61.5, 0.5, 0.504, 123.0, 123, 124, 1, negative
2, 446, 892, 223.0, 0.439, 0.603, 17.82, 392, 538, 22, negative
1, 51, 51, 51.0, 0.471, 1.0, 2.4, 24, 51, 10, negative
1, 124, 124, 124.0, 0.444, 1.0, 7.86, 55, 124, 7, negative
1, 75, 75, 75.0, 0.92, 1.0, 11.5, 69, 75, 6, negative
1, 40, 40, 40.0, 1.0, 1.0, 40.0, 40, 40, 1, negative
1, 115, 115, 115.0, 0.2, 1.0, 4.6, 23, 115, 5, negative
1, 17, 17, 17.0, 0.412, 1.0, 1.75, 7, 17, 4, negative
28, 330, 9240, 11.786, 0.057, 0.066, 31.0, 527, 614, 17, negative
1, 23, 23, 23.0, 0.826, 1.0, 19.0, 19, 23, 1, negative
1, 42, 42, 42.0, 0.31, 1.0, 2.6, 13, 42, 5, negative
1, 39, 39, 39.0, 0.897, 1.0, 8.75, 35, 39, 4, negative
1, 69, 69, 69.0, 0.841, 1.0, 8.29, 58, 69, 7, negative
3, 11, 33, 3.667, 0.364, 0.667, 3.0, 12, 22, 4, negative
2, 9, 18, 4.5, 0.556, 0.556, 10.0, 10, 10, 1, negative
1, 13, 13, 13.0, 0.846, 1.0, 5.5, 11, 13, 2, negative
3, 129, 387, 43.0, 0.305, 0.377, 11.8, 118, 146, 10, negative
1, 17, 17, 17.0, 1.0, 1.0, 17.0, 17, 17, 1, negative
