@relation page-blocks-1-3_vs_4
@attribute Height integer [1, 804]
@attribute Lenght integer [1, 553]
@attribute Area integer [7, 143993]
@attribute Eccen real [0.0070, 537.0]
@attribute P_black real [0.052, 1.0]
@attribute P_and real [0.062, 1.0]
@attribute Mean_tr real [1.0, 4955.0]
@attribute Blackpix integer [1, 33017]
@attribute Blackand integer [7, 46133]
@attribute Wb_trans integer [1, 3212]
@attribute Class {positive,negative}
@inputs Height, Lenght, Area, Eccen, P_black, P_and, Mean_tr, Blackpix, Blackand, Wb_trans
@output Class
@data
3, 113, 339, 37.667, 0.41, 0.472, 13.9, 139, 160, 10, negative
2, 101, 202, 50.5, 0.54, 0.743, 10.9, 109, 150, 10, negative
2, 22, 44, 11.0, 0.705, 0.864, 15.5, 31, 38, 2, negative
2, 20, 40, 10.0, 0.775, 0.85, 31.0, 31, 34, 1, negative
2, 18, 36, 9.0, 0.722, 0.722, 26.0, 26, 26, 1, negative
2, 69, 138, 34.5, 0.623, 0.906, 10.75, 86, 125, 8, negative
2, 46, 92, 23.0, 0.587, 0.761, 18.0, 54, 70, 3, negative
2, 17, 34, 8.5, 0.588, 0.971, 6.67, 20, 33, 3, negative
2, 112, 224, 56.0, 0.496, 0.504, 55.5, 111, 113, 2, negative
1, 61, 61, 61.0, 1.0, 1.0, 61.0, 61, 61, 1, negative
19, 462, 8778, 24.316, 0.523, 0.688, 16.88, 4591, 6035, 272, negative
1, 33, 33, 33.0, 1.0, 1.0, 33.0, 33, 33, 1, negative
1, 46, 46, 46.0, 0.783, 1.0, 12.0, 36, 46, 3, negative
1, 18, 18, 18.0, 0.944, 1.0, 17.0, 17, 18, 1, negative
1, 77, 77, 77.0, 0.403, 1.0, 5.17, 31, 77, 6, negative
1, 40, 40, 40.0, 0.875, 1.0, 11.67, 35, 40, 3, negative
1, 35, 35, 35.0, 0.829, 1.0, 9.67, 29, 35, 3, negative
1, 13, 13, 13.0, 0.692, 1.0, 3.0, 9, 13, 3, negative
1, 17, 17, 17.0, 0.824, 1.0, 4.67, 14, 17, 3, negative
2, 176, 352, 88.0, 0.528, 0.605, 31.0, 186, 213, 6, negative
1, 44, 44, 44.0, 0.909, 1.0, 20.0, 40, 44, 2, negative
1, 14, 14, 14.0, 0.929, 1.0, 13.0, 13, 14, 1, negative
2, 50, 100, 25.0, 0.46, 0.51, 15.33, 46, 51, 3, negative
6, 142, 852, 23.667, 0.115, 0.173, 6.53, 98, 147, 15, negative
1, 73, 73, 73.0, 0.616, 1.0, 3.75, 45, 73, 12, negative
2, 6, 12, 3.0, 0.667, 1.0, 4.0, 8, 12, 2, negative
3, 54, 162, 18.0, 0.364, 0.519, 8.43, 59, 84, 7, negative
2, 6, 12, 3.0, 0.667, 1.0, 4.0, 8, 12, 2, negative
1, 27, 27, 27.0, 0.407, 1.0, 1.83, 11, 27, 6, negative
1, 65, 65, 65.0, 0.646, 1.0, 3.0, 42, 65, 14, negative
1, 86, 86, 86.0, 0.93, 1.0, 40.0, 80, 86, 2, negative
8, 16, 128, 2.0, 0.398, 0.695, 2.55, 51, 89, 20, negative
2, 535, 1070, 267.5, 0.564, 0.614, 40.2, 603, 657, 15, negative
2, 536, 1072, 268.0, 0.537, 0.622, 24.0, 576, 667, 24, negative
2, 536, 1072, 268.0, 0.498, 0.533, 41.08, 534, 571, 13, negative
1, 257, 257, 257.0, 1.0, 1.0, 257.0, 257, 257, 1, negative
2, 537, 1074, 268.5, 0.594, 0.655, 21.27, 638, 703, 30, negative
2, 537, 1074, 268.5, 0.52, 0.621, 26.57, 558, 667, 21, negative
1, 62, 62, 62.0, 0.984, 1.0, 61.0, 61, 62, 1, negative
2, 537, 1074, 268.5, 0.556, 0.655, 24.88, 597, 704, 24, negative
12, 278, 3336, 23.167, 0.11, 0.144, 15.91, 366, 479, 23, negative
1, 15, 15, 15.0, 0.867, 1.0, 13.0, 13, 15, 1, negative
1, 7, 7, 7.0, 1.0, 1.0, 7.0, 7, 7, 1, negative
1, 379, 379, 379.0, 0.963, 1.0, 60.83, 365, 379, 6, negative
2, 16, 32, 8.0, 0.25, 0.531, 2.67, 8, 17, 3, negative
1, 14, 14, 14.0, 1.0, 1.0, 14.0, 14, 14, 1, negative
1, 78, 78, 78.0, 0.949, 1.0, 24.67, 74, 78, 3, negative
1, 117, 117, 117.0, 0.974, 1.0, 38.0, 114, 117, 3, negative
7, 1, 7, 0.143, 1.0, 1.0, 7.0, 7, 7, 1, negative
1, 39, 39, 39.0, 0.308, 1.0, 1.71, 12, 39, 7, negative
