@relation page-blocks-1-3_vs_4
@attribute Height integer [1, 804]
@attribute Lenght integer [1, 553]
@attribute Area integer [7, 143993]
@attribute Eccen real [0.0070, 537.0]
@attribute P_black real [0.052, 1.0]
@attribute P_and real [0.062, 1.0]
@attribute Mean_tr real [1.0, 4955.0]
@attribute Blackpix integer [1, 33017]
@attribute Blackand integer [7, 46133]
@attribute Wb_trans integer [1, 3212]
@attribute Class {positive,negative}
@inputs Height, Lenght, Area, Eccen, P_black, P_and, Mean_tr, Blackpix, Blackand, Wb_trans
@output Class
@data
3, 59, 177, 19.667, 0.475, 0.475, 84.0, 84, 84, 1, negative
2, 20, 40, 10.0, 0.675, 0.675, 27.0, 27, 27, 1, negative
4, 194, 776, 48.5, 0.263, 0.273, 34.0, 204, 212, 6, negative
2, 22, 44, 11.0, 0.75, 0.75, 33.0, 33, 33, 1, negative
2, 18, 36, 9.0, 0.806, 0.833, 29.0, 29, 30, 1, negative
3, 116, 348, 38.667, 0.385, 0.494, 33.5, 134, 172, 4, negative
1, 10, 10, 10.0, 1.0, 1.0, 10.0, 10, 10, 1, negative
1, 13, 13, 13.0, 1.0, 1.0, 13.0, 13, 13, 1, negative
1, 8, 8, 8.0, 1.0, 1.0, 8.0, 8, 8, 1, negative
1, 44, 44, 44.0, 0.25, 1.0, 2.2, 11, 44, 5, negative
2, 20, 40, 10.0, 0.725, 0.875, 29.0, 29, 35, 1, negative
3, 113, 339, 37.667, 0.357, 0.378, 30.25, 121, 128, 4, negative
2, 48, 96, 24.0, 0.625, 0.677, 30.0, 60, 65, 2, negative
1, 17, 17, 17.0, 0.765, 1.0, 3.25, 13, 17, 4, negative
1, 8, 8, 8.0, 1.0, 1.0, 8.0, 8, 8, 1, negative
1, 57, 57, 57.0, 0.456, 1.0, 3.71, 26, 57, 7, negative
1, 10, 10, 10.0, 0.9, 1.0, 9.0, 9, 10, 1, negative
2, 116, 232, 58.0, 0.616, 0.802, 17.88, 143, 186, 8, negative
1, 43, 43, 43.0, 0.907, 1.0, 9.75, 39, 43, 4, negative
10, 2, 20, 0.2, 0.55, 0.6, 11.0, 11, 12, 1, negative
1, 45, 45, 45.0, 0.756, 1.0, 5.67, 34, 45, 6, negative
1, 75, 75, 75.0, 0.813, 1.0, 5.55, 61, 75, 11, negative
2, 157, 314, 78.5, 0.506, 0.551, 26.5, 159, 173, 6, negative
1, 32, 32, 32.0, 0.719, 1.0, 5.75, 23, 32, 4, negative
1, 52, 52, 52.0, 0.788, 1.0, 10.25, 41, 52, 4, negative
1, 13, 13, 13.0, 0.692, 1.0, 4.5, 9, 13, 2, negative
2, 123, 246, 61.5, 0.5, 0.504, 123.0, 123, 124, 1, negative
1, 36, 36, 36.0, 0.722, 1.0, 8.67, 26, 36, 3, negative
1, 19, 19, 19.0, 0.789, 1.0, 3.75, 15, 19, 4, negative
