@relation page-blocks-1-3_vs_4
@attribute Height integer [1, 804]
@attribute Lenght integer [1, 553]
@attribute Area integer [7, 143993]
@attribute Eccen real [0.0070, 537.0]
@attribute P_black real [0.052, 1.0]
@attribute P_and real [0.062, 1.0]
@attribute Mean_tr real [1.0, 4955.0]
@attribute Blackpix integer [1, 33017]
@attribute Blackand integer [7, 46133]
@attribute Wb_trans integer [1, 3212]
@attribute Class {positive,negative}
@inputs Height, Lenght, Area, Eccen, P_black, P_and, Mean_tr, Blackpix, Blackand, Wb_trans
@output Class
@data
3, 113, 339, 37.667, 0.41, 0.472, 13.9, 139, 160, 10, negative
3, 59, 177, 19.667, 0.475, 0.475, 84.0, 84, 84, 1, negative
2, 101, 202, 50.5, 0.54, 0.743, 10.9, 109, 150, 10, negative
4, 194, 776, 48.5, 0.263, 0.273, 34.0, 204, 212, 6, negative
2, 22, 44, 11.0, 0.75, 0.75, 33.0, 33, 33, 1, negative
2, 22, 44, 11.0, 0.705, 0.864, 15.5, 31, 38, 2, negative
3, 116, 348, 38.667, 0.385, 0.494, 33.5, 134, 172, 4, negative
1, 13, 13, 13.0, 1.0, 1.0, 13.0, 13, 13, 1, negative
1, 8, 8, 8.0, 1.0, 1.0, 8.0, 8, 8, 1, negative
1, 44, 44, 44.0, 0.25, 1.0, 2.2, 11, 44, 5, negative
2, 20, 40, 10.0, 0.725, 0.875, 29.0, 29, 35, 1, negative
2, 20, 40, 10.0, 0.775, 0.85, 31.0, 31, 34, 1, negative
3, 113, 339, 37.667, 0.357, 0.378, 30.25, 121, 128, 4, negative
2, 48, 96, 24.0, 0.625, 0.677, 30.0, 60, 65, 2, negative
2, 18, 36, 9.0, 0.722, 0.722, 26.0, 26, 26, 1, negative
1, 17, 17, 17.0, 0.765, 1.0, 3.25, 13, 17, 4, negative
1, 8, 8, 8.0, 1.0, 1.0, 8.0, 8, 8, 1, negative
2, 69, 138, 34.5, 0.623, 0.906, 10.75, 86, 125, 8, negative
2, 46, 92, 23.0, 0.587, 0.761, 18.0, 54, 70, 3, negative
1, 57, 57, 57.0, 0.456, 1.0, 3.71, 26, 57, 7, negative
1, 10, 10, 10.0, 0.9, 1.0, 9.0, 9, 10, 1, negative
2, 116, 232, 58.0, 0.616, 0.802, 17.88, 143, 186, 8, negative
2, 17, 34, 8.5, 0.588, 0.971, 6.67, 20, 33, 3, negative
1, 43, 43, 43.0, 0.907, 1.0, 9.75, 39, 43, 4, negative
