@relation page-blocks-1-3_vs_4
@attribute Height integer [1, 804]
@attribute Lenght integer [1, 553]
@attribute Area integer [7, 143993]
@attribute Eccen real [0.0070, 537.0]
@attribute P_black real [0.052, 1.0]
@attribute P_and real [0.062, 1.0]
@attribute Mean_tr real [1.0, 4955.0]
@attribute Blackpix integer [1, 33017]
@attribute Blackand integer [7, 46133]
@attribute Wb_trans integer [1, 3212]
@attribute Class {positive,negative}
@inputs Height, Lenght, Area, Eccen, P_black, P_and, Mean_tr, Blackpix, Blackand, Wb_trans
@output Class
@data
3, 116, 348, 38.667, 0.385, 0.494, 33.5, 134, 172, 4, negative
1, 8, 8, 8.0, 1.0, 1.0, 8.0, 8, 8, 1, negative
2, 48, 96, 24.0, 0.625, 0.677, 30.0, 60, 65, 2, negative
1, 8, 8, 8.0, 1.0, 1.0, 8.0, 8, 8, 1, negative
1, 43, 43, 43.0, 0.907, 1.0, 9.75, 39, 43, 4, negative
10, 2, 20, 0.2, 0.55, 0.6, 11.0, 11, 12, 1, negative
1, 13, 13, 13.0, 0.692, 1.0, 4.5, 9, 13, 2, negative
1, 9, 9, 9.0, 0.778, 1.0, 7.0, 7, 9, 1, negative
3, 213, 639, 71.0, 0.318, 0.379, 11.94, 203, 242, 17, negative
1, 52, 52, 52.0, 0.538, 1.0, 14.0, 28, 52, 2, negative
1, 8, 8, 8.0, 0.875, 1.0, 7.0, 7, 8, 1, negative
1, 11, 11, 11.0, 1.0, 1.0, 11.0, 11, 11, 1, negative
2, 64, 128, 32.0, 0.531, 0.586, 17.0, 68, 75, 4, negative
1, 29, 29, 29.0, 0.586, 1.0, 2.13, 17, 29, 8, negative
1, 7, 7, 7.0, 1.0, 1.0, 7.0, 7, 7, 1, negative
1, 79, 79, 79.0, 0.608, 1.0, 6.86, 48, 79, 7, negative
1, 11, 11, 11.0, 0.727, 1.0, 4.0, 8, 11, 2, negative
9, 13, 117, 1.444, 0.103, 0.752, 4.0, 12, 88, 3, negative
1, 29, 29, 29.0, 1.0, 1.0, 29.0, 29, 29, 1, negative
1, 45, 45, 45.0, 0.933, 1.0, 21.0, 42, 45, 2, negative
2, 204, 408, 102.0, 0.412, 0.681, 10.5, 168, 278, 16, negative
1, 84, 84, 84.0, 0.917, 1.0, 19.25, 77, 84, 4, negative
1, 17, 17, 17.0, 0.941, 1.0, 16.0, 16, 17, 1, negative
5, 333, 1665, 66.6, 0.374, 0.413, 36.65, 623, 688, 17, negative
6, 21, 126, 3.5, 0.246, 0.254, 31.0, 31, 32, 1, negative
2, 536, 1072, 268.0, 0.532, 0.558, 30.0, 570, 598, 19, negative
3, 470, 1410, 156.67, 0.352, 0.387, 23.62, 496, 545, 21, negative
3, 537, 1611, 179.0, 0.345, 0.405, 22.24, 556, 652, 25, negative
2, 63, 126, 31.5, 0.341, 0.508, 10.75, 43, 64, 4, negative
2, 475, 950, 237.5, 0.504, 0.544, 95.8, 479, 517, 5, negative
1, 186, 186, 186.0, 0.828, 1.0, 9.06, 154, 186, 17, negative
1, 214, 214, 214.0, 1.0, 1.0, 214.0, 214, 214, 1, negative
2, 535, 1070, 267.5, 0.55, 0.586, 117.8, 589, 627, 5, negative
2, 536, 1072, 268.0, 0.568, 0.688, 24.36, 609, 737, 25, negative
1, 16, 16, 16.0, 1.0, 1.0, 16.0, 16, 16, 1, negative
1, 14, 14, 14.0, 0.643, 1.0, 3.0, 9, 14, 3, negative
1, 136, 136, 136.0, 0.963, 1.0, 32.75, 131, 136, 4, negative
1, 47, 47, 47.0, 0.532, 1.0, 25.0, 25, 47, 1, negative
1, 27, 27, 27.0, 0.259, 1.0, 1.4, 7, 27, 5, negative
1, 28, 28, 28.0, 0.464, 1.0, 2.17, 13, 28, 6, negative
1, 20, 20, 20.0, 0.75, 1.0, 3.0, 15, 20, 5, negative
1, 102, 102, 102.0, 0.961, 1.0, 24.5, 98, 102, 4, negative
5, 280, 1400, 56.0, 0.78, 0.786, 156.0, 1092, 1100, 7, negative
1, 16, 16, 16.0, 0.938, 1.0, 15.0, 15, 16, 1, negative
3, 550, 1650, 183.33, 0.329, 0.375, 27.15, 543, 619, 20, negative
1, 12, 12, 12.0, 0.667, 1.0, 4.0, 8, 12, 2, negative
2, 325, 650, 162.5, 0.485, 0.537, 28.64, 315, 349, 11, negative
1, 199, 199, 199.0, 0.945, 1.0, 37.6, 188, 199, 5, negative
1, 34, 34, 34.0, 0.471, 1.0, 1.07, 16, 34, 15, negative
1, 71, 71, 71.0, 0.521, 1.0, 2.31, 37, 71, 16, negative
1, 106, 106, 106.0, 0.434, 1.0, 1.02, 46, 106, 45, negative
1, 288, 288, 288.0, 0.424, 1.0, 1.02, 122, 288, 120, negative
1, 95, 95, 95.0, 1.0, 1.0, 95.0, 95, 95, 1, negative
2, 199, 398, 99.5, 0.485, 0.508, 32.17, 193, 202, 6, negative
1, 159, 159, 159.0, 0.994, 1.0, 158.0, 158, 159, 1, negative
1, 152, 152, 152.0, 0.822, 1.0, 11.36, 125, 152, 11, negative
1, 52, 52, 52.0, 0.981, 1.0, 51.0, 51, 52, 1, negative
1, 46, 46, 46.0, 0.239, 1.0, 1.38, 11, 46, 8, negative
