@relation page-blocks-1-3_vs_4
@attribute Height integer [1, 804]
@attribute Lenght integer [1, 553]
@attribute Area integer [7, 143993]
@attribute Eccen real [0.0070, 537.0]
@attribute P_black real [0.052, 1.0]
@attribute P_and real [0.062, 1.0]
@attribute Mean_tr real [1.0, 4955.0]
@attribute Blackpix integer [1, 33017]
@attribute Blackand integer [7, 46133]
@attribute Wb_trans integer [1, 3212]
@attribute Class {positive,negative}
@inputs Height, Lenght, Area, Eccen, P_black, P_and, Mean_tr, Blackpix, Blackand, Wb_trans
@output Class
@data
2, 22, 44, 11.0, 0.75, 0.75, 33.0, 33, 33, 1, negative
1, 44, 44, 44.0, 0.25, 1.0, 2.2, 11, 44, 5, negative
2, 20, 40, 10.0, 0.725, 0.875, 29.0, 29, 35, 1, negative
3, 113, 339, 37.667, 0.357, 0.378, 30.25, 121, 128, 4, negative
1, 10, 10, 10.0, 0.9, 1.0, 9.0, 9, 10, 1, negative
2, 116, 232, 58.0, 0.616, 0.802, 17.88, 143, 186, 8, negative
1, 45, 45, 45.0, 0.756, 1.0, 5.67, 34, 45, 6, negative
1, 75, 75, 75.0, 0.813, 1.0, 5.55, 61, 75, 11, negative
2, 157, 314, 78.5, 0.506, 0.551, 26.5, 159, 173, 6, negative
1, 32, 32, 32.0, 0.719, 1.0, 5.75, 23, 32, 4, negative
1, 19, 19, 19.0, 0.789, 1.0, 3.75, 15, 19, 4, negative
1, 55, 55, 55.0, 0.564, 1.0, 10.33, 31, 55, 3, negative
4, 115, 460, 28.75, 0.426, 0.487, 17.82, 196, 224, 11, negative
1, 48, 48, 48.0, 0.875, 1.0, 10.5, 42, 48, 4, negative
1, 28, 28, 28.0, 0.964, 1.0, 27.0, 27, 28, 1, negative
1, 15, 15, 15.0, 0.867, 1.0, 6.5, 13, 15, 2, negative
6, 7, 42, 1.167, 0.238, 0.69, 10.0, 10, 29, 1, negative
2, 14, 28, 7.0, 0.286, 0.821, 8.0, 8, 23, 1, negative
3, 183, 549, 61.0, 0.488, 0.577, 29.78, 268, 317, 9, negative
1, 14, 14, 14.0, 0.929, 1.0, 13.0, 13, 14, 1, negative
25, 300, 7500, 12.0, 0.065, 0.071, 40.33, 484, 531, 12, negative
21, 2, 42, 0.095, 0.738, 0.738, 31.0, 31, 31, 1, negative
3, 304, 912, 101.33, 0.555, 0.686, 42.17, 506, 626, 12, negative
1, 41, 41, 41.0, 0.927, 1.0, 12.67, 38, 41, 3, negative
1, 22, 22, 22.0, 0.5, 1.0, 1.83, 11, 22, 6, negative
2, 46, 92, 23.0, 0.511, 0.554, 47.0, 47, 51, 1, negative
4, 19, 76, 4.75, 0.276, 0.382, 5.25, 21, 29, 4, negative
2, 14, 28, 7.0, 0.464, 0.536, 13.0, 13, 15, 1, negative
2, 64, 128, 32.0, 0.43, 0.602, 3.93, 55, 77, 14, negative
1, 537, 537, 537.0, 1.0, 1.0, 537.0, 537, 537, 1, negative
1, 63, 63, 63.0, 1.0, 1.0, 63.0, 63, 63, 1, negative
