@relation ecoli-0-1_vs_2-3-5
@attribute a1 real [0.0, 89.0]
@attribute a2 real [3.0, 88.0]
@attribute a3 real [1.0, 48.0]
@attribute a4 real [1.0, 5.0]
@attribute a5 real [0.0, 88.0]
@attribute a6 real [1.0, 94.0]
@attribute a7 real [0.0, 99.0]
@attribute class {positive, negative}
@inputs a1, a2, a3, a4, a5, a6, a7
@outputs class
@data
7.0, 4.0, 48.0, 5.0, 54.0, 35.0, 44.0, negative
23.0, 32.0, 48.0, 5.0, 55.0, 25.0, 35.0, negative
29.0, 28.0, 48.0, 5.0, 44.0, 23.0, 34.0, negative
42.0, 24.0, 48.0, 5.0, 57.0, 27.0, 37.0, negative
25.0, 48.0, 48.0, 5.0, 44.0, 17.0, 29.0, negative
4.0, 45.0, 48.0, 5.0, 38.0, 22.0, 0.0, negative
43.0, 39.0, 48.0, 5.0, 47.0, 31.0, 41.0, negative
53.0, 38.0, 48.0, 5.0, 44.0, 26.0, 36.0, negative
24.0, 35.0, 48.0, 5.0, 31.0, 19.0, 31.0, negative
33.0, 45.0, 48.0, 5.0, 52.0, 32.0, 41.0, negative
3.0, 37.0, 48.0, 5.0, 59.0, 41.0, 49.0, negative
42.0, 35.0, 48.0, 5.0, 58.0, 15.0, 27.0, negative
22.0, 36.0, 48.0, 5.0, 35.0, 39.0, 47.0, negative
44.0, 34.0, 48.0, 5.0, 3.0, 33.0, 43.0, negative
52.0, 36.0, 48.0, 5.0, 41.0, 28.0, 38.0, negative
24.0, 43.0, 48.0, 5.0, 54.0, 52.0, 59.0, negative
26.0, 26.0, 48.0, 5.0, 34.0, 25.0, 35.0, negative
37.0, 5.0, 48.0, 5.0, 42.0, 36.0, 45.0, negative
41.0, 48.0, 48.0, 5.0, 51.0, 44.0, 51.0, negative
34.0, 55.0, 48.0, 5.0, 58.0, 31.0, 41.0, negative
5.0, 49.0, 48.0, 5.0, 49.0, 46.0, 53.0, negative
64.0, 76.0, 48.0, 5.0, 45.0, 35.0, 38.0, negative
51.0, 46.0, 48.0, 5.0, 58.0, 31.0, 41.0, negative
44.0, 49.0, 48.0, 5.0, 39.0, 38.0, 4.0, negative
24.0, 41.0, 48.0, 5.0, 49.0, 23.0, 34.0, negative
23.0, 34.0, 48.0, 5.0, 43.0, 26.0, 37.0, negative
39.0, 31.0, 48.0, 5.0, 38.0, 34.0, 43.0, negative
26.0, 4.0, 48.0, 5.0, 36.0, 26.0, 37.0, negative
4.0, 41.0, 48.0, 5.0, 55.0, 22.0, 33.0, negative
44.0, 35.0, 48.0, 5.0, 44.0, 52.0, 59.0, negative
23.0, 48.0, 48.0, 5.0, 59.0, 88.0, 89.0, negative
46.0, 61.0, 48.0, 5.0, 48.0, 86.0, 87.0, negative
4.0, 5.0, 48.0, 5.0, 65.0, 82.0, 84.0, negative
73.0, 36.0, 48.0, 5.0, 53.0, 91.0, 92.0, negative
84.0, 44.0, 48.0, 5.0, 48.0, 71.0, 74.0, negative
6.0, 61.0, 48.0, 5.0, 54.0, 67.0, 71.0, negative
16.0, 51.0, 48.0, 5.0, 33.0, 39.0, 48.0, negative
2.0, 46.0, 48.0, 5.0, 57.0, 78.0, 81.0, negative
63.0, 65.0, 48.0, 5.0, 66.0, 67.0, 71.0, negative
37.0, 47.0, 48.0, 5.0, 39.0, 76.0, 79.0, negative
58.0, 55.0, 48.0, 5.0, 57.0, 7.0, 74.0, negative
36.0, 47.0, 48.0, 5.0, 51.0, 69.0, 72.0, negative
31.0, 44.0, 48.0, 5.0, 5.0, 79.0, 82.0, negative
31.0, 36.0, 48.0, 5.0, 58.0, 94.0, 94.0, negative
74.0, 9.0, 48.0, 5.0, 57.0, 53.0, 29.0, positive
75.0, 76.0, 48.0, 5.0, 83.0, 57.0, 3.0, positive
68.0, 76.0, 48.0, 5.0, 84.0, 45.0, 27.0, positive
6.0, 76.0, 1.0, 5.0, 77.0, 59.0, 52.0, positive
71.0, 71.0, 48.0, 5.0, 68.0, 43.0, 36.0, positive
