@relation ecoli-0-1-3-7_vs_2-6
@attribute Mcg real[0.0,89.0]
@attribute Gvh real[1.0,88.0]
@attribute Lip real[1.0,48.0]
@attribute Chg real[1.0,5.0]
@attribute Aac real[0.0,88.0]
@attribute Alm1 real[1.0,94.0]
@attribute Alm2 real[0.0,99.0]
@attribute Class {positive,negative}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@output Class
@data
49.0, 29.0, 48.0, 5.0, 56.0, 24.0, 35.0, negative
25.0, 48.0, 48.0, 5.0, 44.0, 17.0, 29.0, negative
51.0, 5.0, 48.0, 5.0, 46.0, 32.0, 35.0, negative
34.0, 45.0, 48.0, 5.0, 38.0, 24.0, 35.0, negative
23.0, 4.0, 48.0, 5.0, 39.0, 28.0, 38.0, negative
43.0, 37.0, 48.0, 5.0, 53.0, 35.0, 44.0, negative
43.0, 39.0, 48.0, 5.0, 47.0, 31.0, 41.0, negative
34.0, 33.0, 48.0, 5.0, 38.0, 35.0, 44.0, negative
4.0, 29.0, 48.0, 5.0, 42.0, 35.0, 44.0, negative
29.0, 52.0, 48.0, 5.0, 42.0, 29.0, 39.0, negative
65.0, 47.0, 48.0, 5.0, 59.0, 3.0, 4.0, negative
33.0, 45.0, 48.0, 5.0, 52.0, 32.0, 41.0, negative
3.0, 37.0, 48.0, 5.0, 59.0, 41.0, 49.0, negative
42.0, 35.0, 48.0, 5.0, 58.0, 15.0, 27.0, negative
37.0, 52.0, 48.0, 5.0, 42.0, 42.0, 36.0, negative
36.0, 41.0, 48.0, 5.0, 48.0, 47.0, 54.0, negative
44.0, 51.0, 48.0, 5.0, 47.0, 26.0, 36.0, negative
44.0, 28.0, 48.0, 5.0, 43.0, 27.0, 37.0, negative
34.0, 46.0, 48.0, 5.0, 52.0, 35.0, 44.0, negative
41.0, 43.0, 48.0, 5.0, 5.0, 24.0, 25.0, negative
31.0, 47.0, 48.0, 5.0, 29.0, 28.0, 39.0, negative
57.0, 54.0, 48.0, 5.0, 37.0, 28.0, 33.0, negative
24.0, 57.0, 48.0, 5.0, 63.0, 34.0, 43.0, negative
44.0, 49.0, 48.0, 5.0, 39.0, 38.0, 4.0, negative
47.0, 28.0, 48.0, 5.0, 56.0, 2.0, 25.0, negative
38.0, 3.0, 48.0, 5.0, 43.0, 29.0, 39.0, negative
34.0, 42.0, 48.0, 5.0, 41.0, 34.0, 43.0, negative
51.0, 49.0, 48.0, 5.0, 53.0, 14.0, 26.0, negative
25.0, 26.0, 48.0, 5.0, 39.0, 32.0, 42.0, negative
28.0, 33.0, 48.0, 5.0, 45.0, 22.0, 33.0, negative
3.0, 44.0, 48.0, 5.0, 49.0, 22.0, 33.0, negative
26.0, 4.0, 48.0, 5.0, 36.0, 26.0, 37.0, negative
6.0, 61.0, 48.0, 5.0, 49.0, 92.0, 37.0, negative
27.0, 35.0, 48.0, 5.0, 51.0, 77.0, 79.0, negative
29.0, 47.0, 48.0, 5.0, 71.0, 65.0, 69.0, negative
55.0, 47.0, 48.0, 5.0, 57.0, 78.0, 8.0, negative
4.0, 5.0, 48.0, 5.0, 65.0, 82.0, 84.0, negative
64.0, 58.0, 48.0, 5.0, 48.0, 78.0, 73.0, negative
74.0, 7.0, 48.0, 5.0, 66.0, 65.0, 69.0, negative
61.0, 52.0, 48.0, 5.0, 54.0, 67.0, 52.0, negative
58.0, 55.0, 48.0, 5.0, 57.0, 7.0, 74.0, negative
35.0, 51.0, 48.0, 5.0, 61.0, 71.0, 74.0, negative
69.0, 39.0, 48.0, 5.0, 57.0, 76.0, 79.0, negative
0.0, 51.0, 48.0, 5.0, 35.0, 67.0, 44.0, negative
66.0, 86.0, 48.0, 5.0, 34.0, 41.0, 36.0, negative
67.0, 81.0, 48.0, 5.0, 54.0, 49.0, 23.0, negative
57.0, 59.0, 48.0, 5.0, 39.0, 47.0, 33.0, negative
7.0, 64.0, 48.0, 5.0, 47.0, 51.0, 47.0, negative
63.0, 57.0, 48.0, 5.0, 49.0, 7.0, 2.0, negative
63.0, 86.0, 48.0, 5.0, 39.0, 47.0, 34.0, negative
63.0, 83.0, 48.0, 5.0, 4.0, 39.0, 19.0, negative
64.0, 84.0, 48.0, 5.0, 37.0, 45.0, 4.0, negative
74.0, 47.0, 48.0, 5.0, 5.0, 57.0, 42.0, negative
64.0, 78.0, 48.0, 5.0, 5.0, 36.0, 38.0, negative
43.0, 59.0, 48.0, 5.0, 52.0, 49.0, 56.0, negative
71.0, 46.0, 1.0, 5.0, 52.0, 59.0, 3.0, positive
