@relation ecoli-0-1-3-7_vs_2-6
@attribute Mcg real[0.0,89.0]
@attribute Gvh real[1.0,88.0]
@attribute Lip real[1.0,48.0]
@attribute Chg real[1.0,5.0]
@attribute Aac real[0.0,88.0]
@attribute Alm1 real[1.0,94.0]
@attribute Alm2 real[0.0,99.0]
@attribute Class {positive,negative}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@output Class
@data
7.0, 4.0, 48.0, 5.0, 54.0, 35.0, 44.0, negative
23.0, 32.0, 48.0, 5.0, 55.0, 25.0, 35.0, negative
29.0, 28.0, 48.0, 5.0, 44.0, 23.0, 34.0, negative
22.0, 43.0, 48.0, 5.0, 48.0, 16.0, 28.0, negative
25.0, 4.0, 48.0, 5.0, 47.0, 33.0, 42.0, negative
36.0, 54.0, 48.0, 5.0, 41.0, 38.0, 46.0, negative
38.0, 46.0, 48.0, 5.0, 48.0, 22.0, 29.0, negative
4.0, 5.0, 48.0, 5.0, 45.0, 39.0, 47.0, negative
61.0, 45.0, 48.0, 5.0, 48.0, 35.0, 41.0, negative
43.0, 4.0, 48.0, 5.0, 39.0, 28.0, 39.0, negative
18.0, 3.0, 48.0, 5.0, 46.0, 24.0, 35.0, negative
24.0, 43.0, 48.0, 5.0, 54.0, 52.0, 59.0, negative
52.0, 57.0, 48.0, 5.0, 42.0, 47.0, 54.0, negative
26.0, 26.0, 48.0, 5.0, 34.0, 25.0, 35.0, negative
37.0, 5.0, 48.0, 5.0, 42.0, 36.0, 45.0, negative
42.0, 3.0, 48.0, 5.0, 48.0, 26.0, 36.0, negative
41.0, 48.0, 48.0, 5.0, 51.0, 44.0, 51.0, negative
34.0, 55.0, 48.0, 5.0, 58.0, 31.0, 41.0, negative
52.0, 44.0, 48.0, 5.0, 37.0, 36.0, 42.0, negative
64.0, 76.0, 48.0, 5.0, 45.0, 35.0, 38.0, negative
35.0, 37.0, 48.0, 5.0, 3.0, 34.0, 43.0, negative
49.0, 43.0, 48.0, 5.0, 49.0, 3.0, 4.0, negative
38.0, 44.0, 48.0, 5.0, 43.0, 2.0, 31.0, negative
24.0, 41.0, 48.0, 5.0, 49.0, 23.0, 34.0, negative
4.0, 31.0, 48.0, 5.0, 41.0, 29.0, 39.0, negative
61.0, 36.0, 48.0, 5.0, 49.0, 35.0, 44.0, negative
4.0, 46.0, 48.0, 5.0, 42.0, 35.0, 44.0, negative
27.0, 3.0, 48.0, 5.0, 71.0, 28.0, 39.0, negative
44.0, 35.0, 48.0, 5.0, 44.0, 52.0, 59.0, negative
27.0, 42.0, 48.0, 5.0, 37.0, 38.0, 43.0, negative
63.0, 47.0, 48.0, 5.0, 51.0, 82.0, 84.0, negative
43.0, 4.0, 48.0, 5.0, 58.0, 75.0, 78.0, negative
72.0, 46.0, 48.0, 5.0, 51.0, 66.0, 7.0, negative
63.0, 5.0, 48.0, 5.0, 59.0, 85.0, 86.0, negative
31.0, 5.0, 48.0, 5.0, 57.0, 84.0, 85.0, negative
74.0, 44.0, 48.0, 5.0, 55.0, 88.0, 89.0, negative
71.0, 4.0, 48.0, 5.0, 71.0, 7.0, 74.0, negative
66.0, 53.0, 48.0, 5.0, 59.0, 66.0, 66.0, negative
6.0, 5.0, 1.0, 5.0, 54.0, 77.0, 8.0, negative
89.0, 55.0, 48.0, 5.0, 51.0, 72.0, 76.0, negative
58.0, 34.0, 48.0, 5.0, 56.0, 87.0, 81.0, negative
31.0, 44.0, 48.0, 5.0, 5.0, 79.0, 82.0, negative
68.0, 51.0, 48.0, 5.0, 71.0, 75.0, 78.0, negative
46.0, 59.0, 48.0, 5.0, 36.0, 76.0, 23.0, negative
36.0, 45.0, 48.0, 5.0, 38.0, 79.0, 17.0, negative
7.0, 61.0, 48.0, 5.0, 56.0, 52.0, 43.0, negative
64.0, 72.0, 48.0, 5.0, 49.0, 42.0, 19.0, negative
63.0, 71.0, 48.0, 5.0, 6.0, 4.0, 39.0, negative
63.0, 65.0, 48.0, 5.0, 39.0, 44.0, 35.0, negative
64.0, 66.0, 48.0, 5.0, 41.0, 39.0, 2.0, negative
66.0, 71.0, 48.0, 5.0, 41.0, 5.0, 35.0, negative
69.0, 59.0, 48.0, 5.0, 46.0, 44.0, 52.0, negative
69.0, 65.0, 48.0, 5.0, 63.0, 48.0, 41.0, negative
71.0, 57.0, 48.0, 5.0, 48.0, 35.0, 32.0, negative
74.0, 74.0, 48.0, 5.0, 31.0, 53.0, 52.0, negative
66.0, 49.0, 1.0, 5.0, 54.0, 56.0, 36.0, positive
67.0, 55.0, 1.0, 5.0, 66.0, 58.0, 16.0, positive
